gene	mean	CM_3_mean	CM_3_positive_frac	CM_6_mean	CM_6_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
FAM138A	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
OR4F5	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
AL627309.1	0.0025143584	0.0025647436	0.0028390113560454243	-1.0186341e-10	0.0	-4.7359266	4.246895	0
AL627309.3	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
AL627309.2	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
AL627309.5	0.019381512	0.019159658	0.020875083500334003	0.030452697	0.05	0.6657177	0.43156064	0
AL627309.4	0.00082197384	0.0008384436	0.0008350033400133601	-1.0186341e-10	0.0	-3.2302716	1.5601377	0
AP006222.2	0.0009784214	0.0009980263	0.001169004676018704	-1.0186341e-10	0.0	-3.4568422	2.0316498	0
AL732372.1	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
OR4F29	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
AC114498.1	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
OR4F16	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
AL669831.2	0.001050514	0.0010715637	0.001169004676018704	-1.0186341e-10	0.0	-3.550365	2.0635593	0
LINC01409	0.06674647	0.066884704	0.06947227788911156	0.05985663	0.10833333333333334	-0.15991238	0.17358224	0
FAM87B	0.00019167486	0.00019551569	0.00016700066800267202	-1.0186341e-10	0.0	-1.5632362	0.49852997	0
LINC01128	0.13031015	0.13040002	0.13159652638610556	0.12580971	0.21666666666666667	-0.0516604	0.07385638	0
LINC00115	0.011416501	0.011484994	0.011356045424181697	0.007999595	0.016666666666666666	-0.5163355	0.25987905	0
FAM41C	0.0067717857	0.006805494	0.007181028724114896	0.0050905175	0.016666666666666666	-0.4118663	0.1881818	0
AL645608.6	-1.7971615e-09	-2.1682354e-09	0.0	-1.0186341e-10	0.0	2.9752691e-05	44.55244	0
AL645608.2	0.0044097197	0.0043433057	0.004676018704074816	0.0077245776	0.016666666666666666	0.8163795	0.2640164	0
AL645608.4	0.0016988019	0.0017328432	0.002004008016032064	-1.0186341e-10	0.0	-4.196013	3.1578472	0
LINC02593	0.05151243	0.05144704	0.053607214428857713	0.054782994	0.10833333333333334	0.090469606	0.0822184	0
SAMD11	0.32295835	0.3261542	0.29492317969271875	0.16346705	0.25833333333333336	-0.9961143	7.100799	1
NOC2L	0.22640242	0.22656098	0.22578490313961255	0.21847501	0.35833333333333334	-0.05240756	0.10314397	0
KLHL17	0.010993296	0.01084637	0.011189044756179024	0.018325763	0.041666666666666664	0.7512718	0.42953765	0
PLEKHN1	0.0009814781	0.0010011443	0.001002004008016032	-1.0186341e-10	0.0	-3.460933	1.8024677	0
PERM1	0.0006214603	0.0006339117	0.0006680026720106881	-1.0186341e-10	0.0	-2.875608	1.3236202	0
AL645608.7	0.0011589001	0.0010314183	0.001169004676018704	0.0075200973	0.016666666666666666	2.751677	0.62455106	0
HES4	0.2573314	0.2557049	0.24064796259185037	0.33848047	0.4666666666666667	0.4044548	1.5385149	0
