gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	PR	SM	UN
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.002	0.002	0.159	0.0	0.105	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.003	1.242	0.0	0.044	0.0	0.005
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.009	0.014	0.004	0.012	0.633	0.0	0.004
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.006	0.011	0.0	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.004	0.0	0.018	0.042	0.029	0.0	0.004
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.004	0.0	0.018	0.042	0.029	0.0	0.004
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.005	1.307	0.0	0.012	0.004	0.0	0.017
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.003	0.0	0.03	0.024	0.02	0.0	0.004
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.012	0.016	0.005	0.061	0.23	0.0	0.008
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.009	0.0	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.006	0.005	0.0	0.002	0.032	0.0	0.002
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.001	0.005	0.0	0.003	0.003	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.01	0.004	0.0	0.013	0.012	0.0	0.009
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.006	0.01	0.0	0.012	0.037	0.0	0.002
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.321	0.676	1.93	2.749	2.119	2.797	0.243
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	1.302	0.022	0.136	0.025	0.153	0.0	0.387
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.177	1.073	0.034	0.556	0.137	0.0	0.097
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.0	0.0	0.832	0.0	0.0	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.03	0.26	0.012	0.217	0.135	1.406	0.014
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.039	0.002	1.041	0.023	0.002	0.0	0.012
AGT	P01019	False	ANGT_HUMAN		CPI-SS069924427	AGT	0.039	0.002	1.041	0.023	0.002	0.0	0.012
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.006	0.017	0.0	0.016	0.187	0.0	0.008
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.006	0.005	0.0	0.002	0.032	0.0	0.002
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.001	0.005	0.0	0.003	0.003	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.01	0.004	0.0	0.013	0.012	0.0	0.009
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.006	0.01	0.0	0.012	0.037	0.0	0.002
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.177	0.038	0.043	0.543	0.009	0.0	0.037
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	CCL25	0.0	0.0	0.0	0.0	0.004	0.0	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.0	0.0	0.0	0.0	0.003	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.0	0.008	0.0	0.011	0.003	0.0	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.001	0.009	0.0	0.008	0.001	0.0	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.002	0.004	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.001	0.038	0.0	0.009	0.0	0.0	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.154	0.013	0.034	0.159	0.286	0.0	0.07
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.008	0.006	0.057	0.022	0.009	0.0	0.032
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.046	0.009	0.017	0.055	0.034	0.0	0.011
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.002	0.061	0.0	0.022	0.002	0.0	0.0
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.0	0.0	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.0	0.02	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.022	0.033	0.008	0.141	0.135	0.0	0.008
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.074	0.582	0.045	0.1	0.563	0.0	0.039
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.022	0.033	0.008	0.141	0.135	0.0	0.008
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.074	0.582	0.045	0.1	0.563	0.0	0.039
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.138	0.223	0.713	0.125	0.012	0.0	0.054
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.019	0.028	0.085	0.055	0.043	0.0	0.021
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.001	0.002	0.0	0.004	0.001	0.0	0.005
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.008	0.008	0.178	0.022	0.091	0.0	0.005
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.004	0.0	0.004	0.004	0.129	0.0	0.004
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.049	0.003	0.009	0.169	0.136	0.0	0.025
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.006	0.0	0.0	0.005	0.005	0.0	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	1.027	0.166	1.4	1.974	1.711	1.406	0.412
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.445	0.038	0.049	0.952	0.988	0.0	0.126
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.011	0.0	0.005	0.003	0.112	0.0	0.003
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.073	0.235	1.914	2.442	0.941	0.0	0.144
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.16	0.357	0.036	0.396	0.388	1.727	0.131
PENK	P01210	False	PENK_HUMAN		CPI-SS0D1EF9598	PENK	0.007	0.0	0.0	0.522	0.059	0.0	0.018
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.02	0.425	0.04	0.102	0.263	0.0	0.004
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	1.049	0.269	1.096	1.4	0.228	0.932	1.199
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.02	0.425	0.04	0.102	0.263	0.0	0.004
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	1.049	0.269	1.096	1.4	0.228	0.932	1.199
