id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|PR	EC|SM	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EC	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EC	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.656	0.0	0.008	0.004	0.0	0.011	0.656	1.307	0.0	0.659	0.656	0.0	0.662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.659	0.0	0.012	0.008	0.0	0.014	0.004	0.656	0.0	0.008	0.004	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.662	0.0	0.014	0.011	0.0	0.017
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.0	0.016	0.014	0.011	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.03	0.027	0.025	0.0	0.017	0.014	0.0	0.027	0.024	0.022	0.0	0.014	0.011	0.0	0.025	0.022	0.02	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.017	0.014	0.012	0.0	0.004
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.012	0.014	0.009	0.037	0.121	0.0	0.01	0.014	0.016	0.01	0.038	0.123	0.0	0.012	0.009	0.01	0.005	0.033	0.117	0.0	0.007	0.037	0.038	0.033	0.061	0.145	0.0	0.034	0.121	0.123	0.117	0.145	0.23	0.0	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.012	0.007	0.034	0.119	0.0	0.008
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.005	0.004	0.0	0.005	0.015	0.0	0.005	0.005	0.004	0.0	0.004	0.015	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.003	0.0	0.003	0.014	0.0	0.003	0.019	0.017	0.0	0.018	0.028	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.003	0.0	0.003	0.014	0.0	0.003
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.003	0.002	0.0	0.002	0.013	0.0	0.002	0.005	0.004	0.0	0.004	0.015	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.003	0.0	0.004	0.014	0.0	0.003	0.004	0.003	0.0	0.003	0.014	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.007	0.006	0.0	0.007	0.017	0.0	0.007	0.005	0.004	0.0	0.004	0.015	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.008	0.0	0.008	0.019	0.0	0.008	0.009	0.008	0.0	0.008	0.019	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.006	0.0	0.006	0.017	0.0	0.006
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.005	0.0	0.005	0.016	0.0	0.005	0.007	0.006	0.0	0.007	0.017	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.007	0.0	0.008	0.018	0.0	0.008	0.021	0.02	0.0	0.02	0.031	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.003	0.0	0.003	0.014	0.0	0.003
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.161	0.0	0.0	0.0	0.161	0.0	0.0	0.338	0.0	0.0	0.0	0.339	0.0	0.0	0.965	0.0	0.0	0.0	0.965	0.0	0.0	1.374	0.0	0.0	0.0	1.375	0.0	0.0	1.06	0.0	0.0	0.0	1.06	0.0	0.0	1.399	0.0	0.0	0.0	1.399	0.0	0.0	0.122	0.0	0.0	0.0	0.122	0.0	0.0
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	0.651	0.0	0.0	0.0	0.652	0.0	0.0	0.011	0.0	0.0	0.0	0.012	0.0	0.0	0.068	0.0	0.0	0.0	0.068	0.0	0.0	0.013	0.0	0.0	0.0	0.013	0.0	0.0	0.077	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.194	0.0	0.0	0.0	0.194	0.0	0.0
