gene	mean	VO_mean	VO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
AL391244.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TMEM88B	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC01770	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
VWA1	0.081403375	0.072104275	0.0831689677843524	0.49136847	0.4492753623188406	2.7669427	6.9339957	1
ATAD3C	0.0014388041	0.0014714367	0.0023011176857330702	-5.820766e-11	0.0	-3.974013	1.8363726	0
ATAD3B	0.037960775	0.038157433	0.04700854700854701	0.029291535	0.028985507246376812	-0.3803395	0.16714744	0
ATAD3A	0.091162585	0.090846896	0.1091387245233399	0.10508853	0.11594202898550725	0.20988108	0.14337602	0
TMEM240	0.039046455	0.03900166	0.048980933596318214	0.04102225	0.07246376811594203	0.07268938	0.03923197	0
SSU72	0.78603363	0.78557307	0.678172255095332	0.8063647	0.7391304347826086	0.03768234	0.11765524	0
AL645728.1	0.022071175	0.021911079	0.02695595003287311	0.029130135	0.028985507246376812	0.4092266	0.13807109	0
FNDC10	0.04776559	0.04723652	0.056870479947403026	0.07108471	0.10144927536231885	0.5886137	0.40220213	0
AL691432.4	0.0023392662	0.0023923235	0.0029585798816568047	-5.820766e-11	0.0	-4.6394205	2.443459	0
AL691432.2	0.025664179	0.025989844	0.03517422748191979	0.011307325	0.028985507246376812	-1.1935278	0.96540797	0
MIB2	0.1009183	0.10078054	0.12393162393162394	0.1069991	0.13043478260869565	0.08629839	0.06586756	0
MMP23B	0.015098818	0.014902437	0.020052596975673898	0.02375742	0.028985507246376812	0.6692412	0.2212172	0
CDK11B	0.19968422	0.19959314	0.23274161735700197	0.20368136	0.21739130434782608	0.029237343	0.029370818	0
FO704657.1	0.0025933313	0.0023577895	0.0029585798816568047	0.012977536	0.014492753623188406	2.4116573	0.37995908	0
SLC35E2B	0.08774446	0.08612629	0.1071663379355687	0.159092	0.17391304347826086	0.8845681	0.99621874	0
CDK11A	0.1385418	0.1372559	0.15976331360946747	0.19523962	0.21739130434782608	0.50806564	0.65299064	0
SLC35E2A	0.039010797	0.038630653	0.04799474030243261	0.055770773	0.07246376811594203	0.528618	0.28252667	0
NADK	0.16671644	0.16714376	0.19362261669953978	0.14787404	0.17391304347826086	-0.17660828	0.1858138	0
GNB1	1.184363	1.1870848	0.8438527284681131	1.0643883	0.7971014492753623	-0.15738446	0.89450336	0
AL109917.1	0.00048030628	0.0004912004	0.0006574621959237344	-5.820766e-11	0.0	-2.5636482	0.7885949	0
CALML6	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TMEM52	0.0015704437	0.0014270082	0.001643655489809336	0.007893946	0.014492753623188406	2.3882	0.37974012	0
CFAP74	0.012623034	0.012836232	0.014792899408284023	0.003224644	0.014492753623188406	-1.9601455	1.9227965	0
AL391845.2	0.0060222624	0.006158881	0.007232084155161078	-5.820766e-11	0.0	-5.9678335	5.327036	1
GABRD	0.009998802	0.009902992	0.011176857330703484	0.014223534	0.028985507246376812	0.51795584	0.17309791	0
AL391845.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
PRKCZ	0.015966093	0.015387031	0.018080210387902695	0.041495986	0.057971014492753624	1.4253838	0.6356099	0
AL590822.2	0.0010023376	0.0010250753	0.0013149243918474688	-5.820766e-11	0.0	-3.4919505	1.2968245	0
PRKCZ-AS1	0.0005144904	0.00052615994	0.0009861932938856016	-5.820766e-11	0.0	-2.646532	0.96277905	0
FAAP20	0.54684055	0.544433	0.5292570677186061	0.6529743	0.6376811594202898	0.26222762	0.93619305	0
AL590822.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
SKI	0.24933465	0.24711604	0.2804076265614727	0.34713143	0.391304347826087	0.4901251	1.060123	0
AL590822.3	0.0046663084	0.0043756813	0.005917159763313609	0.017479038	0.014492753623188406	1.9736769	0.34017938	0
MORN1	0.0116195595	0.011883138	0.014792899408284023	-5.820766e-11	0.0	-6.904863	10.24104	1
AL589739.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL513477.2	0.0031847847	0.0032570204	0.0039447731755424065	-5.820766e-11	0.0	-5.0691104	2.9035108	0
RER1	0.6778376	0.6849301	0.6259040105193951	0.3652132	0.37681159420289856	-0.90703356	5.641122	1
PEX10	0.06820022	0.06872451	0.08349769888231427	0.04507953	0.057971014492753624	-0.60725325	0.47388473	0
PLCH2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL139246.1	0.0004095211	0.00041880965	0.0006574621959237344	-5.820766e-11	0.0	-2.3752062	0.7810573	0
AL139246.4	0.0003040768	0.00031097364	0.0003287310979618672	-5.820766e-11	0.0	-2.0390468	0.49841166	0
PANK4	0.03286346	0.033356525	0.041091387245233396	0.011126515	0.014492753623188406	-1.5753775	1.240215	0
HES5	0.0022865492	0.0023384106	0.0029585798816568047	-5.820766e-11	0.0	-4.60787	2.3442333	0
AL139246.5	0.043528635	0.043870877	0.05358316896778435	0.02843344	0.028985507246376812	-0.62389463	0.34800634	0
TNFRSF14-AS1	0.0029107614	0.0029767815	0.003616042077580539	-5.820766e-11	0.0	-4.9433513	2.7567515	0
TNFRSF14	0.013289722	0.013376952	0.01873767258382643	0.009444783	0.014492753623188406	-0.49770984	0.16489571	0
AL139246.3	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
PRXL2B	0.1327555	0.1312594	0.1525312294543064	0.19872123	0.2318840579710145	0.59795237	0.7820286	0
MMEL1	0.00036574388	0.00037403946	0.0006574621959237344	-5.820766e-11	0.0	-2.245008	0.73656124	0
AL831784.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TTC34	0.0040156534	0.0041067353	0.005259697567389875	-5.820766e-11	0.0	-5.39463	3.9822237	0
AC242022.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AC242022.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL592464.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL592464.3	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL592464.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL589702.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
ACTRT2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
PRDM16-DT	0.0006495343	0.0003744224	0.0006574621959237344	0.012778424	0.014492753623188406	4.76264	0.47464588	0
PRDM16	0.008711198	0.008644559	0.010848126232741617	0.011649919	0.014492753623188406	0.42619324	0.09743688	0
AL008733.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL590438.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL354743.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL354743.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
ARHGEF16	0.011056572	0.011082216	0.01413543721236029	0.009926812	0.014492753623188406	-0.15734322	0.04140657	0
AL512413.1	0.00070672587	0.0007227585	0.0009861932938856016	-5.820766e-11	0.0	-3.04047	1.0700641	0
MEGF6	0.027391614	0.028012943	0.03451676528599606	-5.820766e-11	0.0	-8.135092	21.585857	1
AL513320.1	0.0008804778	0.0009004515	0.0009861932938856016	-5.820766e-11	0.0	-3.3225803	1.0384802	0
TPRG1L	0.21019906	0.21091479	0.2412886259040105	0.17862391	0.2028985507246377	-0.2396114	0.32867837	0
WRAP73	0.09931224	0.098118894	0.11702827087442472	0.15193023	0.17391304347826086	0.6302857	0.66878086	0
TP73	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL136528.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL136528.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
CCDC27	0.00028114367	-1.1568773e-09	0.0	0.01267597	0.014492753623188406	6.997306	0.49369046	0
SMIM1	0.017363172	0.016934797	0.022682445759368838	0.036249604	0.043478260869565216	1.093455	0.40750307	0
LRRC47	0.13280167	0.13438284	0.15976331360946747	0.06309984	0.07246376811594203	-1.0894294	1.8422151	0
AL365330.1	0.00014035183	0.00014353497	0.0003287310979618672	-5.820766e-11	0.0	-1.2841297	0.49843693	0
CEP104	0.1594105	0.15819906	0.1863905325443787	0.21282585	0.2608695652173913	0.42769843	0.6246842	0
DFFB	0.024427641	0.02345444	0.02925706771860618	0.06733386	0.07246376811594203	1.5174742	0.8326614	0
C1orf174	0.1160902	0.11558078	0.14365548980933596	0.13855533	0.18840579710144928	0.2613539	0.2719922	0
LINC01134	0.0028425567	0.0027794533	0.003287310979618672	0.0056244447	0.014492753623188406	0.9913408	0.20836394	0
LINC01346	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC01345	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC02780	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL805961.1	0.00025613734	0.00026194679	0.0003287310979618672	-5.820766e-11	0.0	-1.8557786	0.4984322	0
LINC01777	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL355602.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
Z98747.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC01646	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AJAP1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
Z98886.1	0.0002838163	-1.1568773e-09	0.0	0.012796474	0.014492753623188406	7.0108495	0.4936907	0
BX005132.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC02781	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC02782	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL139823.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
Z98259.3	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
Z98259.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
Z98259.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL365255.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
NPHP4	0.018882915	0.018609194	0.02333990795529257	0.030951252	0.043478260869565216	0.7309041	0.2611072	0
KCNAB2	0.030312588	0.030383497	0.03944773175542406	0.027187243	0.028985507246376812	-0.15980181	0.059383083	0
CHD5	0.00030053302	0.00030734946	0.0003287310979618672	-5.820766e-11	0.0	-2.0262678	0.49841198	0
RPL22	2.2079499	2.2002425	0.9868507560815253	2.5477755	1.0	0.21156663	9.009537	0
AL031847.1	0.001279552	0.0009560072	0.0009861932938856016	0.015543636	0.014492753623188406	3.8888843	0.45390272	0
RNF207	0.008889866	0.009091528	0.011505588428665352	-5.820766e-11	0.0	-6.5222335	7.9928346	1
ICMT	0.21052973	0.21183011	0.24326101249178173	0.15318227	0.18840579710144928	-0.4673977	0.77367276	0
LINC00337	0.0016864451	0.0017246947	0.0023011176857330702	-5.820766e-11	0.0	-4.1895843	1.9567403	0
HES3	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
GPR153	0.021995803	0.022262076	0.03254437869822485	0.01025742	0.014492753623188406	-1.1103895	0.58877474	0
ACOT7	0.29179066	0.29557222	0.3277449046679816	0.12505493	0.17391304347826086	-1.2402836	5.195282	1
AL031848.2	0.0037164092	0.0038007034	0.004273504273504274	-5.820766e-11	0.0	-5.285663	3.224718	0
HES2	0.0153458435	0.015390232	0.020381328073635765	0.013389686	0.014492753623188406	-0.19950204	0.054050077	0
ESPN	0.00033040173	0.00033789568	0.0003287310979618672	-5.820766e-11	0.0	-2.130588	0.49843046	0
AL031848.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TNFRSF25	0.109402835	0.11066403	0.1295200525969757	0.05380834	0.07246376811594203	-1.0389091	1.505332	0
PLEKHG5	0.14642636	0.14832275	0.17159763313609466	0.06282866	0.08695652173913043	-1.237923	2.7402177	0
NOL9	0.14001471	0.14179383	0.16469428007889547	0.06158587	0.08695652173913043	-1.2017999	2.5885303	0
TAS1R1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
ZBTB48	0.045494482	0.044565573	0.056870479947403026	0.08644081	0.10144927536231885	0.95421726	0.6843758	0
KLHL21	0.04499031	0.04547862	0.05719921104536489	0.023455745	0.028985507246376812	-0.9522783	0.71039706	0
PHF13	0.067805834	0.066446826	0.0811965811965812	0.1277149	0.14492753623188406	0.9416143	0.9050057	0
THAP3	0.110320434	0.10942448	0.1344510190664037	0.1498271	0.18840579710144928	0.45300773	0.48650467	0
DNAJC11	0.07543535	0.074931696	0.09270216962524655	0.09763401	0.11594202898550725	0.3813605	0.28942737	0
LINC01672	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL591163.1	0.0005270353	0.0005389894	0.0006574621959237344	-5.820766e-11	0.0	-2.6757927	0.80185586	0
CAMTA1-DT	0.00032112258	0.00032840605	0.0003287310979618672	-5.820766e-11	0.0	-2.0989797	0.49841323	0
CAMTA1	0.63799113	0.6381091	0.5884286653517423	0.6327782	0.6231884057971014	-0.012101176	0.028009148	0
AL512330.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
CAMTA1-IT1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
Z97987.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL365194.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL359881.3	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL359881.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL359881.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
VAMP3	0.5957948	0.5932214	0.5604865220249836	0.7092424	0.6376811594202898	0.25766823	0.94833815	0
Z98884.2	0.0010425552	0.0010662052	0.0013149243918474688	-5.820766e-11	0.0	-3.5437505	1.2072734	0
PER3	0.008879458	0.008855719	0.011834319526627219	0.009926812	0.014492753623188406	0.16298178	0.038400672	0
Z98884.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
UTS2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TNFRSF9	0.0005345315	0.00054665556	0.0006574621959237344	-5.820766e-11	0.0	-2.6929984	0.7864113	0
PARK7	1.4286407	1.4345078	0.905982905982906	1.1700338	0.7536231884057971	-0.29398286	2.2643888	0
AL034417.4	0.0024599878	0.00228312	0.0026298487836949377	0.01025742	0.014492753623188406	2.1197412	0.3554745	0
AL034417.3	0.001650968	0.0015608366	0.0023011176857330702	0.0056244447	0.014492753623188406	1.7852256	0.32333937	0
ERRFI1	0.06550011	0.06617229	0.07988165680473373	0.03585915	0.057971014492753624	-0.8820467	0.9532007	0
AL034417.2	0.006500211	0.006415007	0.007560815253122946	0.01025742	0.014492753623188406	0.66882604	0.14773548	0
LINC01714	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL358876.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
SLC45A1	0.012034258	0.01168335	0.014792899408284023	0.02750549	0.028985507246376812	1.2282054	0.37020245	0
RERE	0.48666087	0.48581028	0.4806048652202498	0.5241441	0.5652173913043478	0.109548844	0.26512194	0
RERE-AS1	0.0005506239	0.00056311575	0.0006574621959237344	-5.820766e-11	0.0	-2.7292616	0.8018335	0
AL357552.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
ENO1	1.7924391	1.7730414	0.9585798816568047	2.6476123	1.0	0.5784388	19.460754	1
ENO1-AS1	0.002163598	0.0019627113	0.0023011176857330702	0.011019956	0.014492753623188406	2.4305372	0.38188732	0
CA6	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
SLC2A7	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
SLC2A5	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
GPR157	0.012711764	0.012657669	0.017422748191978962	0.015097476	0.028985507246376812	0.25246695	0.08555033	0
MIR34AHG	0.06802658	0.06844434	0.08053911900065747	0.049602352	0.057971014492753624	-0.46372336	0.34803122	0
LNCTAM34A	0.05481467	0.055570927	0.06541748849441158	0.021466991	0.028985507246376812	-1.3680992	1.4973093	0
H6PD	0.06484436	0.06512227	0.084155161078238	0.052585967	0.057971014492753624	-0.30794594	0.19689769	0
SPSB1	0.020639863	0.020766238	0.02827087442472058	0.015069233	0.028985507246376812	-0.46002233	0.21357255	0
BX323043.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC02606	0.004891682	0.005002634	0.005917159763313609	-5.820766e-11	0.0	-5.673171	4.2520947	0
AL928921.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
SLC25A33	0.093620405	0.09441729	0.11702827087442472	0.058495518	0.08695652173913043	-0.68978786	0.763549	0
TMEM201	0.030389836	0.0304603	0.038461538461538464	0.027284142	0.028985507246376812	-0.15831809	0.06026059	0
PIK3CD	0.004810477	0.0046629035	0.006245890861275477	0.011316447	0.014492753623188406	1.2612005	0.2515556	0
PIK3CD-AS1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
PIK3CD-AS2	0.017275088	0.017666947	0.023011176857330704	-5.820766e-11	0.0	-7.473053	15.224166	1
CLSTN1	0.33058748	0.33040795	0.35535831689677844	0.3384872	0.36231884057971014	0.034842446	0.051170778	0
CTNNBIP1	0.3949464	0.39853823	0.4171597633136095	0.23657145	0.2753623188405797	-0.7521943	2.7070034	0
