gene	mean	VO_mean	VO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
FAM138A	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
OR4F5	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL627309.1	0.001636399	0.0016735134	0.0023011176857330702	-5.820766e-11	0.0	-4.148539	1.9325283	0
AL627309.3	0.00028896838	0.0002955225	0.0003287310979618672	-5.820766e-11	0.0	-1.9837606	0.49841064	0
AL627309.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL627309.5	0.012522418	0.012614459	0.017422748191978962	0.008465418	0.014492753623188406	-0.5698745	0.19853619	0
AL627309.4	0.00043337885	0.0004432086	0.0006574621959237344	-5.820766e-11	0.0	-2.4415073	0.79687434	0
AP006222.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL732372.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
OR4F29	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AC114498.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
OR4F16	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL669831.2	0.0003661663	0.00037447148	0.0003287310979618672	-5.820766e-11	0.0	-2.2463222	0.49841812	0
LINC01409	0.028450977	0.028408827	0.03714661406969099	0.030310087	0.028985507246376812	0.09314124	0.03151226	0
FAM87B	0.00015915942	0.00016276917	0.0003287310979618672	-5.820766e-11	0.0	-1.3937969	0.4984035	0
LINC01128	0.10058137	0.099945515	0.11801446416831032	0.12862135	0.15942028985507245	0.3635949	0.33518842	0
LINC00115	0.008667519	0.008864138	0.010848126232741617	-5.820766e-11	0.0	-6.486094	7.3703156	1
FAM41C	0.017737085	0.018139424	0.022353714661406968	-5.820766e-11	0.0	-7.510917	14.861054	1
AL645608.6	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL645608.2	0.0014996657	0.0015336786	0.0023011176857330702	-5.820766e-11	0.0	-4.030053	2.009241	0
AL645608.4	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
LINC02593	0.005512996	0.005638063	0.007560815253122946	-5.820766e-11	0.0	-5.8424926	4.878806	0
SAMD11	0.035165887	0.035227194	0.046351084812623275	0.032463707	0.043478260869565216	-0.11751422	0.047231674	0
NOC2L	0.2332499	0.23221812	0.2666009204470743	0.27871984	0.2898550724637681	0.26323152	0.38436738	0
KLHL17	0.020674858	0.019149434	0.023011176857330704	0.08792694	0.10144927536231885	2.193129	1.2781105	0
PLEKHN1	0.00051614287	0.0005278498	0.0006574621959237344	-5.820766e-11	0.0	-2.6504204	0.74256104	0
PERM1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL645608.7	0.0059647085	0.0061000213	0.00821827744904668	-5.820766e-11	0.0	-5.954202	5.7109447	1
HES4	0.4695885	0.4701952	0.4447731755424063	0.44282913	0.43478260869565216	-0.08649076	0.16509247	0
ISG15	0.4255283	0.42921433	0.4276791584483892	0.26300493	0.30434782608695654	-0.70639604	2.6888628	0
AL645608.1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AGRN	0.15009378	0.14714023	0.1752136752136752	0.28031328	0.30434782608695654	0.9293827	1.7453096	0
AL645608.5	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL645608.8	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
RNF223	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
C1orf159	0.02184306	0.021352902	0.027942143326758713	0.043453425	0.057971014492753624	1.0216134	0.5051107	0
AL390719.3	0.00014182049	0.00014503693	0.0003287310979618672	-5.820766e-11	0.0	-1.2930001	0.49845532	0
LINC01342	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
AL390719.2	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TTLL10-AS1	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TTLL10	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
TNFRSF18	0.0013411638	0.0013715816	0.0019723865877712033	-5.820766e-11	0.0	-3.8792963	1.6782762	0
TNFRSF4	0.036933612	0.036737476	0.03944773175542406	0.045581482	0.057971014492753624	0.31043527	0.15381251	0
SDF4	0.66511756	0.666676	0.6084812623274162	0.596419	0.5942028985507246	-0.16063415	0.5047593	0
B3GALT6	0.21446297	0.21482582	0.24326101249178173	0.19844554	0.2318840579710145	-0.11436888	0.14264844	0
C1QTNF12	0.004178231	0.003939233	0.005588428665351742	0.014714821	0.014492753623188406	1.8748881	0.33021232	0
AL162741.1	0.00092471583	0.00094569294	0.0006574621959237344	-5.820766e-11	0.0	-3.3863883	0.8024843	0
UBE2J2	0.32569996	0.32551268	0.351413543721236	0.33394387	0.36231884057971014	0.03688073	0.05293235	0
LINC01786	0.00059215457	0.00060558843	0.0006574621959237344	-5.820766e-11	0.0	-2.8188276	0.802127	0
SCNN1D	0.0042301686	0.004147062	0.005259697567389875	0.007893946	0.014492753623188406	0.9124427	0.19409975	0
ACAP3	0.10752593	0.107585356	0.1334648257725181	0.10491375	0.13043478260869565	-0.036243815	0.027705455	0
PUSL1	0.09144976	0.09151458	0.11341222879684418	0.08859961	0.13043478260869565	-0.046649516	0.03515901	0
INTS11	0.19665591	0.19545339	0.2264957264957265	0.2496553	0.2898550724637681	0.35295278	0.5438264	0
AL139287.1	0.0002981859	-1.1568773e-09	0.0	0.013444353	0.014492753623188406	7.0815644	0.49369115	0
CPTP	0.09263095	0.09301915	0.11209730440499671	0.07552403	0.10144927536231885	-0.30023313	0.23842123	0
TAS1R3	0.00028823453	0.00029477203	0.0003287310979618672	-5.820766e-11	0.0	-1.9810207	0.4984718	0
DVL1	0.0570791	0.055621855	0.06738987508218278	0.12131908	0.14492753623188406	1.1236799	1.0478566	0
MXRA8	0.04339227	0.043943483	0.060486522024983565	0.019084193	0.014492753623188406	-1.1990106	0.6914295	0
AURKAIP1	1.049658	1.0554092	0.8122945430637738	0.79614246	0.6376811594202898	-0.4066594	2.6602707	0
CCNL2	0.3296545	0.3282769	0.3547008547008547	0.39037466	0.4057971014492754	0.2498763	0.48075345	0
MRPL20-AS1	0.042440683	0.042507045	0.05325443786982249	0.039508797	0.057971014492753624	-0.10527112	0.0545088	0
MRPL20	0.95800143	0.9626736	0.7603550295857988	0.7520435	0.6811594202898551	-0.3561887	2.3570313	0
AL391244.2	0.0043302057	0.0041806167	0.005588428665351742	0.010925009	0.014492753623188406	1.3648893	0.26690453	0
ANKRD65	-1.4260877e-09	-1.1568773e-09	0.0	-5.820766e-11	0.0	1.5822317e-05	44.55244	0
