gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
UBIAD1	0.03801926	-5.820766e-11	0.0	0.044371143	0.053268765133171914	8.796726	5.3385	1
KAZN	0.08140474	0.013151455	0.028985507246376812	0.092807844	0.11864406779661017	2.8096497	5.492669	1
LINC01355	0.040363856	-5.820766e-11	0.0	0.047107454	0.053268765133171914	8.882872	5.1036763	1
EFCAB14	0.6433878	0.35756937	0.37681159420289856	0.69113976	0.5617433414043583	0.95055974	5.429808	1
ECHDC2	0.037608992	-5.820766e-11	0.0	0.04389234	0.05811138014527845	8.78111	5.810396	1
SNX7	0.30720532	0.107637756	0.14492753623188406	0.34054697	0.37772397094430993	1.6607534	7.038237	1
PALMD	0.1390812	-5.820766e-11	0.0	0.16231753	0.1791767554479419	10.665492	16.889894	1
TSPAN2	0.114410415	0.009666181	0.014492753623188406	0.13191006	0.14527845036319612	3.7567096	9.227714	1
S100A6	2.2610955	1.1388185	0.4927536231884058	2.4485946	0.801452784503632	1.1043482	11.244493	1
GAS5	1.4099282	1.8963804	0.9420289855072463	1.3286561	0.8232445520581114	-0.5132482	5.504604	1
RGS16	0.08038284	0.007893946	0.014492753623188406	0.09249357	0.09200968523002422	3.5339324	5.643731	1
HMCN1	0.23680362	0.08428964	0.11594202898550725	0.2622842	0.26634382566585957	1.6365429	5.1575985	1
CD34	0.5869697	0.24937907	0.2463768115942029	0.64337134	0.4963680387409201	1.3669572	7.4443455	1
LYST	0.15036611	0.035311837	0.043478260869565216	0.16958828	0.19854721549636803	2.2605834	5.845002	1
NID1	1.1280463	0.7553942	0.6666666666666666	1.190305	0.7990314769975787	0.65595984	6.1491265	1
CHRM3	0.14119846	0.025196768	0.028985507246376812	0.16057889	0.1791767554479419	2.6671555	6.377007	1
MRPL33	0.67245287	0.34120816	0.36231884057971014	0.72779447	0.6222760290556901	1.0926545	6.9488897	1
CRIM1	0.4993558	0.25182196	0.30434782608695654	0.54071105	0.48668280871670705	1.1021478	5.717123	1
CDC42EP3	0.51875395	0.22224909	0.2608695652173913	0.5682908	0.5230024213075061	1.3540568	7.9560122	1
VAMP8	0.21153668	0.060240168	0.08695652173913043	0.23681383	0.2566585956416465	1.9731717	6.6443405	1
VAMP5	0.81212014	0.39034665	0.36231884057971014	0.8825865	0.6198547215496368	1.1767758	8.040007	1
UXS1	0.23375767	0.07547122	0.10144927536231885	0.26020265	0.29539951573849876	1.784281	6.0695333	1
MALL	0.4956659	0.18809554	0.18840579710144928	0.54705155	0.47699757869249393	1.5397081	7.797895	1
NMI	0.12216843	0.0069653043	0.014492753623188406	0.14141545	0.18159806295399517	4.3240643	14.088516	1
PSMD14	0.6200098	0.34782562	0.36231884057971014	0.6654841	0.5447941888619855	0.9358421	5.065512	1
HOXD-AS2	0.06789963	-5.820766e-11	0.0	0.07924363	0.08716707021791767	9.631971	7.9332714	1
HOXD9	0.08687797	-5.820766e-11	0.0	0.1013927	0.1162227602905569	9.987162	11.124128	1
HOXD8	0.21189032	0.026500141	0.028985507246376812	0.24286352	0.26634382566585957	3.1912339	12.348558	1
HAGLR	0.044257324	-5.820766e-11	0.0	0.05165141	0.06779661016949153	9.015455	6.7686057	1
STRADB	0.04049471	-5.820766e-11	0.0	0.047260173	0.06053268765133172	8.887531	5.785215	1
WDR12	0.07242351	0.011307325	0.028985507246376812	0.08263422	0.1016949152542373	2.8585236	5.3552046	1
KIF1A	0.07706775	-5.820766e-11	0.0	0.08994347	0.09927360774818401	9.814479	9.426261	1
WNT5A	0.0467803	-5.820766e-11	0.0	0.054595903	0.06779661016949153	9.09529	6.7941427	1
MGLL	0.35144275	0.0893796	0.13043478260869565	0.39522552	0.36319612590799033	2.1434102	11.794717	1
PIK3CB	0.051923417	-5.820766e-11	0.0	0.06059828	0.0774818401937046	9.245513	7.580913	1
TM4SF18	1.6794952	1.0923368	0.7101449275362319	1.7775918	0.8861985472154964	0.70245546	8.516055	1
TNFSF10	0.26470873	0.055083912	0.057971014492753624	0.2997308	0.2711864406779661	2.441829	9.061349	1
IQCG	0.048832916	-5.820766e-11	0.0	0.05699145	0.07263922518159806	9.157132	7.130224	1
HTRA3	0.11380104	0.023374401	0.028985507246376812	0.12890868	0.1549636803874092	2.458308	5.2599945	1
UCHL1	1.506885	0.6567474	0.463768115942029	1.6489176	0.7191283292978208	1.3279766	13.43588	1
ATP8A1	0.043986395	-5.820766e-11	0.0	0.05133521	0.06779661016949153	9.006614	6.7134323	1
LNX1	0.044448745	-5.820766e-11	0.0	0.05187481	0.07021791767554479	9.021669	6.881559	1
AREG	0.19821675	0.05277145	0.08695652173913043	0.22251633	0.19128329297820823	2.0739987	6.014323	1
MMRN1	0.10357511	0.015933778	0.028985507246376812	0.11821738	0.13801452784503632	2.8834758	6.207504	1
EMCN	1.499348	2.0150692	0.9130434782608695	1.4131857	0.8087167070217918	-0.51184773	6.2137146	1
