gene	mean	VO_mean	VO_positive_frac	HO_mean	HO_positive_frac	log2FC	-log10 p-val	is_significant
IRF6	0.008624235	0.008717959	0.011505588428665352	0.004873645	0.013157894736842105	-0.8261413	0.3429709	0
UTP25	0.09969229	0.1001741	0.12393162393162394	0.08041583	0.11842105263157894	-0.3166046	0.31950182	0
SYT14	0.044863526	0.045984205	0.05654174884944116	-7.2759576e-11	0.0	-8.848129	36.329556	1
AL022397.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
SERTAD4-AS1	0.019928655	0.020426564	0.02564102564102564	-7.2759576e-11	0.0	-7.6813493	16.343836	1
SERTAD4	0.008206781	0.008411836	0.011176857330703484	-7.2759576e-11	0.0	-6.4113994	7.6375613	1
HHAT	0.022994483	0.023568988	0.030243261012491782	-7.2759576e-11	0.0	-7.886855	19.643734	1
AL034351.4	0.00030395083	0.0003115442	0.0003287310979618672	-7.2759576e-11	0.0	-2.0410485	0.49841145	0
AL034351.3	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
KCNH1	0.00021447235	0.00021983022	0.0003287310979618672	-7.2759576e-11	0.0	-1.6773074	0.49840522	0
AC092017.4	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
KCNH1-IT1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
RCOR3	0.23633957	0.23461922	0.26528599605522685	0.30518395	0.40789473684210525	0.37921575	0.838565	0
TRAF5	0.09425334	0.09540045	0.11637080867850098	0.04834658	0.06578947368421052	-0.9791128	1.4242817	0
AL590101.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC00467	0.06692772	0.06728002	0.08349769888231427	0.05282057	0.07894736842105263	-0.34849212	0.2935514	0
RD3	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC105275.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
SLC30A1	0.06729691	0.06812098	0.07988165680473373	0.0343061	0.039473684210526314	-0.9875511	0.95773345	0
AC105275.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AL356310.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LINC01693	0.0012415944	0.0012726105	0.0013149243918474688	-7.2759576e-11	0.0	-3.7788515	1.2471883	0
NEK2	0.007538112	0.0077264607	0.00953320184089415	-7.2759576e-11	0.0	-6.2902894	6.21283	1
AC096637.2	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
AC096637.1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
LPGAT1	0.3216582	0.32157922	0.34714003944773175	0.32480726	0.40789473684210525	0.01440517	0.022416834	0
LPGAT1-AS1	-1.4479156e-09	-1.1568773e-09	0.0	-7.2759576e-11	0.0	1.5650336e-05	44.55244	0
INTS7	0.037524454	0.037704755	0.04700854700854701	0.030308489	0.05263157894736842	-0.31409365	0.19729824	0
