gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
UBIAD1	0.0523563	-5.820766e-11	0.0	0.05880735	0.08214285714285714	9.202305	10.953251	1
MICOS10	1.1254429	0.6208057	0.5217391304347826	1.1876214	0.8928571428571429	0.93575037	8.899714	1
ECE1	0.96067494	0.46130046	0.4927536231884058	1.0222045	0.8267857142857142	1.1477338	12.24848	1
ELOA-AS1	0.024546938	-5.820766e-11	0.0	0.027571471	0.0375	8.112256	5.2622523	1
LAPTM5	0.8793421	0.55138385	0.5217391304347826	0.91975033	0.7892857142857143	0.7380805	5.175198	1
GJA4	0.42730564	0.07884436	0.08695652173913043	0.47024095	0.4232142857142857	2.5747988	16.273088	1
PSMB2	1.1306674	0.7856388	0.6811594202898551	1.1731801	0.8446428571428571	0.5784258	5.356557	1
OSCP1	0.025930699	-5.820766e-11	0.0	0.029125731	0.04107142857142857	8.191096	5.5445595	1
CITED4	0.55025053	0.2193003	0.21739130434782608	0.59102803	0.5589285714285714	1.4299053	7.760418	1
EFCAB14	0.959741	0.35756937	0.37681159420289856	1.0339366	0.8089285714285714	1.5315888	16.65754	1
TTC39A	0.03771472	-5.820766e-11	0.0	0.04236171	0.055357142857142855	8.73002	7.229493	1
ECHDC2	0.03418915	-5.820766e-11	0.0	0.038401745	0.05178571428571429	8.588781	6.7893443	1
SCP2	0.54458714	0.2960936	0.3333333333333333	0.57520545	0.6089285714285714	0.9577877	5.2832975	1
LINC01358	0.033227995	-5.820766e-11	0.0	0.03732216	0.05178571428571429	8.5477495	6.928533	1
GBP3	0.1608472	0.03856386	0.043478260869565216	0.17591429	0.22321428571428573	2.186635	5.5993223	1
SNX7	0.26967457	0.107637756	0.14492753623188406	0.2896397	0.34285714285714286	1.4272335	5.1222286	1
PALMD	0.17460386	-5.820766e-11	0.0	0.19611757	0.2125	10.938239	26.315453	1
PHTF1	0.22899936	0.073059954	0.10144927536231885	0.24821317	0.2982142857142857	1.7630347	6.605115	1
TSPAN2	0.15154168	0.009666181	0.014492753623188406	0.16902277	0.19642857142857142	4.1141324	16.818274	1
LINC02802	0.12790601	0.019768806	0.028985507246376812	0.14123005	0.18392857142857144	2.830491	8.107776	1
AC242426.2	0.024276964	-5.820766e-11	0.0	0.027268235	0.0375	8.096359	5.221765	1
GJA5	0.13788895	0.0064929016	0.014492753623188406	0.15407884	0.16964285714285715	4.5475473	15.677614	1
S100A6	2.635234	1.1388185	0.4927536231884058	2.8196127	0.8910714285714286	1.3078835	16.203552	1
ADAM15	0.740622	0.36887762	0.4057971014492754	0.7864261	0.725	1.0919615	8.880808	1
NES	0.74420613	0.38323668	0.4057971014492754	0.7886828	0.7053571428571429	1.0410162	7.655258	1
TAGLN2	1.3017287	0.8813057	0.7246376811594203	1.3535308	0.9071428571428571	0.6189562	6.7908235	1
KLHDC9	0.028105224	-5.820766e-11	0.0	0.031568184	0.04285714285714286	8.306891	5.7553363	1
FCRLB	0.025311943	-5.820766e-11	0.0	0.028430734	0.04285714285714286	8.156374	5.8335905	1
GAS5	1.1108776	1.8963804	0.9420289855072463	1.0140909	0.7946428571428571	-0.9029952	11.253956	1
RNASEL	0.028935201	-5.820766e-11	0.0	0.032500427	0.044642857142857144	8.348748	6.089716	1
RGS16	0.061322648	0.007893946	0.014492753623188406	0.06790581	0.07678571428571429	3.0886784	5.0829883	1
LAMC1	1.3353828	0.802871	0.7101449275362319	1.4009951	0.9232142857142858	0.80313516	10.461048	1
C1orf21	0.21556804	0.62083393	0.5217391304347826	0.16563307	0.20357142857142857	-1.9055784	6.2427597	1
CSRP1	0.35454085	0.16242877	0.2028985507246377	0.37821156	0.4142857142857143	1.2188797	5.166509	1
TIMM17A	0.38411644	0.14612393	0.15942028985507245	0.41344047	0.4714285714285714	1.4998491	6.8487425	1
ATP2B4	0.67087317	0.31893045	0.36231884057971014	0.71423787	0.6660714285714285	1.1629126	8.321007	1
CD34	0.9000366	0.24937907	0.2463768115942029	0.9802068	0.7339285714285714	1.9743146	19.679283	1
CDC42BPA	0.7386239	0.46854392	0.5362318840579711	0.77190167	0.7053571428571429	0.7201119	5.1799955	1
FAM89A	0.46119153	0.15015587	0.15942028985507245	0.49951553	0.48392857142857143	1.7333969	9.4171915	1
B3GALNT2	0.13792773	0.028803946	0.057971014492753624	0.15137334	0.18928571428571428	2.3897257	8.233572	1
LYST	0.1513214	0.035311837	0.043478260869565216	0.16561542	0.2125	2.2264042	6.3477473	1
NID1	1.1320899	0.7553942	0.6666666666666666	1.1785045	0.8857142857142857	0.64158696	6.2337093	1
AC144450.1	0.028017892	-5.820766e-11	0.0	0.031470094	0.044642857142857144	8.302416	5.9119396	1
SOX11	0.05877874	-5.820766e-11	0.0	0.06602112	0.06964285714285715	9.368968	8.392648	1
ID2	0.26325166	0.6647272	0.5217391304347826	0.21378297	0.22678571428571428	-1.6361579	5.304277	1
RBKS	0.025314156	-5.820766e-11	0.0	0.028433222	0.039285714285714285	8.1565	5.441268	1
BABAM2	0.12470743	0.033984013	0.057971014492753624	0.13588586	0.17857142857142858	1.9962895	5.350212	1
EHD3	0.20890221	0.5493748	0.4927536231884058	0.16695094	0.1732142857142857	-1.7177653	5.574345	1
LTBP1	0.4977699	0.24874304	0.2608695652173913	0.52845365	0.5267857142857143	1.0868139	5.0657434	1
CRIM1-DT	0.04161507	-5.820766e-11	0.0	0.046742637	0.05714285714285714	8.871679	7.5997458	1
CRIM1	0.64988756	0.25182196	0.30434782608695654	0.6989349	0.6160714285714286	1.4723877	11.877652	1
CDC42EP3	0.72248495	0.22224909	0.2608695652173913	0.7841213	0.7017857142857142	1.8184344	17.140015	1
WDPCP	0.056524612	0.0056244447	0.014492753623188406	0.06279624	0.0875	3.4577663	7.128798	1
SLC1A4	0.3798326	0.10626932	0.14492753623188406	0.41353935	0.4660714285714286	1.9592912	12.159389	1
ACTR2	1.4100245	0.9460116	0.6956521739130435	1.4671973	0.9446428571428571	0.63307893	6.8357253	1
VAMP8	0.3234272	0.060240168	0.08695652173913043	0.3558555	0.38571428571428573	2.560506	15.843684	1
VAMP5	1.0501603	0.39034665	0.36231884057971014	1.1314586	0.8	1.535114	15.365733	1
CYTOR	0.7259336	0.41557392	0.43478260869565216	0.76417464	0.6714285714285714	0.87863904	5.8271728	1
AC092683.1	0.19037426	0.06138726	0.10144927536231885	0.20626733	0.26071428571428573	1.7468551	6.2537127	1
MGAT4A	0.22727203	0.077900186	0.08695652173913043	0.24567647	0.2875	1.6557974	5.0536137	1
UXS1	0.29478505	0.07547122	0.10144927536231885	0.3218076	0.375	2.0907378	10.195758	1
MALL	0.52239937	0.18809554	0.18840579710144928	0.5635907	0.5303571428571429	1.5826714	8.833015	1
MIR4435-2HG	0.46321625	0.18946922	0.2028985507246377	0.49694586	0.5214285714285715	1.3906542	6.900915	1
INHBB	0.6385448	0.3124408	0.3333333333333333	0.67872566	0.5946428571428571	1.1189966	7.1375804	1
CYP27C1	0.034639854	-5.820766e-11	0.0	0.03890798	0.05714285714285714	8.607626	7.4773374	1
NMI	0.1327791	0.0069653043	0.014492753623188406	0.14828116	0.19464285714285715	4.392412	18.640762	1
PSMD14	0.7857447	0.34782562	0.36231884057971014	0.8397026	0.7303571428571428	1.2712713	10.726493	1
HOXD-AS2	0.06459453	-5.820766e-11	0.0	0.07255349	0.09821428571428571	9.5048895	12.192288	1
HOXD9	0.09139522	-5.820766e-11	0.0	0.102656424	0.12678571428571428	10.005013	16.131336	1
HOXD8	0.23526515	0.026500141	0.028985507246376812	0.2609879	0.2910714285714286	3.2950296	15.813281	1
HOXD3	0.0349801	-5.820766e-11	0.0	0.039290152	0.05357142857142857	8.621693	7.3358502	1
HAGLR	0.071195416	-5.820766e-11	0.0	0.079967715	0.1	9.645078	12.871705	1
HOXD1	0.05780199	-5.820766e-11	0.0	0.06492402	0.08571428571428572	9.34483	11.088769	1
LINC01116	0.116668634	0.022325207	0.028985507246376812	0.1282931	0.1625	2.5173745	6.3191023	1
STRADB	0.042917825	-5.820766e-11	0.0	0.048205916	0.07321428571428572	8.916057	9.742917	1
WDR12	0.09044495	0.011307325	0.028985507246376812	0.10019586	0.1375	3.1362298	9.080707	1
NRP2	1.3633168	1.8809016	0.927536231884058	1.299542	0.8696428571428572	-0.53338677	6.998693	1
CCNYL1	0.20126034	0.07058777	0.10144927536231885	0.2173611	0.2785714285714286	1.6212248	5.22112	1
FN1	1.4509118	0.8942691	0.5797101449275363	1.5194978	0.8321428571428572	0.7647472	5.980653	1
LINC01963	0.023114262	-5.820766e-11	0.0	0.02596227	0.039285714285714285	8.02582	5.405751	1
STK11IP	0.033347316	-5.820766e-11	0.0	0.037456185	0.05178571428571429	8.552908	6.6194334	1
EPHA4	0.039184567	-5.820766e-11	0.0	0.044012666	0.05	8.78505	6.4482446	1
AP1S3	0.035908334	-5.820766e-11	0.0	0.040332753	0.05178571428571429	8.659382	6.9371467	1
FAM124B	0.092257954	-5.820766e-11	0.0	0.103625454	0.125	10.018555	15.724268	1
PSMD1	1.0184346	0.5207805	0.4782608695652174	1.079753	0.8303571428571429	1.0518106	9.955874	1
INPP5D	0.13877602	0.029928496	0.057971014492753624	0.15218759	0.18214285714285713	2.3423944	7.8549	1
AC093915.1	0.040372282	-5.820766e-11	0.0	0.045346726	0.05892857142857143	8.828033	7.727266	1
AC012063.1	0.026249455	-5.820766e-11	0.0	0.029483764	0.04285714285714286	8.208663	5.893848	1
KIF1A	0.09123844	-5.820766e-11	0.0	0.10248032	0.11071428571428571	10.002539	13.36023	1
RAD18	0.048374668	0.0056244447	0.014492753623188406	0.053642105	0.07857142857142857	3.2308452	5.7172155	1
PRRT3	0.020534625	-5.820766e-11	0.0	0.023064787	0.0375	7.8557906	5.107276	1
KAT2B	0.02606458	-5.820766e-11	0.0	0.029276112	0.039285714285714285	8.198501	5.257626	1
ACY1	0.025597733	-5.820766e-11	0.0	0.028751738	0.04107142857142857	8.172515	5.5702763	1
SEMA3G	0.035079606	-5.820766e-11	0.0	0.039401915	0.05178571428571429	8.62578	6.7523866	1
WNT5A	0.087976955	-5.820766e-11	0.0	0.098816976	0.125	9.950075	15.423348	1
FLNB	0.42181566	0.11992028	0.14492753623188406	0.45901364	0.4928571428571429	1.935573	11.713448	1
ZBTB11-AS1	0.0455847	-5.820766e-11	0.0	0.05120139	0.06964285714285715	9.002855	9.083681	1
ADPRH	0.02511283	-5.820766e-11	0.0	0.028207088	0.04107142857142857	8.1450205	5.6981297	1
MGLL	0.5449707	0.0893796	0.13043478260869565	0.6011063	0.5678571428571428	2.7482295	27.747356	1
EPHB1	0.051346492	-5.820766e-11	0.0	0.05767312	0.07857142857142857	9.174255	10.168057	1
PIK3CB	0.06949164	-5.820766e-11	0.0	0.078054	0.10892857142857143	9.610177	14.133861	1
ATP1B3	0.6790909	0.40912265	0.4492753623188406	0.71235526	0.6767857142857143	0.79991347	5.1869144	1
TM4SF18	1.5696664	1.0923368	0.7101449275362319	1.6284801	0.9107142857142857	0.5760648	6.03721	1
MECOM	0.6645103	0.3368448	0.37681159420289856	0.7048836	0.6535714285714286	1.0650775	7.2601204	1
TNFSF10	0.3715567	0.055083912	0.057971014492753624	0.41055068	0.36964285714285716	2.895592	17.374804	1
TTC14	0.3413927	0.13330843	0.17391304347826086	0.36703157	0.41785714285714287	1.4604474	7.042552	1
EIF4G1	0.6731397	0.38535506	0.4057971014492754	0.7085992	0.6767857142857143	0.87861085	5.601559	1
DGKG	0.028448008	-5.820766e-11	0.0	0.031953212	0.044642857142857144	8.324326	6.136201	1
FGF12	0.18344456	0.06133729	0.08695652173913043	0.19848992	0.2375	1.692606	5.103365	1
TMEM44-AS1	0.0251089	-5.820766e-11	0.0	0.028202677	0.039285714285714285	8.144795	5.3914886	1
APOD	0.030743673	-5.820766e-11	0.0	0.034531735	0.04285714285714286	8.435952	5.4490957	1
PIGZ	0.024218546	-5.820766e-11	0.0	0.027202616	0.039285714285714285	8.092896	5.3623633	1
IQCG	0.063428536	-5.820766e-11	0.0	0.07124384	0.09107142857142857	9.478646	11.906052	1
HTRA3	0.15381856	0.023374401	0.028985507246376812	0.16989113	0.2	2.8562992	9.286514	1
ADGRA3	0.025632394	-5.820766e-11	0.0	0.028790675	0.04107142857142857	8.174461	5.3528914	1
UCHL1	1.9344628	0.6567474	0.463768115942029	2.0918956	0.9142857142857143	1.6712495	22.799603	1
ATP8A1	0.052729085	-5.820766e-11	0.0	0.059226062	0.08392857142857142	9.212523	10.979858	1
LNX1	0.05449378	-5.820766e-11	0.0	0.061208192	0.08392857142857142	9.259937	11.008346	1
ABCG2	0.032788884	-5.820766e-11	0.0	0.036828943	0.04642857142857143	8.528609	6.0089345	1
GPRIN3	0.46836957	0.13367935	0.15942028985507245	0.50960827	0.4589285714285714	1.9298165	12.331571	1
MMRN1	0.1713136	0.015933778	0.028985507246376812	0.19045863	0.20892857142857144	3.5710485	14.130135	1
EMCN	1.0592961	2.0150692	0.9130434782608695	0.94152904	0.7303571428571428	-1.0976702	14.998404	1
AP001816.1	0.03977906	-5.820766e-11	0.0	0.044680405	0.0625	8.806725	8.245642	1
SMAD1	0.6613305	0.31823853	0.30434782608695654	0.7036045	0.6339285714285714	1.1444081	6.62947	1
EDNRA	0.045116283	-5.820766e-11	0.0	0.050675254	0.05357142857142857	8.987983	6.780367	1
GASK1B	0.26137656	0.08885003	0.10144927536231885	0.2826339	0.32857142857142857	1.6683778	5.7327824	1
DDX60L	0.07342479	-5.820766e-11	0.0	0.08247176	0.11785714285714285	9.689506	14.871663	1
AADAT	0.026216041	-5.820766e-11	0.0	0.029446231	0.04107142857142857	8.206831	5.492611	1
MYO10	1.2946073	0.7383767	0.6956521739130435	1.3631425	0.9214285714285714	0.8844179	11.935709	1
SLC38A9	0.07655966	0.009121281	0.014492753623188406	0.08486905	0.12321428571428572	3.2038984	7.2286286	1
RNF180	0.044016987	-5.820766e-11	0.0	0.049440507	0.06785714285714285	8.952466	8.90943	1
CARTPT	0.04760009	-5.820766e-11	0.0	0.053465106	0.04285714285714286	9.06515	5.2776723	1
ADGRV1	0.029802447	-5.820766e-11	0.0	0.033474535	0.05	8.391225	6.7773356	1
EFNA5	0.031780906	-5.820766e-11	0.0	0.035696767	0.05178571428571429	8.483686	6.971568	1
FER	0.22231218	0.08356038	0.11594202898550725	0.2394083	0.3	1.5174593	5.0203443	1
UQCRQ	1.0430324	0.6799186	0.6086956521739131	1.0877731	0.8535714285714285	0.67786413	6.03232	1
SPINK5	0.026108468	-5.820766e-11	0.0	0.029325403	0.04107142857142857	8.200919	5.5323663	1
SH3TC2	0.02631344	-5.820766e-11	0.0	0.02955563	0.044642857142857144	8.212163	6.0450225	1
ARHGEF37	0.02111392	-5.820766e-11	0.0	0.023715455	0.0375	7.8957553	5.1593714	1
NDST1	0.3837666	0.14997418	0.2028985507246377	0.41257304	0.4625	1.4593233	7.6557407	1
GPX3	0.12537585	0.008082681	0.014492753623188406	0.13982804	0.15714285714285714	4.095968	13.390433	1
UBLCP1	0.32169667	0.12666972	0.15942028985507245	0.34572667	0.4142857142857143	1.4478388	6.1755967	1
NOP16	0.077145696	0.011307325	0.028985507246376812	0.08525795	0.11785714285714285	2.903565	7.1296115	1
N4BP3	0.2782987	0.08894031	0.10144927536231885	0.30163032	0.3410714285714286	1.7607291	6.407268	1
BTNL9	0.22543354	0.05330134	0.08695652173913043	0.24664252	0.2875	2.2080584	9.711443	1
NRN1	0.11426236	0.0133223375	0.014492753623188406	0.12669961	0.14107142857142857	3.2398424	7.7492104	1
AL031058.1	0.033058874	-5.820766e-11	0.0	0.037132204	0.05357142857142857	8.540408	6.944757	1
GCNT2	0.11183935	-5.820766e-11	0.0	0.12561956	0.1625	10.295995	21.002756	1
PHACTR1	0.264753	0.097072355	0.11594202898550725	0.28541347	0.35	1.5549409	5.2031107	1
SIRT5	0.05683811	-5.820766e-11	0.0	0.06384137	0.0875	9.320607	11.278582	1
RNF144B	0.032563906	-5.820766e-11	0.0	0.03657624	0.05178571428571429	8.5187025	6.8792667	1
E2F3	0.21352038	0.04996907	0.07246376811594203	0.23367205	0.29285714285714287	2.223111	8.952902	1
CARMIL1	0.025296083	-5.820766e-11	0.0	0.028412921	0.039285714285714285	8.155473	5.1563673	1
HFE	0.026006976	-5.820766e-11	0.0	0.02921141	0.04285714285714286	8.195319	5.9579077	1
HIST1H4H	0.032828093	-5.820766e-11	0.0	0.03687298	0.05357142857142857	8.530329	7.282204	1
HLA-C	1.426091	1.0253992	0.7971014492753623	1.4754617	0.8964285714285715	0.5249379	5.5682034	1
LY6G5B	0.035210982	0.003224644	0.014492753623188406	0.039152183	0.055357142857142855	3.561501	5.4410415	1
NOTCH4	0.68248314	0.33752882	0.3333333333333333	0.7249867	0.6625	1.1027155	6.7668395	1
TAP1	0.05215933	-5.820766e-11	0.0	0.058586106	0.07321428571428572	9.196877	9.204239	1
CPNE5	0.21757153	0.068789	0.08695652173913043	0.23590341	0.275	1.7764622	5.383973	1
ENPP4	0.07094241	0.009444783	0.014492753623188406	0.078519806	0.10357142857142858	3.0421085	5.8976316	1
ADGRF5	1.1057026	0.65481436	0.5362318840579711	1.161258	0.8589285714285714	0.82643455	6.8385057	1
AL353138.1	0.28642803	0.078047164	0.08695652173913043	0.3121033	0.34285714285714286	1.9982202	8.208356	1
TRAM2	0.27575564	0.108898	0.14492753623188406	0.29631472	0.35892857142857143	1.4433153	5.535383	1
DST	0.8960415	0.53286684	0.5217391304347826	0.9407893	0.7678571428571429	0.8199792	6.5617895	1
BAG2	0.094239905	0.010463704	0.014492753623188406	0.10456233	0.13392857142857142	3.3085546	8.216997	1
FAM135A	0.044865925	-5.820766e-11	0.0	0.050394047	0.06964285714285715	8.97997	8.895318	1
FILIP1	0.84385365	0.42220017	0.42028985507246375	0.8958066	0.7142857142857143	1.0850797	8.518111	1
HMGN3	0.8043216	0.48340124	0.5072463768115942	0.8438636	0.75	0.80366135	6.2701774	1
CRYBG1	0.04801759	-5.820766e-11	0.0	0.053934045	0.06607142857142857	9.077725	8.562298	1
TRAF3IP2	0.16132334	0.007893946	0.014492753623188406	0.18022801	0.23035714285714284	4.495572	22.179604	1
LAMA4	1.8175637	1.2959542	0.8115942028985508	1.8818336	0.9535714285714286	0.5380896	7.1151524	1
AL356124.1	0.041546334	-5.820766e-11	0.0	0.046665434	0.0625	8.8693	8.328398	1
ARHGAP18	0.73276657	0.323891	0.36231884057971014	0.78314614	0.6607142857142857	1.273512	10.116606	1
TMEM200A	0.05586202	0.0056244447	0.014492753623188406	0.062052023	0.08392857142857142	3.4405937	6.801008	1
SGK1	0.33342925	0.8723023	0.6086956521739131	0.26703006	0.26964285714285713	-1.7074513	6.791245	1
TNFAIP3	0.30249047	0.65042585	0.5797101449275363	0.25961792	0.30178571428571427	-1.3246609	5.3392267	1
AKAP12	0.9315636	0.59854347	0.5652173913043478	0.9725961	0.7232142857142857	0.70029205	5.2131033	1
TMEM181	0.3905539	0.15272917	0.17391304347826086	0.41985705	0.45535714285714285	1.4583218	6.8774343	1
RPS6KA2	0.62389445	0.1734636	0.18840579710144928	0.6793942	0.6142857142857143	1.9689969	15.619151	1
AC091729.3	0.059353687	-5.820766e-11	0.0	0.06666691	0.08392857142857142	9.38299	10.403323	1
THSD7A	0.26117703	0.085526936	0.10144927536231885	0.28281948	0.3125	1.7242547	5.9962955	1
RAPGEF5	1.2180643	0.6934367	0.6086956521739131	1.2827058	0.8857142857142857	0.88725865	9.570885	1
SNX10	0.089898065	0.01608815	0.028985507246376812	0.098992504	0.1357142857142857	2.6138377	6.217985	1
HOXA9	0.12779377	-5.820766e-11	0.0	0.1435398	0.18035714285714285	10.488241	23.267668	1
HOXA10	0.15189002	-5.820766e-11	0.0	0.17060505	0.21964285714285714	10.737291	28.77808	1
HOXA11	0.04940706	-5.820766e-11	0.0	0.05549472	0.08035714285714286	9.118805	10.517467	1
AQP1	0.0469731	-5.820766e-11	0.0	0.05276086	0.06607142857142857	9.046057	7.8505764	1
BBS9	0.038241994	-5.820766e-11	0.0	0.042953953	0.06428571428571428	8.750003	8.418877	1
AC018647.2	0.052696586	-5.820766e-11	0.0	0.05918956	0.07857142857142857	9.211636	9.774917	1
AC004951.1	0.07808722	0.007839264	0.014492753623188406	0.08674278	0.11785714285714285	3.4513288	8.4441185	1
