gene	mean	VO_mean	VO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
LINC00115	0.008667519	0.008864138	0.010848126232741617	-5.820766e-11	0.0	-6.486094	7.3703156	1
FAM41C	0.017737085	0.018139424	0.022353714661406968	-5.820766e-11	0.0	-7.510917	14.861054	1
AL645608.7	0.0059647085	0.0061000213	0.00821827744904668	-5.820766e-11	0.0	-5.954202	5.7109447	1
VWA1	0.081403375	0.072104275	0.0831689677843524	0.49136847	0.4492753623188406	2.7669427	6.9339957	1
AL391845.2	0.0060222624	0.006158881	0.007232084155161078	-5.820766e-11	0.0	-5.9678335	5.327036	1
MORN1	0.0116195595	0.011883138	0.014792899408284023	-5.820766e-11	0.0	-6.904863	10.24104	1
RER1	0.6778376	0.6849301	0.6259040105193951	0.3652132	0.37681159420289856	-0.90703356	5.641122	1
MEGF6	0.027391614	0.028012943	0.03451676528599606	-5.820766e-11	0.0	-8.135092	21.585857	1
RNF207	0.008889866	0.009091528	0.011505588428665352	-5.820766e-11	0.0	-6.5222335	7.9928346	1
ACOT7	0.29179066	0.29557222	0.3277449046679816	0.12505493	0.17391304347826086	-1.2402836	5.195282	1
ENO1	1.7924391	1.7730414	0.9585798816568047	2.6476123	1.0	0.5784388	19.460754	1
PIK3CD-AS2	0.017275088	0.017666947	0.023011176857330704	-5.820766e-11	0.0	-7.473053	15.224166	1
AL139424.3	0.0075323377	0.007703208	0.010190664036817882	-5.820766e-11	0.0	-6.2859964	7.1783543	1
AL139424.2	0.010431233	0.010667857	0.013149243918474688	-5.820766e-11	0.0	-6.7505884	8.90933	1
PGD	0.6168761	0.62484276	0.584155161078238	0.26563215	0.30434782608695654	-1.2337513	8.486571	1
CORT	0.0063156025	0.0064588743	0.00821827744904668	-5.820766e-11	0.0	-6.035377	5.8879538	1
UBIAD1	0.055848837	0.057115473	0.07034845496383958	-5.820766e-11	0.0	-9.160262	44.55244	1
FBXO2	0.0072526303	0.0074171564	0.009204470742932281	-5.820766e-11	0.0	-6.2321157	6.092437	1
FBXO6	0.017939107	0.018346028	0.024983563445101907	-5.820766e-11	0.0	-7.5271673	16.045095	1
AL021155.5	0.009807196	0.010029667	0.011834319526627219	-5.820766e-11	0.0	-6.6624436	7.997377	1
KAZN	0.116281085	0.1186205	0.14365548980933596	0.013151455	0.028985507246376812	-3.1633465	14.064483	1
SLC25A34	0.0067287656	0.006881409	0.008875739644970414	-5.820766e-11	0.0	-6.1254473	6.1683292	1
EPHA2	0.21956727	0.22312044	0.24983563445101906	0.06289907	0.07246376811594203	-1.8250667	6.0993443	1
AL109627.1	0.005986691	0.0061225025	0.006903353057199211	-5.820766e-11	0.0	-5.959424	5.2130504	1
CPLANE2	0.0075183036	0.0076888558	0.010190664036817882	-5.820766e-11	0.0	-6.2833405	7.055574	1
LINC01772	0.012153818	0.012429515	0.015121630506245891	-5.820766e-11	0.0	-6.9691877	10.164026	1
ALDH4A1	0.029683555	0.03035687	0.03780407626561473	-5.820766e-11	0.0	-8.250625	24.152365	1
MICOS10	1.4642599	1.4833928	0.9138724523339908	0.6208057	0.5217391304347826	-1.2565519	15.880763	1
TMCO4	0.024537323	0.02509391	0.030900723208415515	-5.820766e-11	0.0	-7.976932	19.354189	1
CAMK2N1	0.09576475	0.097937115	0.11702827087442472	-5.820766e-11	0.0	-9.937185	44.55244	1
ECE1	0.7576798	0.76440346	0.663379355687048	0.46130046	0.4927536231884058	-0.72850364	5.102146	1
ALPL	0.006216296	0.006357315	0.00821827744904668	-5.820766e-11	0.0	-6.012863	5.8942175	1
CDC42-IT1	0.012808417	0.013098962	0.015779092702169626	-5.820766e-11	0.0	-7.0442815	10.426213	1
LINC01355	0.018793117	0.01921941	0.023997370151216304	-5.820766e-11	0.0	-7.593908	15.760016	1
TCEA3	0.018930187	0.019359589	0.023997370151216304	-5.820766e-11	0.0	-7.604338	15.486975	1
ID3	1.5067278	1.4892311	0.8648915187376726	2.278107	0.9565217391304348	0.61323416	11.427419	1
MDS2	0.008845518	0.0090461755	0.011505588428665352	-5.820766e-11	0.0	-6.5150976	7.896798	1
ELOA-AS1	0.013804799	0.014117944	0.018080210387902695	-5.820766e-11	0.0	-7.15157	11.716357	1
STMN1	1.9045736	1.9173951	0.9667981591058514	1.3393389	0.8405797101449275	-0.51759416	7.7806096	1
GPR3	0.0051030307	0.0052187988	0.007232084155161078	-5.820766e-11	0.0	-5.7330294	5.117426	1
RAB42	0.0065000765	0.0066475323	0.011505588428665352	-5.820766e-11	0.0	-6.0762887	7.590292	1
TINAGL1	0.011677522	0.0119424155	0.01643655489809336	-5.820766e-11	0.0	-6.911982	10.75561	1
COL16A1	0.03290405	0.033650417	0.047337278106508875	-5.820766e-11	0.0	-8.398763	29.959524	1
SPOCD1	0.0069262837	0.0070834076	0.01051939513477975	-5.820766e-11	0.0	-6.1665974	6.9971433	1
CSMD2	0.010244943	0.010477342	0.013477975016436555	-5.820766e-11	0.0	-6.724834	8.946406	1
GJA4	0.7039475	0.7181285	0.5621301775147929	0.07884436	0.08695652173913043	-3.1855347	31.735226	1
PSMB2	1.3023378	1.3140583	0.8550295857988166	0.7856388	0.6811594202898551	-0.7420173	9.030501	1
OSCP1	0.02114011	0.021619637	0.027613412228796843	-5.820766e-11	0.0	-7.762857	18.062037	1
ZC3H12A	0.012455941	0.0127384905	0.01643655489809336	-5.820766e-11	0.0	-7.0043325	10.883297	1
POU3F1	0.014814825	0.01515088	0.022682445759368838	-5.820766e-11	0.0	-7.2527494	14.549131	1
NDUFS5	1.8710785	1.88453	0.9690992767915845	1.2780662	0.8840579710144928	-0.5602059	11.416067	1
CITED4	0.52705187	0.53403205	0.47764628533859305	0.2193003	0.21739130434782608	-1.283631	6.4688873	1
SLC2A1	0.090104684	0.07971657	0.08777120315581854	0.54808563	0.5217391304347826	2.7799044	8.248122	1
