gene	mean	VO_mean	VO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
AGRN	0.16184315	0.14714023	0.1752136752136752	0.24170662	0.29464285714285715	0.7156818	6.7295537	1
MXRA8	0.038583364	0.043943483	0.060486522024983565	0.009459718	0.01607142857142857	-2.2038887	12.655532	1
VWA1	0.10540291	0.072104275	0.0831689677843524	0.2862895	0.3107142857142857	1.9878224	24.077442	1
KLHL21	0.04139529	0.04547862	0.05719921104536489	0.01920758	0.03214285714285714	-1.23919	5.2796373	1
SLC25A33	0.08734928	0.09441729	0.11702827087442472	0.048962507	0.06785714285714285	-0.9459573	5.8743553	1
TNFRSF1B	0.1347151	0.11931106	0.13773833004602234	0.21839799	0.2642857142857143	0.87168354	7.8715224	1
KAZN	0.11088094	0.1186205	0.14365548980933596	0.06884566	0.09821428571428571	-0.78403735	5.3706303	1
DDI2	0.16433066	0.14511064	0.16798159105851412	0.26873103	0.325	0.8885525	10.201927	1
HSPB7	0.0107843	0.0034549388	0.0046022353714661405	0.050598554	0.06607142857142857	3.834048	7.5509396	1
EPHA2	0.20578401	0.22312044	0.24983563445101906	0.111590795	0.15535714285714286	-0.9989588	14.931004	1
RCC2	0.26204705	0.27625307	0.30900723208415515	0.18486059	0.24285714285714285	-0.5792947	7.3664217	1
NBL1	0.118680574	0.107194744	0.1252465483234714	0.18107934	0.23214285714285715	0.75583905	5.5290933	1
CAMK2N1	0.08707569	0.097937115	0.11702827087442472	0.028082889	0.0375	-1.7985085	15.627059	1
HMGCL	0.16770409	0.1552214	0.1804733727810651	0.23550148	0.29285714285714287	0.60109204	5.19959	1
COL16A1	0.029440932	0.033650417	0.047337278106508875	0.0065751444	0.014285714285714285	-2.3380344	12.272731	1
KIAA1522	0.07160585	0.07878724	0.09434582511505589	0.032589886	0.044642857142857144	-1.2709476	7.713996	1
GJA4	0.6795802	0.7181285	0.5621301775147929	0.47024095	0.4232142857142857	-0.610736	15.01645	1
SH3D21	0.03251224	0.02359377	0.029585798816568046	0.08095886	0.10535714285714286	1.7744621	6.7812595	1
RRAGC	0.39914674	0.42268106	0.43326758711374097	0.27129135	0.3375	-0.6395361	13.372485	1
HEYL	0.07205321	0.08019178	0.1042077580539119	0.027838273	0.03571428571428571	-1.5230095	10.443835	1
RLF	0.22156511	0.1985982	0.2284681130834977	0.34631225	0.4125	0.80191106	12.065387	1
SLC2A1	0.14349578	0.07971657	0.08777120315581854	0.48995826	0.49642857142857144	2.618193	44.55244	1
CYP4X1	0.0076936013	0.009110062	0.012163050624589087	6.693881e-10	0.0	-6.5251293	8.19401	1
TAL1	0.05659722	0.047578212	0.055226824457593686	0.10558345	0.1357142857142857	1.1483475	5.527461	1
YIPF1	0.24773937	0.260189	0.2866535174227482	0.18009338	0.23035714285714284	-0.5305682	5.645256	1
ACOT11	0.10704216	0.094535366	0.11242603550295859	0.17498663	0.22142857142857142	0.8876176	6.6044765	1
PLPP3	1.0067643	0.9443399	0.7100591715976331	1.3458823	0.8428571428571429	0.51112854	26.257458	1
NFIA	0.37159225	0.3995044	0.3826429980276134	0.21995234	0.25357142857142856	-0.86072564	18.204773	1
NFIA-AS2	0.16038327	0.17986968	0.19822485207100593	0.054509707	0.07142857142857142	-1.7205247	27.372463	1
L1TD1	0.007493609	0.008773345	0.011834319526627219	0.0005427126	0.0017857142857142857	-3.7872324	6.271014	1
PGM1	0.11396249	0.09083552	0.11012491781722551	0.23959719	0.2785714285714286	1.3982971	15.058815	1
ROR1	0.09824135	0.10641382	0.1295200525969757	0.05385484	0.06964285714285715	-0.98121625	6.3285155	1
AK4	0.18428385	0.11678692	0.12787639710716633	0.55093396	0.5571428571428572	2.2370276	44.55244	1
PDE4B	0.2641524	0.22863631	0.24326101249178173	0.45707017	0.4875	0.99904585	20.393517	1
RABGGTB	0.23705909	0.25195426	0.28007889546351084	0.15612799	0.20357142857142857	-0.6900813	8.6507225	1
CCN1	0.51315445	0.5389162	0.4891518737672584	0.37319976	0.36964285714285716	-0.5299941	9.553695	1
GBP4	0.034162942	0.022048453	0.024983563445101907	0.09997078	0.12321428571428572	2.1757429	8.716214	1
EPHX4	0.2393214	0.25881425	0.28270874424720577	0.13341473	0.175	-0.95547533	15.432996	1
SNX7	0.4235812	0.44823578	0.45759368836291914	0.2896397	0.34285714285714286	-0.62982225	13.624137	1
OLFM3	0.009825026	0.01163386	0.016107823800131493	6.693881e-10	0.0	-6.874524	9.526434	1
COL11A1	0.22565575	0.1486782	0.16370808678500987	0.6438018	0.5571428571428572	2.1136777	44.55244	1
OLFML3	0.076885305	0.08433487	0.10355029585798817	0.036426067	0.05	-1.2089125	7.5298038	1
NGF	0.013950047	0.01593784	0.022682445759368838	0.0031528969	0.005357142857142857	-2.301683	5.4898977	1
ATP1A1	0.4158418	0.3889969	0.40532544378698226	0.5616565	0.6071428571428571	0.5298155	12.264193	1
PHGDH	0.10936144	0.11798809	0.1443129520052597	0.06250767	0.07321428571428572	-0.91545224	5.73714	1
NOTCH2	0.091333196	0.10326555	0.131163708086785	0.02652308	0.04107142857142857	-1.9570061	21.92099	1
FAM72D	0.007736886	0.009161315	0.011176857330703484	6.693881e-10	0.0	-6.5331354	7.4952207	1
TXNIP	0.3837511	0.2809032	0.27909270216962523	0.9424272	0.7375	1.7459478	44.55244	1
GJA5	0.07394697	0.05919464	0.05259697567389875	0.15407884	0.16964285714285715	1.3786312	7.479029	1
NBPF14	0.034167312	0.03855824	0.05489809335963182	0.010316008	0.01607142857142857	-1.8919736	8.616229	1
SV2A	0.121238016	0.11039964	0.13313609467455623	0.18011959	0.23035714285714284	0.7057141	5.0212216	1
ECM1	0.13011397	0.11713464	0.1341222879684418	0.20062555	0.2392857142857143	0.7758253	5.949274	1
S100A16	1.1343117	1.0521412	0.7735042735042735	1.5806782	0.9482142857142857	0.5871695	44.55244	1
CRTC2	0.05599865	0.06259248	0.07856673241288625	0.020173518	0.02857142857142857	-1.628696	9.733765	1
SLC39A1	0.31381762	0.29149273	0.31985535831689677	0.4350795	0.4982142857142857	0.5776559	9.978228	1
SHE	0.25171277	0.23620683	0.2577251808021039	0.33592975	0.3821428571428571	0.50792754	5.6353326	1
KCNN3	0.39739808	0.36292034	0.37442472057856674	0.584675	0.5589285714285714	0.68783134	15.175026	1
VANGL2	0.0518673	0.056705587	0.07133464825772518	0.025578585	0.039285714285714285	-1.1454673	5.436108	1
USF1	0.03927793	0.043526582	0.054240631163708086	0.016192045	0.02142857142857143	-1.4210398	5.480581	1
APOA2	0.0072190654	-1.1568773e-09	0.0	0.04643406	0.0625	8.86216	8.257909	1
OLFML2B	0.017424555	0.020420413	0.028599605522682446	0.0011514694	0.0017857142857142857	-4.035365	13.2624	1
DDR2	0.0705658	0.07922534	0.10092044707429323	0.023519447	0.03571428571428571	-1.7478067	13.150263	1
HSD17B7	0.066006	0.072751254	0.09040105193951348	0.029358394	0.044642857142857144	-1.306275	8.234244	1
ILDR2	0.05159718	0.059730396	0.06969099276791585	0.0074096182	0.010714285714285714	-2.9940672	22.852621	1
DNM3OS	0.14967771	0.1611284	0.18573307034845496	0.08747078	0.10357142857142858	-0.88058454	7.2221947	1
