gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
TRAM1L1	0.029506909	0.03283894	0.04142011834319527	0.0049652127	0.007263922518159807	-2.7010996	10.523305	1
NDST3	0.012760573	0.014493136	0.018408941485864562	3.0559022e-10	0.0	-7.1891418	11.8731575	1
PRSS12	0.00512838	0.0058247503	0.007889546351084813	3.0559022e-10	0.0	-5.888678	5.40627	1
SPRY1	0.59382254	0.5274744	0.4888231426692965	1.0825135	0.7990314769975787	1.0370717	43.649353	1
PCDH18	0.13979122	0.15007621	0.16995397764628534	0.06404368	0.07263922518159806	-1.2272773	9.54889	1
SMAD1	0.9541077	1.006045	0.7725180802103879	0.5716091	0.48668280871670705	-0.81548506	31.29027	1
EDNRA	0.20519334	0.22964893	0.23438527284681132	0.025041575	0.026634382566585957	-3.1919112	44.55244	1
SFRP2	0.031080095	0.034997627	0.03451676528599606	0.0022258512	0.002421307506053269	-3.9155428	13.472693	1
MAP9	0.14622697	0.15563549	0.18211702827087442	0.07693469	0.09927360774818401	-1.0155176	8.227644	1
GUCY1A1	0.08540592	0.09479021	0.11571334648257725	0.016293125	0.021791767554479417	-2.5331683	22.476498	1
GUCY1B1	0.08587982	0.09438772	0.11768573307034845	0.023222154	0.031476997578692496	-2.018426	16.363928	1
TDO2	0.05131034	0.057675347	0.06476002629848784	0.004421391	0.007263922518159807	-3.6756155	24.863348	1
GRIA2	0.027095966	0.030564595	0.036817882971729124	0.0015481884	0.002421307506053269	-4.217621	16.404596	1
GASK1B	0.4410723	0.46204528	0.44543063773833	0.2865757	0.29782082324455206	-0.68892676	10.4719095	1
FSTL5	0.010095751	0.011466521	0.014792899408284023	3.0559022e-10	0.0	-6.853807	9.472149	1
NPY1R	0.053370755	0.059881203	0.07330703484549639	0.0054104603	0.004842615012106538	-3.4442658	18.830551	1
CPE	0.16614316	0.17486301	0.19789612097304404	0.10189613	0.12590799031476999	-0.7785356	5.496257	1
PALLD	0.35658202	0.3812644	0.3865877712031558	0.17476247	0.18886198547215496	-1.1249493	19.888922	1
AC097534.2	0.024174208	0.015987894	0.020710059171597635	0.08447176	0.08958837772397095	2.3942006	5.6791444	1
AC093849.2	0.012101177	0.013744216	0.018408941485864562	3.0559022e-10	0.0	-7.1131353	12.034464	1
CEP44	0.107706934	0.096694104	0.11735700197238659	0.18882932	0.21307506053268765	0.96485555	5.3885784	1
HPGD	0.42112166	0.44834116	0.3711374095989481	0.22061409	0.19854721549636803	-1.0227399	15.568254	1
TENM3	0.026746906	0.029982567	0.0391190006574622	0.0029150818	0.002421307506053269	-3.3186586	10.338289	1
STOX2	0.030461725	0.033819195	0.044707429322813935	0.0057326923	0.009685230024213076	-2.539868	10.506881	1
ANKRD37	0.07204554	0.044655126	0.05259697567389875	0.27378726	0.2566585956416465	2.6134572	17.627073	1
C4orf47	0.026730448	0.018754127	0.022682445759368838	0.085481316	0.09685230024213075	2.1824155	5.96338	1
CYP4V2	0.031350438	0.034778915	0.04503616042077581	0.0060983845	0.009685230024213076	-2.492391	10.332525	1
CLPTM1L	0.4129907	0.42868516	0.4368836291913215	0.29737717	0.34382566585956414	-0.52747595	7.471259	1
SEMA5A	0.20345183	0.21870714	0.2274819197896121	0.091066554	0.1016949152542373	-1.2630832	13.796315	1
BASP1	0.5684424	0.6087453	0.5276134122287969	0.2715687	0.2857142857142857	-1.1642275	35.1317	1
CDH6	0.0076685795	0.008709822	0.012163050624589087	3.0559022e-10	0.0	-6.4610367	7.9530315	1
NPR3	0.09338746	0.044695456	0.048980933596318214	0.45203316	0.36561743341404357	3.3353233	28.529877	1
IL7R	0.09282215	0.10291324	0.11669953977646286	0.018503325	0.026634382566585957	-2.4691973	24.24843	1
EMB	0.2632835	0.27448523	0.29322813938198555	0.1807577	0.20581113801452786	-0.6023989	5.24221	1
ISL1	0.03384818	0.036935236	0.04700854700854701	0.01111091	0.014527845036319613	-1.7239952	5.3244076	1
HTR1A	0.00506092	0.005748132	0.007560815253122946	3.0559022e-10	0.0	-5.8698997	5.569547	1
RGS7BP	0.013366945	0.015000601	0.022682445759368838	0.0013348837	0.002421307506053269	-3.3956003	8.444287	1
AK6	0.297175	0.30844238	0.3330046022353715	0.21416682	0.24939467312348668	-0.5260602	5.0125985	1
MCCC2	0.16030179	0.16923988	0.19756738987508218	0.094447464	0.1162227602905569	-0.8408111	6.1890306	1
CARTPT	0.033041272	0.037020314	0.026627218934911243	0.0037339819	0.004842615012106538	-3.2752936	9.220534	1
ENC1	0.3659944	0.38654283	0.3888888888888889	0.21462423	0.23002421307506055	-0.8485164	12.756157	1
GCNT4	0.0056758453	0.006446543	0.009204470742932281	3.0559022e-10	0.0	-6.032657	6.3991127	1
PDE8B	0.009933163	0.011281859	0.014792899408284023	3.0559022e-10	0.0	-6.830588	9.622067	1
RASGRF2	0.18138555	0.16786402	0.1903353057199211	0.28096423	0.3026634382566586	0.74274755	5.8090167	1
VCAN	0.37384173	0.39176485	0.3175542406311637	0.24180815	0.22760290556900725	-0.69589674	7.490624	1
MEF2C	1.0616401	1.0044698	0.76232741617357	1.4827441	0.9031476997578692	0.5617891	35.66624	1
ARRDC3	0.45961204	0.41322315	0.4017094017094017	0.80128735	0.6319612590799032	0.9552297	23.38402	1
NR2F1-AS1	0.067431755	0.072256215	0.09664694280078895	0.031890288	0.043583535108958835	-1.177483	5.396863	1
NR2F1	0.21076196	0.23544393	0.22813938198553582	0.028942646	0.03631961259079903	-3.0197513	44.55244	1
