gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
LILRB3	0.004249199	0.0075146663	0.013157894736842105	0.0038060201	0.005357142857142857	-0.96308136	0.19557063	0
AC245052.7	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRA6	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRB5	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRB2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRA5	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRA4	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LAIR1	0.0022964226	-7.2759576e-11	0.0	0.0026080802	0.0035714285714285713	4.7591996	0.8027703	0
TTYH1	0.016603718	0.006685456	0.013157894736842105	0.017949715	0.02142857142857143	1.4114585	0.7156065	0
AC245884.1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC245884.9	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC245884.10	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC245884.8	0.0022994487	-7.2759576e-11	0.0	0.0026115167	0.0035714285714285713	4.7610292	0.78565425	0
LENG8-AS1	0.023193022	0.016866796	0.02631578947368421	0.024051556	0.03571428571428571	0.50940204	0.2312749	0
LENG8	0.22411048	0.24307331	0.34210526315789475	0.22153662	0.275	-0.13378859	0.19776371	0
LENG9	0.07512565	0.1303159	0.18421052631578946	0.06763577	0.0875	-0.9451301	1.0968705	0
CDC42EP5	0.5058048	0.4182979	0.4473684210526316	0.5176812	0.4982142857142857	0.3074671	0.89721733	0
LAIR2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRA2	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
AC245036.5	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRA1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRB1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRB1-AS1	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
LILRB4	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
KIR3DL3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
KIR2DL3	7.930794e-10	-7.2759576e-11	0.0	6.693881e-10	0.0	1.0662885e-05	43.51105	0
