gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
FAM138A	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
OR4F5	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL627309.1	0.004190273	0.005815762	0.007263922518159807	0.002991515	0.0035714285714285713	-0.93625	0.31785995	0
AL627309.3	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL627309.2	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL627309.5	0.026176106	0.034511767	0.0387409200968523	0.020029332	0.02857142857142857	-0.78196335	0.798217	0
AL627309.4	0.0017435794	0.0024262557	0.002421307506053269	0.0012401054	0.0017857142857142857	-0.9146543	0.17817004	0
AP006222.2	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL732372.1	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
OR4F29	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AC114498.1	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
OR4F16	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL669831.2	0.00059510936	3.0559022e-10	0.0	0.0010340019	0.0017857142857142857	3.503347	0.49793017	0
LINC01409	0.038860265	0.04698248	0.06295399515738499	0.032870892	0.04285714285714286	-0.5139973	0.6572651	0
FAM87B	0.0006130873	0.0014443697	0.002421307506053269	6.693881e-10	0.0	-3.9489365	0.49771488	0
LINC01128	0.13937624	0.14342229	0.16464891041162227	0.13639197	0.1732142857142857	-0.07245874	0.1275495	0
LINC00115	0.0032131223	0.0014117841	0.002421307506053269	0.004541614	0.007142857142857143	1.6183745	0.61004853	0
FAM41C	0.011305463	0.005669232	0.007263922518159807	0.015462152	0.025	1.4315904	1.1476804	0
AL645608.6	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL645608.2	0.0017196425	0.004051339	0.004842615012106538	6.693881e-10	0.0	-5.375495	0.7689173	0
AL645608.4	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
LINC02593	0.003085508	0.003673115	0.004842615012106538	0.002652247	0.005357142857142857	-0.4551461	0.13075761	0
SAMD11	0.014765975	0.0079876175	0.012106537530266344	0.019764973	0.02857142857142857	1.2964401	1.2188324	0
NOC2L	0.22193314	0.20952338	0.2324455205811138	0.23108223	0.29285714285714287	0.14123091	0.39474803	0
KLHL17	0.010447546	0.010023635	0.012106537530266344	0.010760061	0.014285714285714285	0.10130489	0.0433327	0
PLEKHN1	0.003042804	0.005678023	0.007263922518159807	0.0010994335	0.0017857142857142857	-2.2682228	0.7089417	0
PERM1	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL645608.7	0.0017443481	3.0559022e-10	0.0	0.0030308033	0.005357142857142857	4.9684567	0.9462171	0
HES4	0.363603	0.24271016	0.2324455205811138	0.45276177	0.4660714285714286	0.8992419	9.461782	1
ISG15	0.36532742	0.3279587	0.34624697336561744	0.39288765	0.42678571428571427	0.26052994	1.3341985	0
AL645608.1	0.0007878278	3.0559022e-10	0.0	0.0013688497	0.0017857142857142857	3.8766105	0.49792427	0
AGRN	0.21664	0.18264782	0.21549636803874092	0.24170662	0.29464285714285715	0.40399957	1.7612497	0
AL645608.5	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL645608.8	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
RNF223	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
C1orf159	0.025439879	0.017270772	0.024213075060532687	0.031465005	0.039285714285714285	0.8616643	0.95001656	0
AL390719.3	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
LINC01342	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
AL390719.2	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
TTLL10-AS1	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
TTLL10	1.1059456e-09	3.0559022e-10	0.0	6.693881e-10	0.0	5.3314525e-06	26.927282	0
TNFRSF18	0.0016132025	3.0559022e-10	0.0	0.002802939	0.0035714285714285713	4.859438	0.79929775	0
TNFRSF4	0.04435235	0.03577951	0.04116222760290557	0.05067527	0.0625	0.50096583	0.62935	0
SDF4	0.6617601	0.5841597	0.5544794188861986	0.7189877	0.6928571428571428	0.29955795	3.5828931	0
B3GALT6	0.20698	0.20635433	0.23728813559322035	0.20743808	0.2625	0.0075534484	0.015536197	0
C1QTNF12	0.0012164827	0.0015481884	0.002421307506053269	0.00097184145	0.0017857142857142857	-0.6207895	0.12342216	0
AL162741.1	0.0016123272	0.0013309602	0.002421307506053269	0.0018198243	0.0035714285714285713	0.42399082	0.10143791	0
UBE2J2	0.32547513	0.2996744	0.3365617433414044	0.3445034	0.40714285714285714	0.20105974	0.9001836	0
