gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
ACOT7	0.21728863	0.060077794	0.10526315789473684	0.23862427	0.29642857142857143	1.9880421	8.871623	1
KIF1B	0.7390151	0.45526797	0.5263157894736842	0.7775237	0.7196428571428571	0.7720395	6.238305	1
PGD	0.43727976	0.21681565	0.2894736842105263	0.46720004	0.5017857142857143	1.107215	6.08216	1
MICOS10	1.1166126	0.59338945	0.6052631578947368	1.1876214	0.8928571428571429	1.000902	12.859611	1
ECE1	0.9698765	0.5842961	0.6447368421052632	1.0222045	0.8267857142857142	0.80680656	9.0249815	1
HSPG2	1.6210057	0.9982908	0.8157894736842105	1.7055172	0.9607142857142857	0.77261734	15.048101	1
MAN1C1	0.058586076	-7.2759576e-11	0.0	0.06653703	0.08214285714285714	9.380181	10.14314	1
FAM167B	0.1911737	0.03998843	0.06578947368421052	0.21169174	0.25	2.4013886	10.717358	1
MARCKSL1	2.2840686	1.6579945	0.9473684210526315	2.3690364	0.9964285714285714	0.5148349	15.02884	1
GJA4	0.41692847	0.024099464	0.039473684210526314	0.47024095	0.4232142857142857	4.2806597	41.011738	1
CITED4	0.5520261	0.26464084	0.34210526315789475	0.59102803	0.5589285714285714	1.1588899	7.505006	1
EFCAB14	0.9443671	0.28437856	0.3815789473684211	1.0339366	0.8089285714285714	1.8618956	28.306551	1
LINC01358	0.03286228	-7.2759576e-11	0.0	0.03732216	0.05178571428571429	8.54775	6.928533	1
FGGY	0.023896268	-7.2759576e-11	0.0	0.027139332	0.039285714285714285	8.089549	5.391509	1
NFIA-AS2	0.04799597	-7.2759576e-11	0.0	0.054509707	0.07142857142857142	9.093015	9.182132	1
IFI44	0.12609956	0.017344417	0.02631578947368421	0.14085919	0.18214285714285713	3.0144403	10.327519	1
RBMXL1	0.058131292	0.009797679	0.02631578947368421	0.06469088	0.08928571428571429	2.7106287	5.7490597	1
LRRC8B	0.19983415	0.5036122	0.5657894736842105	0.15860718	0.20357142857142857	-1.6662323	6.267749	1
GCLM	0.4709147	0.19538721	0.2894736842105263	0.5083081	0.5125	1.3789129	9.827715	1
PALMD	0.17736368	0.03917739	0.05263157894736842	0.19611757	0.2125	2.320683	8.1289835	1
CAPZA1	0.81980014	0.5244277	0.5921052631578947	0.85988635	0.7625	0.71329474	6.3472867	1
PHTF1	0.22987072	0.09471451	0.17105263157894737	0.24821317	0.2982142857142857	1.3889811	5.7716646	1
TSPAN2	0.15234137	0.029425886	0.039473684210526314	0.16902277	0.19642857142857142	2.5180187	8.50427	1
GJA5	0.13566689	-7.2759576e-11	0.0	0.15407884	0.16964285714285715	10.59039	19.216484	1
MLLT11	1.0896746	0.632325	0.631578947368421	1.1517434	0.7982142857142858	0.8649783	9.239091	1
S100A6	2.6481738	1.3849318	0.6447368421052632	2.8196127	0.8910714285714286	1.0256292	14.8730755	1
ADAM15	0.7324256	0.33452654	0.4868421052631579	0.7864261	0.725	1.2329428	15.01708	1
FDPS	1.0611131	0.7717347	0.75	1.1003858	0.8339285714285715	0.5117767	5.1180997	1
NES	0.7401539	0.38257292	0.4605263157894737	0.7886828	0.7053571428571429	1.0435165	9.196878	1
TAGLN2	1.2991276	0.89826137	0.7368421052631579	1.3535308	0.9071428571428571	0.5914664	6.7218637	1
PBX1	0.5977928	0.28264228	0.34210526315789475	0.64056337	0.5660714285714286	1.180079	8.315048	1
TMCO1	0.6997233	0.4146165	0.5394736842105263	0.73841643	0.7267857142857143	0.83250463	7.8159256	1
GAS5	1.1403553	2.0707128	0.9605263157894737	1.0140909	0.7946428571428571	-1.0298679	16.013899	1
ABL2	0.51764613	0.24477804	0.3026315789473684	0.55467814	0.575	1.1798476	7.567771	1
LAMC1	1.3347194	0.84636545	0.7631578947368421	1.4009951	0.9232142857142858	0.7270318	9.842075	1
C1orf21	0.21788672	0.602909	0.618421052631579	0.16563307	0.20357142857142857	-1.8633181	8.827471	1
EDEM3	0.34812006	0.17258291	0.25	0.37194282	0.43392857142857144	1.1073433	5.0741315	1
NIBAN1	0.23391497	0.08643849	0.10526315789473684	0.25392944	0.2892857142857143	1.5535817	5.105874	1
HMCN1	0.21488966	0.08228137	0.13157894736842105	0.23288605	0.275	1.4998535	5.821954	1
CSRP1	0.34690255	0.116203	0.17105263157894737	0.37821156	0.4142857142857143	1.7016865	9.65599	1
CYB5R1	0.4051008	0.21370007	0.2894736842105263	0.43107653	0.46785714285714286	1.0120163	5.0599837	1
ATP2B4	0.6673338	0.32172725	0.39473684210526316	0.71423787	0.6660714285714285	1.1503203	9.648355	1
CD34	0.89797837	0.29208207	0.25	0.9802068	0.7339285714285714	1.7463658	15.127266	1
FAM89A	0.45380053	0.116952606	0.18421052631578946	0.49951553	0.48392857142857143	2.0936613	18.239868	1
RBM34	0.031695925	-7.2759576e-11	0.0	0.035997517	0.04642857142857143	8.495757	6.275486	1
CHRM3	0.10627004	0.016029384	0.039473684210526314	0.11851702	0.14642857142857144	2.878548	9.628693	1
ZNF670	0.026432645	-7.2759576e-11	0.0	0.03001993	0.04107142857142857	8.234575	5.4007196	1
PXDN	1.6970925	1.1703807	0.8552631578947368	1.768575	0.9625	0.59556776	10.1154375	1
FAM49A	0.29622883	0.09425031	0.14473684210526316	0.3236398	0.38035714285714284	1.7787355	9.810176	1
RHOB	0.42146954	0.20695171	0.2236842105263158	0.45058298	0.46785714285714286	1.1221218	5.00071	1
TP53I3	0.5014054	0.21435708	0.27631578947368424	0.5403621	0.5660714285714286	1.3335047	8.732811	1
SLC5A6	0.05259059	0.004873645	0.013157894736842105	0.059066527	0.08571428571428572	3.5724058	7.279459	1
RBKS	0.025035542	-7.2759576e-11	0.0	0.028433222	0.039285714285714285	8.1565	5.441268	1
EHD3	0.25362366	0.8922475	0.6052631578947368	0.16695094	0.1732142857142857	-2.4173176	9.624727	1
LTBP1	0.4878761	0.18888429	0.25	0.52845365	0.5267857142857143	1.4837836	9.876535	1
CRIM1	0.64299214	0.23078209	0.3157894736842105	0.6989349	0.6160714285714286	1.5982083	15.99382	1
CDC42EP3	0.7174813	0.22645171	0.27631578947368424	0.7841213	0.7017857142857142	1.7914203	18.794176	1
TMEM178A	0.051142562	-7.2759576e-11	0.0	0.058083333	0.07321428571428572	9.1844635	9.429613	1
SLC1A4	0.37288466	0.07332309	0.10526315789473684	0.41353935	0.4660714285714286	2.4940677	18.836143	1
ACTR2	1.4120387	1.0056046	0.8157894736842105	1.4671973	0.9446428571428571	0.54495454	8.230906	1
ANXA4	0.20848513	0.06444334	0.09210526315789473	0.22803354	0.28035714285714286	1.8215384	6.8946476	1
