gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MKX-AS1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ARMC4	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL390866.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
MPP7	0.0078993635	0.016339434	0.014492753623188406	0.006489323	0.009685230024213076	-1.3189585	0.25440106	0
AL355501.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
MPP7-DT	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02652	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
WAC-AS1	0.18066575	0.20487848	0.2318840579710145	0.17662057	0.19612590799031476	-0.21400245	0.23157667	0
WAC	0.6955112	0.7578132	0.6956521739130435	0.68510294	0.6198547215496368	-0.14550129	0.4412122	0
BAMBI	0.21773832	0.25063643	0.2463768115942029	0.21224217	0.2106537530266344	-0.23978065	0.26188546	0
LINC01517	0.0013881738	-5.820766e-11	0.0	0.0016200964	0.002421307506053269	4.1044183	0.497717	0
AL355376.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC00837	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LYZL1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL158167.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
SVIL	0.9809589	0.8970889	0.7101449275362319	0.99497116	0.7481840193704601	0.14938787	0.5718854	0
JCAD	0.608495	0.64443463	0.6376811594202898	0.60249114	0.5544794188861986	-0.097078435	0.24741754	0
AL353796.1	0.012118287	-5.820766e-11	0.0	0.014142893	0.014527845036319613	7.1540995	1.6267184	0
MTPAP	0.08748168	0.07438784	0.10144927536231885	0.089669384	0.11380145278450363	0.26921856	0.19855045	0
AL353796.2	0.012238434	-5.820766e-11	0.0	0.014283112	0.01937046004842615	7.168233	2.230512	0
MAP3K8	0.02186693	0.031414688	0.057971014492753624	0.020271737	0.024213075060532687	-0.62945545	0.25909603	0
AL590068.4	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL590068.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL590068.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL590068.3	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LYZL2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02644	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
ZNF438	0.02835108	0.05560561	0.057971014492753624	0.023797603	0.026634382566585957	-1.2209567	0.57427394	0
AL359532.1	0.0014308421	-5.820766e-11	0.0	0.0016698929	0.002421307506053269	4.1455913	0.49771312	0
AL359546.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02664	0.002833208	-5.820766e-11	0.0	0.0033065528	0.004842615012106538	5.0902414	0.8024367	0
ZEB1-AS1	0.03855444	0.011065875	0.014492753623188406	0.04314697	0.05084745762711865	1.9535029	1.5299922	0
ZEB1	1.0340947	1.0590008	0.7681159420289855	1.0299338	0.7699757869249395	-0.04014828	0.12606172	0
AL161935.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL161935.3	0.002641355	-5.820766e-11	0.0	0.0030826463	0.004842615012106538	4.992156	0.802016	0
MACORIS	0.0012363119	-5.820766e-11	0.0	0.0014428626	0.002421307506053269	3.9475384	0.49771464	0
ARHGAP12	0.17409295	0.24184068	0.2898550724637681	0.16277449	0.1864406779661017	-0.57089263	0.8817832	0
KIF5B	1.4433118	1.2963406	0.8405797101449275	1.4678663	0.864406779661017	0.1792628	1.1178863	0
AL158834.2	0.0016761195	-5.820766e-11	0.0	0.001956149	0.002421307506053269	4.3618736	0.49771634	0
EPC1	0.36429504	0.39436203	0.4492753623188406	0.35927102	0.38498789346246975	-0.13441236	0.23751378	0
AL158834.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL391839.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL391839.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL391839.3	0.0012096822	-5.820766e-11	0.0	0.0014117841	0.002421307506053269	3.918181	0.49771777	0
CCDC7	0.039545186	0.056599133	0.057971014492753624	0.03669612	0.04600484261501211	-0.623773	0.2970322	0
AL365203.2	0.039109755	0.030029695	0.028985507246376812	0.04062682	0.043583535108958835	0.4347931	0.18391997	0
ITGB1	2.519218	2.411291	0.9855072463768116	2.5372484	0.9830508474576272	0.07345614	0.812753	0
ITGB1-DT	0.0103792455	0.026976245	0.028985507246376812	0.0076063466	0.009685230024213076	-1.8129086	0.49544656	0
IATPR	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
NRP1	1.1091586	1.1473101	0.7536231884057971	1.1027849	0.7772397094430993	-0.057098962	0.1853155	0
AL121748.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL353600.1	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
AL353600.2	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
LINC02628	5.020411e-10	-5.820766e-11	0.0	3.0559022e-10	0.0	5.3314525e-06	25.836277	0
