gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
HES4	0.363603	0.24271016	0.2324455205811138	0.45276177	0.4660714285714286	0.8992419	9.461782	1
FBLIM1	0.45199928	0.33758312	0.36077481840193704	0.5363832	0.5339285714285714	0.667863	8.235177	1
NBL1	0.14278021	0.090848304	0.10411622276029056	0.18107934	0.23214285714285715	0.9942998	5.0158534	1
GJA4	0.34544346	0.17622758	0.18886198547215496	0.47024095	0.4232142857142857	1.4154487	17.339973	1
EFCAB14	0.8884343	0.69113976	0.5617433414043583	1.0339366	0.8089285714285714	0.5810292	13.649846	1
GJA5	0.09677747	0.0190808	0.024213075060532687	0.15407884	0.16964285714285715	3.00687	13.642771	1
NES	0.6800121	0.53265953	0.4794188861985472	0.7886828	0.7053571428571429	0.5661436	9.674286	1
RGS5	0.5348498	0.42616868	0.36803874092009686	0.6150044	0.5375	0.5290684	5.229276	1
RASAL2	0.5117529	0.40384465	0.4067796610169492	0.59133726	0.6053571428571428	0.55006754	7.0285854	1
ABL2	0.4768808	0.37139493	0.387409200968523	0.55467814	0.575	0.57856846	7.12446	1
CD34	0.8372352	0.64337134	0.4963680387409201	0.9802068	0.7339285714285714	0.6073574	11.525549	1
TP53I3	0.4511215	0.33011776	0.3486682808716707	0.5403621	0.5660714285714286	0.71077585	9.608915	1
EHD3	0.23540366	0.3282124	0.2566585956416465	0.16695094	0.1732142857142857	-0.97478116	5.315548	1
SLC1A4	0.34416464	0.2500981	0.2736077481840194	0.41353935	0.4660714285714286	0.7253026	7.2661543	1
AAK1	0.37906933	0.291249	0.31476997578692495	0.4438379	0.4928571428571429	0.60760957	5.9821076	1
DCTN1	0.41993406	0.33626696	0.3559322033898305	0.4816411	0.5375	0.518222	5.3039203	1
ST3GAL5	0.16696717	0.10984181	0.14043583535108958	0.20909528	0.25892857142857145	0.9281102	5.4262967	1
MIR4435-2HG	0.4243193	0.3258455	0.3414043583535109	0.49694586	0.5214285714285715	0.6087482	6.639831	1
INHBB	0.5844345	0.45658106	0.39709443099273606	0.67872566	0.5946428571428571	0.57185423	6.8419356	1
NDUFB3	0.5259838	0.67809576	0.6029055690072639	0.41380724	0.4660714285714286	-0.7123943	11.652993	1
FN1	1.1615435	0.6761812	0.4891041162227603	1.5194978	0.8321428571428572	1.1679943	41.02481	1
IGFBP5	2.3010035	1.7516224	0.5932203389830508	2.7061753	0.8142857142857143	0.62753433	15.686719	1
FAM124B	0.07482957	0.035784535	0.04600484261501211	0.103625454	0.125	1.5313358	5.2998805	1
BHLHE40	0.2101576	0.31856316	0.31476997578692495	0.13020235	0.16964285714285715	-1.290169	10.161228	1
MRPS25	0.28117767	0.2096353	0.24213075060532688	0.3339392	0.3982142857142857	0.6714476	5.327831	1
FLNB	0.3812574	0.2758272	0.3099273607748184	0.45901364	0.4928571428571429	0.73456365	8.551855	1
FRMD4B	0.49611157	0.38934934	0.4067796610169492	0.5748506	0.6	0.5620025	7.3018765	1
PHLDB2	0.23388629	0.15492034	0.18401937046004843	0.29212207	0.34464285714285714	0.91460747	7.0748816	1
GAP43	0.21991329	0.11012176	0.10411622276029056	0.30088282	0.2875	1.449272	10.479436	1
MYLK	0.3901864	0.29219225	0.30024213075060535	0.46245915	0.5071428571428571	0.6622264	6.9528112	1
MGLL	0.51371646	0.39522552	0.36319612590799033	0.6011063	0.5678571428571428	0.6048191	7.1503806	1
SEC61A1	0.39873576	0.29945746	0.3220338983050847	0.47195473	0.5178571428571429	0.6561214	7.3349895	1
MME	0.2667449	0.36089343	0.3365617433414044	0.19730487	0.20535714285714285	-0.870815	6.0634227	1
VEPH1	0.26910475	0.18722247	0.21549636803874092	0.3294916	0.36607142857142855	0.8151554	6.6465554	1
PCYT1A	0.4068709	0.32684827	0.3559322033898305	0.4658903	0.5178571428571429	0.5112375	5.0252066	1
WDR1	0.6935057	0.5584193	0.5447941888619855	0.79313016	0.7410714285714286	0.50613236	9.514846	1
IGFBP7	0.4183237	0.30161914	0.2784503631961259	0.5043941	0.4035714285714286	0.7416314	6.4507775	1
SEPTIN11	0.6589009	0.52985275	0.48426150121065376	0.7540743	0.675	0.5090342	7.700945	1
GPRIN3	0.43030366	0.32277432	0.29539951573849876	0.50960827	0.4589285714285714	0.6586992	6.1373415	1
EMCN	1.1417332	1.4131857	0.8087167070217918	0.94152904	0.7303571428571428	-0.5858224	16.608795	1
SEMA5A	0.15638646	0.091066554	0.1016949152542373	0.20455876	0.21785714285714286	1.1666439	6.0695233	1
RAI14	0.59498143	0.46589452	0.4648910411622276	0.69018286	0.675	0.56687474	9.401246	1
ENC1	0.35534817	0.21462423	0.23002421307506055	0.4591338	0.46964285714285714	1.0967438	14.063793	1
HMGCR	0.41355908	0.31530872	0.3365617433414044	0.4860205	0.5071428571428571	0.6240915	6.6730604	1
F2R	0.73549694	0.5600137	0.5278450363196125	0.8649148	0.7553571428571428	0.62700504	13.79213	1
ATG10	0.0957066	0.053157236	0.06779661016949153	0.12708692	0.16071428571428573	1.2559007	5.1153193	1
SMIM3	0.11759068	0.18192802	0.1694915254237288	0.070142284	0.09642857142857143	-1.3737489	5.419015	1
ANXA6	0.41218874	0.30058378	0.324455205811138	0.49449894	0.5160714285714286	0.7180121	8.629758	1
DUSP1	0.48038447	0.6394021	0.5278450363196125	0.36311504	0.39285714285714285	-0.8161252	10.751229	1
PDLIM7	0.3831015	0.27665126	0.31476997578692495	0.46160945	0.5178571428571429	0.7383954	9.001234	1
TUBB2A	0.5238039	0.37784943	0.36561743341404357	0.63144636	0.5875	0.7406955	10.736239	1
TUBB2B	0.15921652	0.07373675	0.07506053268765134	0.22225653	0.23392857142857143	1.5904639	10.002133	1
NOTCH4	0.62661177	0.4932194	0.4576271186440678	0.7249867	0.6625	0.5556314	8.3458	1
VEGFA	0.18168284	0.26862922	0.2469733656174334	0.11755492	0.14464285714285716	-1.1915915	6.7460747	1
AMD1	0.3203245	0.22931364	0.25907990314769974	0.38744423	0.4392857142857143	0.7564097	7.2114167	1
TNFAIP3	0.3621978	0.5012932	0.4576271186440678	0.25961792	0.30178571428571427	-0.9489969	10.809797	1
CITED2	0.7703905	1.0177794	0.7433414043583535	0.5879363	0.5928571428571429	-0.79158956	20.990932	1
EIF3B	0.4374261	0.33178672	0.36077481840193704	0.5153359	0.5517857142857143	0.6351022	7.9460573	1
THSD7A	0.22254258	0.14080858	0.15012106537530268	0.28281948	0.3125	1.0056319	7.1336713	1
MYL7	0.23281324	0.162832	0.18159806295399517	0.28442222	0.3267857142857143	0.80427116	5.2666807	1
GIMAP4	0.64856726	0.5221845	0.48668280871670705	0.74177444	0.6821428571428572	0.5063392	7.66697	1
ANGPT2	0.7504118	0.587748	0.3898305084745763	0.8703728	0.5678571428571428	0.566356	6.138973	1
MTUS1	0.34363985	0.2570653	0.26150121065375304	0.40748855	0.40535714285714286	0.66441756	5.18017	1
CSGALNACT1	0.45771766	0.34886673	0.36319612590799033	0.537997	0.5357142857142857	0.62477684	7.4019537	1
KIF13B	0.2124539	0.14826797	0.18159806295399517	0.2597888	0.3267857142857143	0.8087148	5.6903324	1
ELOC	0.67916304	0.8299316	0.7142857142857143	0.5679701	0.6	-0.5470973	11.502604	1
FABP5	0.57910615	0.4537871	0.41404358353510895	0.671529	0.5821428571428572	0.5653312	6.740856	1
CA2	1.1023495	1.511045	0.8256658595641646	0.80092824	0.6160714285714286	-0.9157171	34.22893	1
FAM49B	0.2565242	0.18599047	0.2106537530266344	0.3085409	0.3678571428571429	0.7299251	5.3194475	1
SLC45A4	0.08738575	0.03742268	0.043583535108958835	0.12423366	0.14464285714285716	1.7283821	6.7539344	1
COMMD5	0.21493012	0.14815614	0.17191283292978207	0.26417413	0.3339285714285714	0.8339433	5.788164	1
RRAGA	0.4337636	0.34407476	0.35108958837772397	0.4999099	0.5428571428571428	0.53881544	5.629703	1
TPM2	0.7385548	0.57147956	0.5108958837772397	0.861772	0.6964285714285714	0.59251934	10.99118	1
TMEM246	0.2893874	0.21365935	0.2566585956416465	0.34523585	0.4017857142857143	0.69201255	5.9224243	1
ANGPTL2	0.19472986	0.13361126	0.15738498789346247	0.23980337	0.2785714285714286	0.8433324	5.1441755	1
SH2D3C	0.3173533	0.23793633	0.27602905569007263	0.37592393	0.44107142857142856	0.65964264	6.073639	1
RXRA	0.3460593	0.26263243	0.29782082324455206	0.40758705	0.4589285714285714	0.6338678	6.0154576	1
ENTPD1	0.41036874	0.30472735	0.31476997578692495	0.4882804	0.525	0.68001294	7.550676	1
GRK5	0.36919874	0.2884805	0.3099273607748184	0.4287297	0.46964285714285714	0.57143116	5.1217656	1
HTRA1	1.0284128	0.7300901	0.5447941888619855	1.2484233	0.7785714285714286	0.77387875	21.318972	1
CAVIN3	0.9328549	0.75246567	0.5690072639225182	1.0658882	0.7303571428571428	0.50230205	9.56654	1
TRIM44	0.41839963	0.31228536	0.3341404358353511	0.49666008	0.5339285714285714	0.6692225	7.787812	1
TSPAN18	0.72670215	0.57005525	0.5326876513317191	0.8422265	0.7321428571428571	0.5630247	11.288955	1
CHST1	0.5950874	0.36101067	0.32929782082324455	0.76771873	0.6214285714285714	1.0883248	21.334185	1
FADS2	0.38482898	0.28864938	0.3099273607748184	0.45576265	0.4767857142857143	0.65878147	6.6207256	1
SNHG1	0.15296793	0.23152003	0.22518159806295399	0.09503258	0.125	-1.2837485	6.7819986	1
PGM2L1	0.5150482	0.4090306	0.4067796610169492	0.5932384	0.55	0.53629386	5.745196	1
TAGLN	0.11940472	0.03149375	0.04600484261501211	0.18423916	0.18392857142857144	2.5446515	12.618405	1
FGF23	0.13558552	0.2566172	0.1234866828087167	0.04632349	0.030357142857142857	-2.467253	7.275784	1
ENO2	0.48989058	0.6038815	0.4963680387409201	0.40582833	0.43214285714285716	-0.57327944	5.7189646	1
ITPR2	0.08626866	0.04246092	0.05084745762711865	0.118577026	0.1392857142857143	1.4794395	5.1824417	1
GXYLT1	0.31640598	0.24413481	0.28329297820823246	0.36970603	0.42857142857142855	0.59849983	5.0265284	1
FMNL3	0.59619796	0.47834495	0.4721549636803874	0.6831138	0.675	0.51398426	7.930442	1
ACVRL1	0.5242552	0.4128155	0.4116222760290557	0.6064441	0.6303571428571428	0.554766	7.495914	1
NR4A1	0.2464807	0.37410605	0.36319612590799033	0.15235102	0.18035714285714285	-1.295487	11.835024	1
SRGAP1	0.42893654	0.32619625	0.3486682808716707	0.5047095	0.5285714285714286	0.6295567	7.2525706	1
PWP1	0.40624374	0.31689093	0.32929782082324455	0.47214335	0.5321428571428571	0.575089	5.878656	1
ISCU	0.41977414	0.5150839	0.5060532687651331	0.3494871	0.4107142857142857	-0.55943567	6.023759	1
SPRY2	0.2226305	0.3206201	0.3414043583535109	0.15035714	0.19642857142857142	-1.091962	9.124353	1
EFNB2	0.73201406	0.5821175	0.5278450363196125	0.8425608	0.7053571428571429	0.53339386	9.3927	1
ARHGEF7	0.5432127	0.41984704	0.42857142857142855	0.63419634	0.6017857142857143	0.5949497	8.391418	1
CCNB1IP1	0.27148244	0.36861277	0.3414043583535109	0.1998448	0.2517857142857143	-0.88289547	6.8334184	1
PNP	0.9529957	0.7687502	0.6368038740920097	1.0888746	0.825	0.50219584	12.87793	1
RNASE1	0.600538	0.44977534	0.41404358353510895	0.7117242	0.6464285714285715	0.6619958	10.207107	1
MYH7	0.033388354	0.0074794395	0.009685230024213076	0.052496243	0.06428571428571428	2.7947967	5.5205636	1
ARG2	0.18751548	0.29206926	0.23002421307506055	0.11040129	0.13392857142857142	-1.4027411	7.697243	1
FOS	0.4711209	0.6569737	0.4552058111380145	0.33406106	0.30892857142857144	-0.9755118	10.203043	1
