gene	mean	VO_mean	VO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
FAM138A	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
OR4F5	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
AL627309.1	0.001878441	0.0016735134	0.0023011176857330702	0.002991515	0.0035714285714285713	0.8017038	0.2535275	0
AL627309.3	0.00024958045	0.0002955225	0.0003287310979618672	6.693881e-10	0.0	-1.9837502	0.498409	0
AL627309.2	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
AL627309.5	0.0137671055	0.012614459	0.017422748191978962	0.020029332	0.02857142857142857	0.6628293	0.77789843	0
AL627309.4	0.0005670831	0.0004432086	0.0006574621959237344	0.0012401054	0.0017857142857142857	1.3027681	0.27276176	0
AP006222.2	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
AL732372.1	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
OR4F29	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
AC114498.1	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
OR4F16	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
AL669831.2	0.00047699432	0.00037447148	0.0003287310979618672	0.0010340019	0.0017857142857142857	1.2570298	0.2605258	0
LINC01409	0.029102422	0.028408827	0.03714661406969099	0.032870892	0.04285714285714286	0.20978427	0.26185626	0
FAM87B	0.00013746615	0.00016276917	0.0003287310979618672	6.693881e-10	0.0	-1.3937864	0.4984005	0
LINC01128	0.10561079	0.099945515	0.11801446416831032	0.13639197	0.1732142857142857	0.44815955	1.9905113	0
LINC00115	0.008191995	0.008864138	0.010848126232741617	0.004541614	0.007142857142857143	-0.94953835	0.9085524	0
FAM41C	0.017723056	0.018139424	0.022353714661406968	0.015462152	0.025	-0.22901861	0.24184412	0
AL645608.6	-3.0267984e-09	-1.1568773e-09	0.0	6.693881e-10	0.0	2.6313106e-05	44.55244	0
