gene	mean	VO_mean	VO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
FAM138A	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
OR4F5	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
AL627309.1	0.0021686829	0.0016735134	0.0023011176857330702	0.005815762	0.007263922518159807	1.7379538	0.638351	0
AL627309.3	0.00026019863	0.0002955225	0.0003287310979618672	3.0559022e-10	0.0	-1.9837555	0.49840987	0
AL627309.2	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
AL627309.5	0.015231892	0.012614459	0.017422748191978962	0.034511767	0.0387409200968523	1.4447926	1.7724918	0
AL627309.4	0.0006802561	0.0004432086	0.0006574621959237344	0.0024262557	0.002421307506053269	2.2174225	0.37872827	0
AP006222.2	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
AL732372.1	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
OR4F29	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
AC114498.1	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
OR4F16	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
AL669831.2	0.00032971028	0.00037447148	0.0003287310979618672	3.0559022e-10	0.0	-2.2463171	0.4984176	0
LINC01409	0.03062898	0.028408827	0.03714661406969099	0.04698248	0.06295399515738499	0.72378165	1.2658345	0
FAM87B	0.00031596914	0.00016276917	0.0003287310979618672	0.0014443697	0.002421307506053269	2.55515	0.42202088	0
LINC01128	0.105141826	0.099945515	0.11801446416831032	0.14342229	0.16464891041162227	0.5206183	1.7990508	0
LINC00115	0.007973208	0.008864138	0.010848126232741617	0.0014117841	0.002421307506053269	-2.5679128	3.282965	0
FAM41C	0.016648678	0.018139424	0.022353714661406968	0.005669232	0.007263922518159807	-1.6606089	2.5839853	0
AL645608.6	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
AL645608.2	0.0018346468	0.0015336786	0.0023011176857330702	0.004051339	0.004842615012106538	1.3454525	0.39462972	0
AL645608.4	-2.5975169e-09	-1.1568773e-09	0.0	3.0559022e-10	0.0	2.115371e-05	44.55244	0
LINC02593	0.005403081	0.005638063	0.007560815253122946	0.003673115	0.004842615012106538	-0.6048077	0.294793	0
