gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
FAM138A	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
OR4F5	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL627309.1	0.002663352	-5.820766e-11	0.0	0.002991515	0.0035714285714285713	4.950243	0.7847392	0
AL627309.3	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL627309.2	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL627309.5	0.01876081	0.008465418	0.014492753623188406	0.020029332	0.02857142857142857	1.2327039	0.61461264	0
AL627309.4	0.0011040684	-5.820766e-11	0.0	0.0012401054	0.0017857142857142857	3.7442753	0.49792805	0
AP006222.2	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL732372.1	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
OR4F29	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AC114498.1	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
OR4F16	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL669831.2	0.000920574	-5.820766e-11	0.0	0.0010340019	0.0017857142857142857	3.503352	0.49793044	0
LINC01409	0.03258997	0.030310087	0.028985507246376812	0.032870892	0.04285714285714286	0.11664316	0.041179962	0
FAM87B	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
LINC01128	0.13553938	0.12862135	0.15942028985507245	0.13639197	0.1732142857142857	0.08456463	0.0712071	0
LINC00115	0.004043408	-5.820766e-11	0.0	0.004541614	0.007142857142857143	5.5365553	1.3175268	0
FAM41C	0.013765987	-5.820766e-11	0.0	0.015462152	0.025	7.2818985	3.628936	0
AL645608.6	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL645608.2	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL645608.4	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
LINC02593	0.002361301	-5.820766e-11	0.0	0.002652247	0.005357142857142857	4.782539	1.0725468	0
SAMD11	0.021158002	0.032463707	0.043478260869565216	0.019764973	0.02857142857142857	-0.7130382	0.2527913	0
NOC2L	0.23630859	0.27871984	0.2898550724637681	0.23108223	0.29285714285714287	-0.2703026	0.3812002	0
KLHL17	0.019225214	0.08792694	0.10144927536231885	0.010760061	0.014285714285714285	-3.0189128	1.509347	0
PLEKHN1	0.0009788281	-5.820766e-11	0.0	0.0010994335	0.0017857142857142857	3.5842822	0.49792427	0
PERM1	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL645608.7	0.0026983304	-5.820766e-11	0.0	0.0030308033	0.005357142857142857	4.968462	0.9462173	0
HES4	0.4516718	0.44282913	0.43478260869565216	0.45276177	0.4660714285714286	0.031994928	0.05181601	0
ISG15	0.37863988	0.26300493	0.30434782608695654	0.39288765	0.42678571428571427	0.5788458	1.6832099	0
AL645608.1	0.00121869	-5.820766e-11	0.0	0.0013688497	0.0017857142857142857	3.8766158	0.49792445	0
AGRN	0.24594225	0.28031328	0.30434782608695654	0.24170662	0.29464285714285715	-0.21370086	0.29989764	0
AL645608.5	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL645608.8	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
RNF223	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
C1orf159	0.03278008	0.043453425	0.057971014492753624	0.031465005	0.039285714285714285	-0.46446013	0.22287741	0
AL390719.3	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
LINC01342	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
AL390719.2	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
TTLL10-AS1	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
TTLL10	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
TNFRSF18	0.0024954623	-5.820766e-11	0.0	0.002802939	0.0035714285714285713	4.859443	0.7992979	0
TNFRSF4	0.05011646	0.045581482	0.057971014492753624	0.05067527	0.0625	0.1525165	0.078544125	0
SDF4	0.705542	0.596419	0.5942028985507246	0.7189877	0.6928571428571428	0.2695997	1.031917	0
B3GALT6	0.2064517	0.19844554	0.2318840579710145	0.20743808	0.2625	0.063906044	0.070396125	0
C1QTNF12	0.0024794252	0.014714821	0.014492753623188406	0.00097184145	0.0017857142857142857	-3.7888777	0.45020744	0
AL162741.1	0.0016201937	-5.820766e-11	0.0	0.0018198243	0.0035714285714285713	4.262903	0.8027314	0
UBE2J2	0.3433456	0.33394387	0.36231884057971014	0.3445034	0.40714285714285714	0.044899344	0.0643781	0
LINC01786	0.00094512786	-5.820766e-11	0.0	0.0010615811	0.0017857142857142857	3.5380187	0.49793017	0
SCNN1D	0.00086596434	0.007893946	0.014492753623188406	6.693881e-10	0.0	-6.3208265	0.49369007	0
ACAP3	0.10041586	0.10491375	0.13043478260869565	0.09986179	0.1357142857142857	-0.07112954	0.051684987	0
PUSL1	0.086924836	0.08859961	0.13043478260869565	0.086718574	0.10892857142857143	-0.030924011	0.021225693	0
INTS11	0.22964138	0.2496553	0.2898550724637681	0.22717465	0.2910714285714286	-0.13607852	0.17441124	0
AL139287.1	0.0014748325	0.013444353	0.014492753623188406	6.693881e-10	0.0	-7.081538	0.49369106	0
CPTP	0.10114308	0.07552403	0.10144927536231885	0.10429977	0.1357142857142857	0.46520182	0.41416812	0
TAS1R3	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
DVL1	0.087449	0.12131908	0.14492753623188406	0.08327593	0.10892857142857143	-0.5422922	0.4726115	0
MXRA8	0.010515529	0.019084193	0.014492753623188406	0.009459718	0.01607142857142857	-1.004878	0.20714267	0
AURKAIP1	0.9189879	0.79614246	0.6376811594202898	0.93412346	0.8035714285714286	0.23055981	0.9756032	0
CCNL2	0.3665033	0.39037466	0.4057971014492754	0.3635614	0.4142857142857143	-0.1026332	0.16428363	0
MRPL20-AS1	0.060440816	0.039508797	0.057971014492753624	0.06302005	0.08214285714285714	0.6722775	0.5441474	0
MRPL20	0.83339435	0.7520435	0.6811594202898551	0.8434177	0.7571428571428571	0.16541047	0.64886594	0
AL391244.2	0.004055821	0.010925009	0.014492753623188406	0.0032095362	0.005357142857142857	-1.7360789	0.3109669	0
ANKRD65	0.0012761322	-5.820766e-11	0.0	0.0014333698	0.0017857142857142857	3.9386346	0.49792504	0
AL391244.1	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
TMEM88B	7.858034e-10	-5.820766e-11	0.0	6.693881e-10	0.0	1.0490903e-05	28.77808	0
LINC01770	0.00095844123	-5.820766e-11	0.0	0.0010765346	0.0017857142857142857	3.5564728	0.49792445	0
VWA1	0.3087868	0.49136847	0.4492753623188406	0.2862895	0.3107142857142857	-0.7791203	2.1875567	0
ATAD3C	0.0061470927	-5.820766e-11	0.0	0.006904502	0.008928571428571428	6.1302114	1.5606971	0
ATAD3B	0.030696195	0.029291535	0.028985507246376812	0.030869422	0.039285714285714285	0.07544373	0.025202906	0
ATAD3A	0.09999483	0.10508853	0.11594202898550725	0.09936727	0.1357142857142857	-0.08068364	0.05139427	0
TMEM240	0.056584846	0.04102225	0.07246376811594203	0.05850244	0.08035714285714286	0.5110415	0.41010073	0
SSU72	0.71429515	0.8063647	0.7391304347826086	0.70295095	0.6696428571428571	-0.19798219	0.81357914	0
AL645728.1	0.021565238	0.029130135	0.028985507246376812	0.020633075	0.02857142857142857	-0.49552235	0.16189693	0
FNDC10	0.061936364	0.07108471	0.10144927536231885	0.06080921	0.07857142857142857	-0.224907	0.13932583	0
AL691432.4	0.0036047297	-5.820766e-11	0.0	0.004048884	0.005357142857142857	5.3746524	1.0634127	0
AL691432.2	0.017267285	0.011307325	0.028985507246376812	0.018001603	0.02857142857142857	0.66615695	0.3044259	0
