gene	mean	HO_mean	HO_positive_frac	ReAgg-CM_mean	ReAgg-CM_positive_frac	log2FC	-log10 p-val	is_significant
HYI-AS1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
PTPRF	0.15373491	0.15421216	0.15789473684210525	0.15320994	0.17391304347826086	-0.009400519	0.005318818	0
KDM4A	0.11915659	0.12141881	0.21052631578947367	0.116665006	0.15942028985507245	-0.057571672	0.03807061	0
KDM4A-AS1	0.008679502	0.01655956	0.02631578947368421	-5.820766e-11	0.0	-7.3802075	0.7905629	0
ST3GAL3	0.1120888	0.08709533	0.13157894736842105	0.13961788	0.17391304347826086	0.68019384	0.5772336	0
AL451062.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
ARTN	0.012915999	0.02464235	0.013157894736842105	-5.820766e-11	0.0	-7.9508395	0.49413684	0
AL357079.1	0.0054865633	0.0104677705	0.013157894736842105	-5.820766e-11	0.0	-6.723528	0.49413863	0
IPO13	0.03620111	0.03120652	0.05263157894736842	0.041702278	0.043478260869565216	0.41711843	0.14496703	0
AL357079.2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
DPH2	0.04281188	0.065729514	0.09210526315789473	0.017569158	0.028985507246376812	-1.8975012	1.031538	0
ATP6V0B	1.067147	1.0773245	0.8947368421052632	1.0559367	0.782608695652174	-0.028926792	0.078240566	0
B4GALT2	0.08503529	0.09837003	0.15789473684210525	0.0703476	0.08695652173913043	-0.48313415	0.31960425	0
CCDC24	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
SLC6A9	0.012329097	0.008688118	0.013157894736842105	0.016339434	0.014492753623188406	0.9035345	0.16741443	0
AL139220.2	0.0065768673	-7.2759576e-11	0.0	0.013820953	0.014492753623188406	7.121115	0.49369055	0
KLF17	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
KLF18	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
DMAP1	0.13189402	0.095806964	0.13157894736842105	0.17164214	0.2318840579710145	0.8405366	0.90340984	0
ERI3	0.27159378	0.27947295	0.3815789473684211	0.26291597	0.30434782608695654	-0.088074386	0.09249733	0
ERI3-IT1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
RNF220	0.111376196	0.102538615	0.13157894736842105	0.1211105	0.15942028985507245	0.2399411	0.15267205	0
TMEM53	0.06639011	0.063708976	0.10526315789473684	0.06934313	0.08695652173913043	0.12207249	0.05585736	0
ARMH1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
KIF2C	0.0059487936	0.00842202	0.013157894736842105	0.003224644	0.014492753623188406	-1.3579955	0.2473797	0
AL592166.1	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
RPS8	3.8622406	3.9005318	1.0	3.820068	1.0	-0.03007181	0.6324789	0
BEST4	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
PLK3	0.11338664	0.059511513	0.10526315789473684	0.1727274	0.21739130434782608	1.5356691	1.7139289	0
TCTEX1D4	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
BTBD19	0.0024215316	0.00462004	0.013157894736842105	-5.820766e-11	0.0	-5.560728	0.49413544	0
PTCH2	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
EIF2B3	0.11677497	0.08069777	0.13157894736842105	0.15651216	0.2028985507246377	0.95480883	0.91985905	0
HECTD3	0.05170679	0.042318363	0.06578947368421052	0.062047552	0.08695652173913043	0.5510086	0.277998	0
UROD	0.25106928	0.21788867	0.2894736842105263	0.28761658	0.3333333333333333	0.40039518	0.5176181	0
ZSWIM5	0.011613306	0.0078024976	0.013157894736842105	0.015810706	0.014492753623188406	1.0096173	0.18664226	0
LINC01144	0.0051934575	-7.2759576e-11	0.0	0.010913787	0.014492753623188406	6.783168	0.49369037	0
HPDL	-1.1641532e-10	-7.2759576e-11	0.0	-5.820766e-11	0.0	1.7198263e-07	0.733306	0
MUTYH	0.0075596394	0.014422981	0.02631578947368421	-5.820766e-11	0.0	-7.1821947	0.7776075	0
TOE1	0.0483234	0.056371514	0.09210526315789473	0.039458685	0.043478260869565216	-0.51352876	0.22993755	0
TESK2	0.045165993	0.034560308	0.06578947368421052	0.05684748	0.057971014492753624	0.71634746	0.30675733	0
CCDC163	0.0023699217	0.0045215734	0.013157894736842105	-5.820766e-11	0.0	-5.530313	0.49413538	0
MMACHC	0.0050980044	0.00462004	0.013157894736842105	0.0056244447	0.014492753623188406	0.2783367	0.0503895	0
PRDX1	1.561918	1.5265923	0.9473684210526315	1.6008273	0.8840579710144928	0.06849851	0.28482243	0
AKR1A1	0.37323737	0.37438017	0.4342105263157895	0.371979	0.4057971014492754	-0.009280388	0.010329381	0
NASP	0.60237855	0.567019	0.5526315789473685	0.64132553	0.5652173913043478	0.1776303	0.32435766	0
CCDC17	0.009774541	0.0070473226	0.013157894736842105	0.012778424	0.014492753623188406	0.8494813	0.1578273	0
GPBP1L1	0.23618543	0.3043822	0.40789473684210525	0.16107088	0.2028985507246377	-0.91776663	1.6591215	0
TMEM69	0.06833395	0.09386105	0.15789473684210525	0.040217012	0.057971014492753624	-1.220674	0.9342511	0
IPP	0.06095597	0.0447278	0.07894736842105263	0.0788303	0.08695652173913043	0.81618565	0.45162964	0
AL604028.1	0.0034539124	-7.2759576e-11	0.0	0.007258222	0.014492753623188406	6.2012863	0.49369133	0
MAST2	0.042419005	0.05810308	0.09210526315789473	0.025143664	0.043478260869565216	-1.2051742	0.6058022	0
PIK3R3	0.049416747	0.045037076	0.07894736842105263	0.05424058	0.07246376811594203	0.26771694	0.120906465	0
