id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EC|EC	EC|MP	EC|PC	EC|VSMC	MP|EC	MP|MP	MP|PC	MP|VSMC	PC|EC	PC|MP	PC|PC	PC|VSMC	VSMC|EC	VSMC|MP	VSMC|PC	VSMC|VSMC
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.281	0.223	0.576	0.574	0.157	0.099	0.452	0.45	0.145	0.087	0.44	0.438	0.755	0.697	1.05	1.048
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.0	0.0	0.022	0.048	0.095	0.034	0.023	0.048	0.096	0.034	0.037	0.063	0.11	0.048
CPI-SS069924427	AGT_AGTR2	simple:P01019	simple:P50052	AGT	AGTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.0	0.0	0.001	0.003	0.001	0.0	0.001	0.003	0.001	0.0	0.015	0.018	0.015	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.031	0.082	0.054	0.142	0.117	0.168	0.14	0.227	0.057	0.108	0.08	0.167	0.15	0.201	0.172	0.26
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.055	0.389	0.11	0.028	0.087	0.421	0.142	0.06	0.056	0.39	0.11	0.028	0.06	0.394	0.115	0.033
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.054	0.388	0.109	0.027	0.055	0.389	0.109	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.054	0.388	0.108	0.026	0.059	0.393	0.114	0.032	0.054	0.389	0.109	0.027	0.056	0.39	0.11	0.028
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.057	0.391	0.111	0.029	0.073	0.407	0.127	0.045	0.059	0.393	0.113	0.031	0.058	0.392	0.112	0.031
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.001	0.002	0.004	0.004	0.004	0.005	0.007	0.002	0.002	0.003	0.005	0.0	0.0	0.0	0.0
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.001	0.002	0.002	0.004	0.001	0.001	0.002	0.004	0.0	0.0	0.0	0.0
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.001	0.002	0.004	0.002	0.002	0.003	0.005	0.001	0.001	0.002	0.004	0.0	0.0	0.0	0.0
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.004	0.004	0.0	0.0	0.001	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.003	0.003	0.0	0.0
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.004	0.004	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.731	0.043	0.076	0.045	0.927	0.24	0.272	0.241	0.755	0.068	0.101	0.07	0.773	0.085	0.118	0.087
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.706	0.019	0.052	0.02	0.71	0.023	0.056	0.025	0.706	0.019	0.052	0.021	0.707	0.02	0.053	0.022
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.011	0.056	0.037	0.014	0.043	0.088	0.07	0.047	0.011	0.056	0.038	0.015	0.0	0.0	0.0	0.0
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.067	0.085	0.209	0.127	0.121	0.139	0.263	0.181	0.09	0.108	0.232	0.15	0.153	0.171	0.296	0.213
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.156	0.45	0.493	0.47	0.116	0.41	0.453	0.43	0.117	0.412	0.455	0.431	0.193	0.487	0.53	0.507
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.115	0.41	0.453	0.429	0.125	0.419	0.462	0.438	0.115	0.41	0.453	0.429	0.117	0.412	0.455	0.431
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.081	0.22	0.082	0.068	0.123	0.262	0.124	0.11	0.078	0.217	0.078	0.065	0.054	0.193	0.055	0.041
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.434	0.573	0.434	0.421	0.248	0.387	0.248	0.235	0.4	0.539	0.4	0.387	0.187	0.326	0.187	0.174
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.052	0.055	0.052	0.053	0.094	0.097	0.094	0.095	0.048	0.051	0.049	0.049	0.025	0.028	0.025	0.026
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.414	0.447	0.447	0.429	0.228	0.26	0.261	0.243	0.38	0.413	0.413	0.395	0.167	0.199	0.2	0.181
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.059	0.18	0.159	0.079	0.037	0.158	0.137	0.057	0.04	0.161	0.14	0.06	0.043	0.164	0.143	0.063
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.382	0.34	0.199	0.201	0.399	0.357	0.215	0.218	0.379	0.337	0.196	0.198	0.394	0.352	0.211	0.213
CPI-SS0FFB9E01B	FGF4_FGFR1	simple:P08620	simple:P11362	FGF4	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.0	0.0	0.0	0.0	0.372	0.331	0.189	0.191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.374	0.332	0.191	0.193	0.374	0.332	0.19	0.193	0.373	0.332	0.19	0.192	0.404	0.362	0.22	0.222
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.332	0.292	0.23	0.145	0.399	0.359	0.297	0.212	0.35	0.31	0.248	0.163	0.322	0.283	0.221	0.136
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.326	0.286	0.224	0.139	0.388	0.348	0.286	0.201	0.34	0.3	0.238	0.153	0.325	0.285	0.224	0.139
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.328	0.288	0.226	0.141	0.432	0.392	0.331	0.245	0.348	0.308	0.247	0.161	0.357	0.317	0.255	0.17
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.001	0.003	0.001	0.0	0.003	0.006	0.004	0.0	0.001	0.003	0.001	0.0	0.004	0.006	0.004	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.001	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0
CPI-SS0C4FA643F	HLA-E_KLRC2	simple:P13747	simple:P26717	HLA-E	KLRC2	False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.0	0.672	0.0	0.0	0.0	0.104	0.0	0.0	0.0	0.237	0.0	0.0	0.0	0.22	0.0	0.0
CPI-SC066BD3097	HLA-E_CD94:NKG2C	simple:P13747	complex:CD94:NKG2C	HLA-E		False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.0	0.672	0.0	0.0	0.0	0.104	0.0	0.0	0.0	0.237	0.0	0.0	0.0	0.22	0.0	0.0
CPI-SC04E52CC72	HLA-E_CD94:NKG2E	simple:P13747	complex:CD94:NKG2E	HLA-E		False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.0	0.672	0.672	0.0	0.0	0.104	0.104	0.0	0.0	0.236	0.236	0.0	0.0	0.219	0.219	0.0
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.248	0.249	0.248	0.0	1.153	1.154	1.153	0.0	0.704	0.706	0.704	0.0	0.406	0.408	0.406	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.07	0.071	0.07	0.0	0.593	0.594	0.593	0.0	0.161	0.162	0.161	0.0	0.12	0.122	0.12	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.767	0.151	0.462	0.971	0.831	0.215	0.526	1.035	0.777	0.161	0.473	0.981	0.772	0.156	0.467	0.976
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.111	0.16	0.269	0.512	0.294	0.343	0.451	0.694	0.207	0.256	0.365	0.608	0.1	0.149	0.258	0.501
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.21	0.259	0.367	0.61	0.2	0.249	0.358	0.601	0.342	0.391	0.5	0.743	0.837	0.886	0.995	1.238
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.002	0.011	0.001	0.0	0.009	0.019	0.009	0.0	0.002	0.012	0.002	0.0	0.003	0.012	0.002	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.666	0.771	0.859	1.005	1.018	0.122	0.211	0.356	1.137	0.241	0.33	0.475	1.068	0.172	0.261	0.406
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.975	0.079	0.168	0.313	1.015	0.12	0.208	0.354	0.983	0.088	0.176	0.322	0.988	0.092	0.181	0.326
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.446	0.711	0.716	0.712	0.798	0.063	0.068	0.064	0.917	0.182	0.187	0.183	0.848	0.113	0.118	0.114
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.755	0.02	0.025	0.021	0.795	0.06	0.065	0.061	0.763	0.028	0.033	0.029	0.768	0.033	0.038	0.034
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.179	1.365	0.899	0.886	0.531	0.716	0.25	0.238	0.649	0.835	0.369	0.357	0.581	0.766	0.3	0.288
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.488	0.673	0.207	0.195	0.528	0.714	0.248	0.235	0.496	0.682	0.216	0.203	0.5	0.686	0.22	0.208
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.391	0.892	0.708	0.324	0.237	0.738	0.554	0.17	0.403	0.904	0.72	0.337	0.623	1.124	0.94	0.557
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.03	0.167	0.107	0.192	0.0	0.0	0.0	0.0	0.03	0.167	0.107	0.192	0.0	0.0	0.0	0.0
CPI-SS0E2083FAC	NPY_NPY2R	simple:P01303	simple:P49146	NPY	NPY2R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.004	0.01	0.006	0.008	0.014	0.021	0.017	0.019	0.005	0.012	0.008	0.01	0.007	0.014	0.01	0.012
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.014	0.01	0.011	0.015	0.024	0.02	0.021	0.025	0.015	0.011	0.012	0.016	0.017	0.013	0.014	0.019
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.004	0.045	0.004	0.002	0.006	0.047	0.006	0.004	0.004	0.045	0.005	0.002	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.014	0.055	0.015	0.012	0.135	0.176	0.135	0.133	0.016	0.058	0.017	0.014	0.153	0.194	0.153	0.151
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.002	0.002	0.0	0.014	0.015	0.014	0.0	0.003	0.004	0.004	0.0	0.0	0.0	0.0	0.0
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.079	0.08	0.079	0.0	0.399	0.4	0.399	0.0	0.307	0.308	0.308	0.0	0.048	0.049	0.048	0.0
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.001	0.002	0.002	0.0	0.008	0.009	0.008	0.0	0.001	0.002	0.002	0.0	0.002	0.003	0.002	0.0
CPI-SS02CAD3BF8	VIP_SCTR	simple:P01282	simple:P47872	VIP	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.005	0.0	0.004	0.0	0.012	0.0	0.012	0.0	0.001	0.0	0.001	0.0	0.002	0.0	0.002	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.603	0.095	0.209	0.187	0.617	0.109	0.223	0.201	0.615	0.107	0.221	0.199	0.599	0.092	0.206	0.183
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.0	0.0	0.0	0.0	0.004	0.004	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D681D90E	SDC2_ADGRA2	simple:P34741	simple:Q96PE1	SDC2	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.175	0.227	0.262	0.422	0.341	0.393	0.428	0.588	0.382	0.434	0.469	0.629	0.936	0.988	1.023	1.183
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.057	0.07	0.059	0.058	0.336	0.349	0.338	0.336	0.132	0.145	0.134	0.133	0.061	0.074	0.063	0.061
CPI-SS05A3055C3	TNFSF10_TNFRSF11B	simple:P50591	simple:O00300	TNFSF10	TNFRSF11B	True	False	False	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.306	0.297	0.297	0.302	0.018	0.008	0.008	0.013	0.015	0.005	0.005	0.01	0.017	0.008	0.007	0.012
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.755	0.02	0.025	0.021	0.795	0.06	0.065	0.061	0.763	0.028	0.033	0.029	0.768	0.033	0.038	0.034
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.061	0.141	0.222	0.066	0.058	0.138	0.219	0.064	0.058	0.138	0.219	0.063	0.059	0.139	0.22	0.065
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.048	0.128	0.209	0.054	0.049	0.129	0.21	0.055	0.047	0.127	0.208	0.053	0.0	0.0	0.0	0.0
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.124	0.204	0.285	0.129	0.214	0.294	0.375	0.219	0.109	0.189	0.27	0.114	0.091	0.171	0.252	0.097
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.048	0.128	0.208	0.053	0.047	0.127	0.208	0.053	0.047	0.127	0.208	0.052	0.0	0.0	0.0	0.0
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.223	0.909	0.434	0.185	0.22	0.906	0.431	0.182	0.22	0.906	0.431	0.181	0.222	0.908	0.432	0.183
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.211	0.896	0.421	0.172	0.212	0.898	0.423	0.173	0.21	0.895	0.42	0.171	0.0	0.0	0.0	0.0
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.286	0.972	0.497	0.248	0.376	1.062	0.587	0.337	0.271	0.957	0.482	0.233	0.254	0.94	0.465	0.215
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.21	0.896	0.421	0.171	0.209	0.895	0.42	0.171	0.209	0.895	0.42	0.171	0.0	0.0	0.0	0.0
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.032	0.158	0.043	0.026	0.029	0.155	0.04	0.023	0.028	0.154	0.04	0.023	0.03	0.156	0.041	0.025
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.019	0.145	0.03	0.014	0.02	0.146	0.031	0.015	0.018	0.144	0.029	0.013	0.0	0.0	0.0	0.0
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.094	0.22	0.106	0.089	0.184	0.31	0.196	0.179	0.079	0.205	0.091	0.074	0.062	0.188	0.073	0.057
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.018	0.144	0.03	0.013	0.018	0.144	0.029	0.012	0.018	0.144	0.029	0.012	0.0	0.0	0.0	0.0
