id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EC|EC	EC|MP	EC|PC	EC|VSMC	MP|EC	MP|MP	MP|PC	MP|VSMC	PC|EC	PC|MP	PC|PC	PC|VSMC	VSMC|EC	VSMC|MP	VSMC|PC	VSMC|VSMC
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.597	0.812	0.813	0.811	0.812	0.028	0.029	0.026	0.813	0.029	0.03	0.027	0.811	0.026	0.027	0.024
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.009	0.007	0.021	0.031	0.007	0.006	0.02	0.029	0.021	0.02	0.034	0.043	0.031	0.029	0.043	0.053
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.043	0.182	0.079	0.03	0.182	0.321	0.218	0.169	0.079	0.218	0.114	0.065	0.03	0.169	0.065	0.016
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.018	0.014	0.01	0.039	0.05	0.046	0.042	0.007	0.018	0.014	0.011	0.012	0.023	0.019	0.015
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.017	0.013	0.009	0.006	0.017	0.013	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.005	0.016	0.012	0.009	0.011	0.022	0.018	0.014	0.006	0.017	0.013	0.009	0.007	0.018	0.014	0.011
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.019	0.015	0.012	0.025	0.036	0.032	0.028	0.01	0.022	0.017	0.014	0.01	0.021	0.017	0.013
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.486	0.0	0.486	0.0	0.577	0.0	0.577	0.0	1.268	0.0	1.268	0.0	1.763	0.0	1.763	0.0
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	0.013	0.0	0.013	0.0	0.093	0.0	0.093	0.0	0.043	0.0	0.043	0.0	0.014	0.0	0.014	0.0
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	1.222	0.675	0.651	0.668	0.675	0.127	0.103	0.12	0.651	0.103	0.079	0.096	0.668	0.12	0.096	0.113
