gene	mean	EC_1_mean	EC_1_positive_frac	EC_2_mean	EC_2_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.034049716	0.011732065	0.012437810945273632	0.0695111	0.09723320158102766	2.5566156	16.239002	1
HES4	0.46492067	0.3360017	0.3119402985074627	0.6697591	0.6490118577075099	0.99495995	44.25141	1
AGRN	0.14749566	0.112531446	0.11691542288557213	0.20305847	0.2735177865612648	0.8509958	12.580103	1
MXRA8	0.042776417	0.004258833	0.005472636815920398	0.10397788	0.14466403162055336	4.5775776	35.472626	1
MMP23B	0.015400898	0.0041605267	0.004975124378109453	0.033261262	0.0466403162055336	2.9690702	8.811034	1
SLC35E2B	0.08422039	0.06713382	0.07263681592039802	0.11136602	0.15889328063241107	0.7293449	5.5347347	1
SMIM1	0.016293405	0.0018397656	0.001990049751243781	0.039259452	0.05375494071146245	4.342756	12.692502	1
C1orf174	0.11517605	0.09605569	0.10497512437810945	0.14556071	0.20790513833992094	0.5991677	5.46083	1
GPR153	0.02197272	0.0035715543	0.003980099502487562	0.051211037	0.0782608695652174	3.8048062	16.944643	1
GPR157	0.0117629	0.0039601927	0.004477611940298508	0.02416105	0.03557312252964427	2.579022	6.4909225	1
H6PD	0.066448405	0.046912417	0.05373134328358209	0.09748519	0.1383399209486166	1.0536203	8.357202	1
RBP7	0.022785146	0.007222301	0.006965174129353234	0.04751358	0.07035573122529644	2.7010043	11.764577	1
FBXO42	0.10435063	0.08460117	0.09353233830845771	0.1357324	0.19130434782608696	0.6813738	6.138324	1
MFAP2	0.3582839	0.25486192	0.2507462686567164	0.52260613	0.5660079051383399	1.0357183	44.25141	1
CAMK2N1	0.09382206	0.01652625	0.01691542288557214	0.21664049	0.26403162055335966	3.704434	44.25141	1
KDM1A	0.28602043	0.24619706	0.24676616915422886	0.3492832	0.4197628458498024	0.50441074	9.560588	1
LDLRAP1	0.096329525	0.11303636	0.12288557213930348	0.06978635	0.10592885375494071	-0.69498	5.5961647	1
ZNF593	0.18533543	0.15691748	0.1691542288557214	0.2304902	0.29881422924901185	0.554406	7.413601	1
HMGN2	0.89887387	0.75476146	0.6029850746268657	1.1278672	0.8584980237154151	0.57944137	44.25141	1
ARID1A	0.50299007	0.43317306	0.40945273631840795	0.61391896	0.6411067193675889	0.5030068	19.831245	1
AHDC1	0.17700702	0.14929079	0.1517412935323383	0.22104803	0.2964426877470356	0.5659213	7.284818	1
RAB42	0.0062948065	0.000263703	0.0004975124378109452	0.015877824	0.02766798418972332	5.457166	7.325327	1
GMEB1	0.15499109	0.13124211	0.13532338308457711	0.19273457	0.2624505928853755	0.5540342	6.187646	1
TINAGL1	0.011643944	0.0010825376	0.0014925373134328358	0.028425463	0.039525691699604744	4.5922923	9.862426	1
COL16A1	0.032149643	0.0059869047	0.005970149253731343	0.073720545	0.10909090909090909	3.6002417	23.786448	1
CCDC28B	0.2794123	0.23037869	0.22786069651741295	0.3573124	0.43636363636363634	0.63295627	14.518758	1
FAM167B	0.19187342	0.21803088	0.21144278606965175	0.1503036	0.1984189723320158	-0.5363549	6.2473965	1
FNDC5	0.006056388	0.00083925	0.0009950248756218905	0.014346103	0.019762845849802372	3.9430273	5.006306	1
ZNF362	0.10625711	0.087206624	0.09253731343283582	0.13652855	0.19683794466403162	0.646096	5.641959	1
CLSPN	0.05384549	0.03757608	0.03582089552238806	0.07969364	0.10197628458498023	1.0826248	5.941067	1
AGO3	0.34964642	0.2993381	0.2935323383084577	0.4295703	0.4980237154150198	0.5209722	12.980466	1
POU3F1	0.014592998	0.005500323	0.006965174129353234	0.02904088	0.0458498023715415	2.3794625	7.4668803	1
HEYL	0.077601425	0.01085189	0.010945273631840797	0.18366157	0.24347826086956523	4.0685835	44.25141	1
NFYC	0.19407728	0.1602105	0.1681592039800995	0.24788791	0.3241106719367589	0.6294008	9.703731	1
TIE1	0.63577056	0.71918464	0.6029850746268657	0.5032265	0.5533596837944664	-0.51506823	24.817987	1
SLC6A9	0.008363846	0.0012551774	0.0014925373134328358	0.019659163	0.02766798418972332	3.8659682	6.661425	1
IPP	0.07280031	0.056093156	0.0626865671641791	0.099341005	0.14466403162055336	0.82344645	6.1135774	1
CYP4X1	0.008650896	0.0011107925	0.0009950248756218905	0.02063171	0.028458498023715414	4.0978155	7.0402474	1
SPATA6	0.105576046	0.067376524	0.07064676616915423	0.16627395	0.2189723320158103	1.301972	17.889477	1
BEND5	0.024105566	0.009240719	0.00945273631840796	0.047724996	0.06719367588932806	2.3561594	10.73374	1
TUT4	0.27706832	0.20498528	0.20746268656716418	0.39159375	0.45138339920948617	0.93350214	28.30572	1
GPX7	0.14990455	0.11970366	0.12686567164179105	0.19789964	0.2648221343873518	0.72482586	9.551806	1
NFIA	0.3895989	0.20103431	0.19950248756218905	0.689212	0.6537549407114625	1.776998	44.25141	1
L1TD1	0.00824214	0.001997749	0.0024875621890547263	0.018164054	0.025296442687747035	3.122093	5.2771063	1
DOCK7	0.09974444	0.03390296	0.035323383084577116	0.20436352	0.266403162055336	2.5881112	44.25141	1
ROR1	0.10369325	0.083524495	0.0880597014925373	0.13574244	0.18814229249011857	0.6999368	6.0350876	1
PDE4B	0.2452913	0.2901381	0.28308457711442786	0.17401767	0.22529644268774704	-0.7371742	14.547699	1
GNG12	0.16806047	0.10949552	0.11492537313432835	0.2611185	0.33438735177865614	1.2530681	28.773489	1
WLS	0.18108475	0.15334131	0.15870646766169155	0.22516832	0.29960474308300394	0.55395746	7.1586494	1
NEXN	0.05375786	0.037277784	0.03980099502487562	0.07994115	0.11383399209486166	1.0985608	7.1496186	1
IFI44L	0.009599657	1.4042598e-09	0.0	0.024852864	0.04189723320158103	7.9630413	11.512187	1
SYDE2	0.018558817	0.0073419586	0.007462686567164179	0.036381945	0.05138339920948617	2.2934284	8.320118	1
LMO4	0.24686146	0.16230518	0.16965174129353233	0.38120878	0.4268774703557312	1.2313621	39.63186	1
GTF2B	0.17891046	0.14727227	0.1527363184079602	0.2291829	0.3059288537549407	0.63766366	9.217339	1
RBMXL1	0.06868121	0.052607052	0.06069651741293532	0.09421659	0.13280632411067195	0.83951557	5.986112	1
GBP1	0.018367153	0.0030988741	0.0029850746268656717	0.042627484	0.06324110671936758	3.7395282	13.596728	1
CDC7	0.03545143	0.023297988	0.024875621890547265	0.054762606	0.07588932806324111	1.2294388	5.758922	1
CCDC18-AS1	0.08235579	0.058050413	0.06218905472636816	0.12097225	0.16600790513833993	1.0580069	10.099526	1
LRRC39	0.0069065494	0.00091893267	0.0009950248756218905	0.016420526	0.023715415019762844	4.019129	6.034688	1
VCAM1	0.025509182	0.005104479	0.005472636815920398	0.057930995	0.0782608695652174	3.4789982	16.346022	1
DPH5	0.10631337	0.08395334	0.08955223880597014	0.14184476	0.19051383399209487	0.75595254	7.1096025	1
OLFM3	0.010806322	0.0011106153	0.0009950248756218905	0.026212256	0.03715415019762846	4.4419227	8.315042	1
GSTM2	0.0142635	0.005543588	0.005970149253731343	0.0281192	0.04189723320158103	2.3219924	6.617914	1
GSTM3	0.2720837	0.23139346	0.23432835820895523	0.33672562	0.40948616600790516	0.5410304	10.442556	1
CSF1	0.021309167	0.0044690724	0.004975124378109453	0.048067093	0.07272727272727272	3.3980746	15.089005	1
SLC16A1-AS1	0.08315882	0.06136287	0.06567164179104477	0.117787026	0.15731225296442689	0.9396179	7.9646773	1
OLFML3	0.08234332	0.031515036	0.03283582089552239	0.1631049	0.21106719367588933	2.3680017	34.11217	1
SYT6	0.007929584	0.0004737696	0.0004975124378109452	0.019776387	0.028458498023715414	5.11444	7.788569	1
NGF	0.015343339	0.0015059342	0.001990049751243781	0.037330102	0.05375494071146245	4.5427146	13.172451	1
IGSF3	0.02226524	0.012427236	0.012935323383084577	0.037897415	0.05454545454545454	1.6008333	5.822408	1
PTGFRN	0.16147552	0.13364683	0.136318407960199	0.20570007	0.2727272727272727	0.6217388	7.6751165	1
WARS2	0.053143773	0.0385171	0.041791044776119404	0.07638179	0.11383399209486166	0.98587644	6.1091785	1
ZNF697	0.05193896	0.027053827	0.03034825870646766	0.09147738	0.13517786561264822	1.7538358	15.85433	1
PHGDH	0.11563736	0.032363467	0.034328358208955224	0.24795443	0.31462450592885377	2.9337676	44.25141	1
NOTCH2	0.10047281	0.011988794	0.013930348258706468	0.24106838	0.3098814229249012	4.3182983	44.25141	1
