gene	mean	EC_1_mean	EC_1_positive_frac	EC_3_mean	EC_3_positive_frac	log2FC	-log10 p-val	is_significant
AGRN	0.15222257	0.112531446	0.11691542288557213	0.2423741	0.28700564971751413	1.1062211	15.845135	1
VWA1	0.14355524	0.072734036	0.07562189054726368	0.3044035	0.319774011299435	2.063774	37.710632	1
SLC35E2B	0.0837249	0.06713382	0.07263681592039802	0.121399954	0.14576271186440679	0.85369664	5.219455	1
MEGF6	0.02108827	0.028126743	0.029850746268656716	0.0051034293	0.007909604519774011	-2.439528	7.323865	1
ACOT7	0.2775659	0.31853533	0.3199004975124378	0.1845007	0.2248587570621469	-0.7874981	15.406028	1
CTNNBIP1	0.349687	0.39279687	0.3761194029850746	0.25176194	0.30056497175141245	-0.6415175	13.653257	1
RBP7	0.015688224	0.007222301	0.006965174129353234	0.034916483	0.04406779661016949	2.2576654	5.4210854	1
PGD	0.52276456	0.59113413	0.5283582089552239	0.36747068	0.4033898305084746	-0.68570787	24.676228	1
MAD2L2	0.07272778	0.051431183	0.05621890547263682	0.12109135	0.14463276836158193	1.2337692	8.724896	1
DDI2	0.18857668	0.15350182	0.1582089552238806	0.2682429	0.3096045197740113	0.8048822	11.025087	1
HSPB7	0.023392493	0.005625373	0.005970149253731343	0.06374513	0.08135593220338982	3.479135	12.768942	1
EPHA2	0.19292799	0.22684342	0.2308457711442786	0.115896925	0.15141242937853108	-0.96824616	15.046677	1
MICOS10	1.3126018	1.4514858	0.890049751243781	0.99719477	0.7694915254237288	-0.5415379	44.55244	1
ID3	1.5051718	1.2991678	0.8049751243781095	1.9730442	0.9457627118644067	0.6027976	44.55244	1
FCN3	0.03532791	0.0022793894	0.0029850746268656717	0.11038732	0.11186440677966102	5.5371456	19.343767	1
CCDC28B	0.26064518	0.23037869	0.22786069651741295	0.32937643	0.376271186440678	0.5155419	7.138358	1
ZBTB8OS	0.31087738	0.34423354	0.34129353233830845	0.23510492	0.28926553672316385	-0.5498885	9.452003	1
KIAA1522	0.07026823	0.08522094	0.09303482587064676	0.036301084	0.04519774011299435	-1.2289184	8.008255	1
GJA4	0.6032989	0.7596885	0.545771144278607	0.2480936	0.2576271186440678	-1.6141319	44.55244	1
SH3D21	0.046532813	0.027387736	0.029850746268656716	0.09001469	0.11186440677966102	1.7129742	9.752464	1
RRAGC	0.3652859	0.40267584	0.3805970149253731	0.280353	0.3310734463276836	-0.52221817	10.014118	1
RLF	0.24357222	0.19502357	0.19900497512437812	0.35383028	0.4011299435028249	0.8590771	16.905966	1
ZMPSTE24	0.29312596	0.33248946	0.3308457711442786	0.20370823	0.2598870056497175	-0.70653003	13.871128	1
SLC2A1	0.23243254	0.107287675	0.10298507462686567	0.51665723	0.49830508474576274	2.2666583	44.55244	1
EBNA1BP2	0.2854852	0.31568086	0.3174129353233831	0.2168894	0.25875706214689265	-0.5412991	8.072366	1
MKNK1	0.16231152	0.18276733	0.19502487562189055	0.11585916	0.1480225988700565	-0.6571806	6.468474	1
EFCAB14	1.1653486	1.3476483	0.8402985074626865	0.7513516	0.6350282485875707	-0.84279895	44.55244	1
TTC39A	0.054754827	0.066670276	0.07412935323383085	0.027685817	0.03728813559322034	-1.2648574	7.1002836	1
ECHDC2	0.051016513	0.061545603	0.06965174129353234	0.027098382	0.03728813559322034	-1.1804773	5.9224343	1
YIPF1	0.23033936	0.2668173	0.2651741293532338	0.14747268	0.18531073446327684	-0.85496706	14.35564	1
HSPB11	0.19419381	0.2144392	0.21940298507462686	0.14820921	0.18757062146892656	-0.532633	5.350501	1
ACOT11	0.12538414	0.10293898	0.10995024875621891	0.17636468	0.21468926553672316	0.7761892	6.904109	1
DHCR24	0.18712734	0.21073449	0.21442786069651742	0.13351114	0.16271186440677965	-0.6580705	7.137842	1
PLPP3	1.1450398	0.9819478	0.6945273631840796	1.5154685	0.8564971751412429	0.6259939	44.55244	1
NFIA-AS2	0.14673981	0.19648325	0.19601990049751244	0.0337707	0.04180790960451977	-2.5370307	44.55244	1
PGM1	0.14023288	0.0896425	0.09601990049751244	0.25513712	0.2858757062146893	1.5079747	23.563091	1
ROR1	0.06854054	0.083524495	0.0880597014925373	0.034502544	0.04745762711864407	-1.2730474	8.411214	1
AK4	0.2774518	0.14740032	0.14129353233830846	0.5728188	0.5581920903954802	1.9576126	44.55244	1
PDE4B	0.3306849	0.2901381	0.28308457711442786	0.42276028	0.4327683615819209	0.54294413	9.385343	1
SGIP1	0.086330846	0.0665729	0.07164179104477612	0.13119851	0.16045197740112993	0.97767824	7.0261397	1
IFI44	0.1548405	0.17839848	0.1855721393034826	0.10134253	0.12542372881355932	-0.81524915	8.59682	1
TTLL7	0.25415334	0.29431012	0.282089552238806	0.16293234	0.2	-0.8526691	15.512372	1
CCN1	0.4362329	0.48604587	0.41890547263681593	0.32308337	0.3107344632768362	-0.5890363	11.90429	1
LMO4	0.19129832	0.16230518	0.16965174129353233	0.2571522	0.2983050847457627	0.6635857	7.9314594	1
GBP4	0.05309034	0.031553715	0.03333333333333333	0.10200296	0.11638418079096045	1.6895779	9.279048	1
LRRC8B	0.1583441	0.12812716	0.13880597014925372	0.2269789	0.2598870056497175	0.8244918	9.196059	1
EPHX4	0.22451262	0.27609697	0.2736318407960199	0.10733564	0.14124293785310735	-1.3622247	31.66328	1
CCDC18-AS1	0.07396102	0.058050413	0.06218905472636816	0.11009091	0.13785310734463277	0.92214394	5.6604743	1
GCLM	0.6226408	0.7165219	0.5681592039800994	0.40940568	0.43050847457627117	-0.8073288	37.646904	1
SNX7	0.39782745	0.44279358	0.41592039800995023	0.29568732	0.34011299435028247	-0.58239996	13.310142	1
COL11A1	0.31989273	0.16254967	0.15522388059701492	0.6772441	0.5672316384180791	2.058121	44.55244	1
NTNG1	0.027184162	0.034422748	0.03731343283582089	0.010744854	0.013559322033898305	-1.6705368	5.450697	1
TAF13	0.22841851	0.25301263	0.2601990049751244	0.17254478	0.2192090395480226	-0.5519727	6.855383	1
DRAM2	0.2212861	0.18821655	0.19502487562189055	0.2963897	0.3367231638418079	0.65482205	9.059659	1
PHTF1	0.2764663	0.3141727	0.3099502487562189	0.19081248	0.23615819209039549	-0.71910536	12.925808	1
RSBN1	0.16081186	0.13779397	0.14328358208955225	0.21309704	0.26101694915254237	0.62862796	6.274564	1
TSPAN2	0.17925993	0.2085008	0.20248756218905473	0.11284901	0.12994350282485875	-0.88507307	10.740275	1
ITGA10	0.030295845	0.018652642	0.020398009950248756	0.056739993	0.07231638418079096	1.5998125	5.8948298	1
