gene	mean	EC_1_mean	EC_1_positive_frac	EC_2_mean	EC_2_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
FAM138A	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
OR4F5	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AL627309.1	0.002148267	0.0020140018	0.001990049751243781	0.00236144	0.003952569169960474	0.21952601	0.089569144	0
AL627309.3	0.00027449586	1.4042598e-09	0.0	0.0007106565	0.0007905138339920949	3.0190706	0.49825606	0
AL627309.2	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AL627309.5	0.014062125	0.009394777	0.010945273631840797	0.021478582	0.03241106719367589	1.1843941	2.5425255	0
AL627309.4	0.00041167694	0.0003709202	0.0004975124378109452	0.00047643523	0.0007905138339920949	0.2916759	0.06485397	0
AP006222.2	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AL732372.1	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
OR4F29	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AC114498.1	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
OR4F16	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AL669831.2	0.00034782614	1.4042598e-09	0.0	0.00090050144	0.0007905138339920949	3.3226311	0.4982543	0
LINC01409	0.03014185	0.026318615	0.02935323383084577	0.036216944	0.05612648221343874	0.45908812	1.1084906	0
FAM87B	0.00015118805	1.4042598e-09	0.0	0.00039142166	0.0007905138339920949	2.2969413	0.49825448	0
LINC01128	0.10014674	0.10422499	0.10945273631840796	0.093666606	0.13438735177865613	-0.15393867	0.54856884	0
LINC00115	0.008607684	0.010756494	0.011940298507462687	0.0051942314	0.008695652173913044	-1.0360651	1.3249166	0
FAM41C	0.018145615	0.021564277	0.02437810945273632	0.012714438	0.020553359683794466	-0.7575479	1.5453184	0
AL645608.6	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AL645608.2	0.0016164425	0.00031262645	0.0004975124378109452	0.0036881205	0.005533596837944664	3.198574	1.681468	0
AL645608.4	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
LINC02593	0.0053936164	0.0018485596	0.0014925373134328358	0.011026536	0.016600790513833993	2.5135245	2.934326	0
SAMD11	0.034049716	0.011732065	0.012437810945273632	0.0695111	0.09723320158102766	2.5566156	16.239002	1
NOC2L	0.2313407	0.22278468	0.2308457711442786	0.24492703	0.3233201581027668	0.13664338	0.9091259	0
KLHL17	0.01807136	0.016625362	0.017412935323383085	0.02036949	0.02924901185770751	0.29143783	0.38574558	0
PLEKHN1	0.00079275935	0.0010289443	0.0009950248756218905	0.0004175839	0.0007905138339920949	-1.1251096	0.33123246	0
PERM1	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AL645608.7	0.0059306626	0.0039747534	0.003980099502487562	0.009038842	0.014229249011857707	1.1652987	1.2888036	0
HES4	0.46492067	0.3360017	0.3119402985074627	0.6697591	0.6490118577075099	0.99495995	44.25141	1
ISG15	0.42926922	0.4362291	0.4009950248756219	0.4181973	0.4758893280632411	-0.06088804	0.47259146	0
AL645608.1	0.00023406069	1.4042598e-09	0.0	0.0006059738	0.0007905138339920949	2.8195944	0.49825358	0
AGRN	0.14749566	0.112531446	0.11691542288557213	0.20305847	0.2735177865612648	0.8509958	12.580103	1
AL645608.5	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
AL645608.8	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
RNF223	-2.0154403e-09	1.4042598e-09	0.0	1.2369128e-09	0.0	-2.407759e-06	3.4487138	0
C1orf159	0.022109699	0.01915778	0.021393034825870648	0.026800362	0.04031620553359684	0.48218423	0.93127245	0
AL390719.3	0.000134714	1.4042598e-09	0.0	0.00034876564	0.0007905138339920949	2.165942	0.4982676	0
