gene	mean	EC_2_mean	EC_2_positive_frac	EC_3_mean	EC_3_positive_frac	log2FC	-log10 p-val	is_significant
AC018693.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
MORN2	0.19697818	0.2298263	0.3090909090909091	0.15003254	0.18983050847457628	-0.61493474	6.8090143	1
ARHGEF33	0.0035259055	0.0030872482	0.0047430830039525695	0.004152765	0.005649717514124294	0.41608968	0.18546689	0
AC019171.1	0.0010030265	0.0017048204	0.0023715415019762848	1.0477379e-09	0.0	-4.173768	1.0393739	0
SOS1	0.26376462	0.25294575	0.3185770750988142	0.27923092	0.3129943502824859	0.14257702	0.7913703	0
SOS1-IT1	0.00845358	0.008354424	0.012648221343873518	0.008595425	0.011299435028248588	0.040550098	0.023613684	0
CDKL4	0.0039228355	0.0034435943	0.005533596837944664	0.004607756	0.006779661016949152	0.4098261	0.20366141	0
MAP4K3	0.2673539	0.26651743	0.3359683794466403	0.26855198	0.32090395480225986	0.010967333	0.040740013	0
AC007684.2	0.0005776463	0.00047436066	0.0007905138339920949	0.00072527316	0.0011299435028248588	0.52291477	0.11226264	0
MAP4K3-DT	0.30642635	0.30147275	0.3778656126482213	0.31350377	0.36610169491525424	0.056436785	0.27643582	0
TMEM178A	0.08311056	0.10952148	0.14071146245059288	0.0453524	0.05649717514124294	-1.2701021	9.016482	1
THUMPD2	0.11534588	0.12547252	0.1707509881422925	0.10086464	0.1310734463276836	-0.31467062	1.3365188	0
SLC8A1-AS1	0.0053438195	0.007486135	0.011067193675889328	0.0022814956	0.003389830508474576	-1.6714971	1.4726499	0
SLC8A1	0.069222525	0.09442881	0.12964426877470356	0.03318913	0.0384180790960452	-1.5057029	9.844901	1
AC007877.1	0.004644961	0.004752397	0.0071146245059288534	0.0044913082	0.006779661016949152	-0.079792365	0.038015205	0
AC007317.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC007317.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01794	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC009413.2	0.00023833144	1.2369128e-09	0.0	0.000578995	0.0011299435028248588	2.7633832	0.498152	0
LINC01913	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01914	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
C2orf91	0.00020601513	0.00035013267	0.0007905138339920949	1.0477379e-09	0.0	-2.1703353	0.49827248	0
AC013480.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
PKDCC	0.07586984	0.09817438	0.14150197628458497	0.04398271	0.05875706214689266	-1.1566024	7.7525587	1
AC083949.1	0.0004248885	0.00072213094	0.0007905138339920949	1.0477379e-09	0.0	-3.0393531	0.49825844	0
EML4	0.280371	0.32296208	0.4	0.21948938	0.2542372881355932	-0.557003	7.916565	1
COX7A2L	0.9204694	0.9236182	0.8039525691699605	0.9159668	0.7774011299435029	-0.011999982	0.11609785	0
KCNG3	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
MTA3	0.16284648	0.18263689	0.25138339920948616	0.13456158	0.16836158192090395	-0.44042954	3.1168284	0
OXER1	0.009250011	0.015721936	0.02292490118577075	1.0477379e-09	0.0	-7.305767	6.617531	1
HAAO	0.023137435	0.036817014	0.052964426877470355	0.003584949	0.005649717514124294	-3.3245692	10.467225	1
AC016735.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01819	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC02590	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC02580	0.0028386388	0.0048244693	0.006324110671936759	1.0477379e-09	0.0	-5.621881	2.2208283	0
AC010883.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC010883.3	0.012621806	0.011620604	0.015019762845849802	0.014053784	0.01694915254237288	0.2721408	0.22357528	0
ZFP36L2	0.99258465	0.96961045	0.7936758893280632	1.025425	0.7672316384180791	0.080736704	1.2256324	0
LINC01126	0.0009989245	0.00095902075	0.0023715415019762848	0.0010559986	0.0022598870056497176	0.12640877	0.037217055	0
AC010883.1	0.0020765155	0.002450173	0.0031620553359683794	0.0015423582	0.0022598870056497176	-0.6348264	0.22904529	0
THADA	0.10225085	0.1092973	0.1549407114624506	0.09217226	0.12316384180790961	-0.2456082	0.8629479	0
PLEKHH2	0.06957753	0.112172216	0.14782608695652175	0.008686912	0.011299435028248588	-3.6755009	30.907463	1
C1GALT1C1L	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
DYNC2LI1	0.12181349	0.13318059	0.1865612648221344	0.10556016	0.13333333333333333	-0.33503512	1.5432156	0
ABCG5	0.00077951496	0.00037592353	0.0007905138339920949	0.0013563951	0.0022598870056497176	1.6136	0.4411214	0
ABCG8	0.0038171017	0.0057488414	0.008695652173913044	0.0010557926	0.0011299435028248588	-2.3392684	1.6687598	0
LRPPRC	0.32814908	0.35821494	0.43873517786561267	0.2851652	0.33559322033898303	-0.32892448	3.8456318	0
AC019129.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
PPM1B	0.12670456	0.12658627	0.17628458498023716	0.12686904	0.16271186440677965	0.0032164431	0.0075069307	0
SLC3A1	0.0048226104	0.0034910173	0.005533596837944664	0.0067258375	0.007909604519774011	0.92661345	0.5506884	0
PREPL	0.1707869	0.1874888	0.24980237154150198	0.14691727	0.19322033898305085	-0.35158798	2.2973545	0
CAMKMT	0.037408758	0.047370043	0.06956521739130435	0.023171036	0.030508474576271188	-1.028482	3.34206	0
LINC01833	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
SIX3-AS1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
SIX3	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC012354.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
SIX2	0.0002314194	0.00039330992	0.0007905138339920949	1.0477379e-09	0.0	-2.3024793	0.49825495	0
AC093702.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
LINC01121	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC093833.1	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC009236.2	1.4260877e-09	1.2369128e-09	0.0	1.0477379e-09	0.0	-2.751725e-06	3.8628373	0
AC009236.1	0.0003294131	1.2369128e-09	0.0	0.0008002667	0.0011299435028248588	3.1703346	0.49814206	0
