gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EN_H	EP	FB_H	UN
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.025	0.406	0.308	0.533	0.012
PTGIS	Q16647	True	PTGIS_HUMAN	Prostacyclin_byPTGIS	CPI-CS09A35DD21	PTGIS	0.003	0.0	0.013	0.083	0.0
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0D78DAC70	AKR1C3	0.156	0.0	0.667	0.042	0.021
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS09DCEBC2B	PTGES	0.006	0.0	0.0	0.064	0.004
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.006	0.0	0.0	0.064	0.004
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.006	0.0	0.0	0.064	0.004
AKR1B1	P15121	True	ALDR_HUMAN	ProstaglandinF2a_byAKR1B1	CPI-CS058DED3AA	AKR1B1	0.532	0.377	0.128	0.359	0.09
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	TPH1	0.001	0.0	0.0	0.002	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	TPH1	0.001	0.0	0.0	0.002	0.0
TPH1	P17752	True	TPH1_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	TPH1	0.001	0.0	0.0	0.002	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS09463D22E	SLC18A2	0.001	0.0	0.0	0.002	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS0FBE83390	SLC18A2	0.001	0.0	0.0	0.002	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	5-HT_byTPH1_and_SLC18A2	CPI-CS059692236	SLC18A2	0.001	0.0	0.0	0.002	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.053	0.0	0.218	0.02	0.01
TENM2	Q9NT68	True	TEN2_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	TENM2	0.003	0.0	0.0	0.017	0.002
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM2_FLRT3_complex	CPI-CS049AAD8F5	FLRT3	0.003	0.0	0.0	0.017	0.002
FLRT3	Q9NZU0	True	FLRT3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	FLRT3	0.003	0.0	0.064	0.017	0.002
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	TENM3	0.008	0.0	0.0	0.0	0.002
TENM3	Q9P273	True	TEN3_HUMAN	TENM3_FLRT3_complex	CPI-CS0D62B1695	TENM3	0.003	0.0	0.064	0.017	0.002
FLRT1	Q9NZU1	True	FLRT1_HUMAN	TENM3_FLRT1_complex	CPI-CS059C42E4B	FLRT1	0.008	0.0	0.0	0.0	0.002
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.001	0.768	0.013	0.007	0.006
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.002	0.0	0.051	0.054	0.004
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.005	0.029	0.0	0.046	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.077	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.01	0.0	0.013	0.005	0.004
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.012	0.0	0.0	0.01	0.027
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.005	0.0	0.0	0.02	0.002
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0837C7966	NLGN4Y	0.03	0.145	0.013	0.088	0.008
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.28	0.71	0.038	0.604	0.08
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.003	0.0	0.91	0.005	0.002
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.048	0.087	0.038	0.215	0.012
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.036	0.014	0.872	0.11	0.016
APLN	Q9ULZ1	False	APEL_HUMAN		CPI-SS086CB298F	APLN	0.01	0.551	0.0	0.024	0.0
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0E4E83C2E	BDNF	0.005	0.0	0.0	0.032	0.0
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.005	0.0	0.0	0.032	0.0
NTN4	Q9HB63	False	NET4_HUMAN		CPI-SS0E3AA6B7B	NTN4	0.0	0.0	0.026	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.01	0.0	0.013	0.005	0.004
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.012	0.0	0.0	0.01	0.027
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.005	0.0	0.0	0.02	0.002
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS0CCB5F46B	NLGN4Y	0.03	0.145	0.013	0.088	0.008
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS093707FE0	CLSTN2	0.01	0.0	0.013	0.005	0.004
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS08D8F6957	LRRTM3	0.012	0.0	0.0	0.01	0.027
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS06157E5AF	LRRTM4	0.005	0.0	0.0	0.02	0.002
NLGN4Y	Q8NFZ3	False	NLGNY_HUMAN		CPI-SS07C26C799	NLGN4Y	0.03	0.145	0.013	0.088	0.008
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0B1B18F2D	CXCL12	0.239	0.0	0.128	0.254	0.037
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.0	0.029	0.0	0.029	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.239	0.0	0.128	0.254	0.037
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.012	0.0	0.218	0.024	0.004
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.035	0.0	0.026	0.024	0.006
IHH	Q14623	False	IHH_HUMAN		CPI-SC0037338E6	IHH	0.0	0.0	0.09	0.0	0.0
IHH	Q14623	False	IHH_HUMAN		CPI-SC0C3E862AA	IHH	0.0	0.0	0.09	0.0	0.0
IHH	Q14623	False	IHH_HUMAN		CPI-SS055233B99	IHH	0.0	0.0	0.09	0.0	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.004	0.072	0.064	0.095	0.006
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.002
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.002	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0C70ADA28	EFNA5	0.03	0.0	0.0	0.132	0.004
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.03	0.0	0.0	0.132	0.004
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.082	0.478	0.064	0.12	0.018
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS068ACD209	EFNA5	0.03	0.0	0.0	0.132	0.004
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0ECC9DF3E	EFNB2	0.082	0.478	0.064	0.12	0.018
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.082	0.478	0.064	0.12	0.018
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.113	0.087	0.321	0.056	0.043
EGF	P01133	False	EGF_HUMAN		CPI-SS09947DDD9	EGF	0.054	0.014	0.013	0.005	0.023
FLRT1	Q9NZU1	False	FLRT1_HUMAN		CPI-SS0430C8A78	FLRT1	0.008	0.0	0.0	0.0	0.002
FLRT2	O43155	False	FLRT2_HUMAN		CPI-SS0474E1C15	FLRT2	0.082	0.043	0.192	0.156	0.039
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS052641D5A	FLRT3	0.003	0.0	0.256	0.017	0.002
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS038A612D7	TENM1	0.002	0.0	0.0	0.007	0.004
TENM2	Q9NT68	False	TEN2_HUMAN		CPI-SS0BCB3D402	TENM2	0.02	0.0	0.0	0.235	0.004
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS0EA023E51	TENM3	0.053	0.014	0.064	0.267	0.008
TENM4	Q6N022	False	TEN4_HUMAN		CPI-SS01F00A48A	TENM4	0.092	0.0	0.026	0.076	0.021
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.003	0.0	0.256	0.017	0.002
