gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	UN
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.004	0.0	0.0	0.193	0.005
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.002	0.0	0.009	0.006	0.018
CCR7	P32248	False	CCR7_HUMAN		CPI-SS06C0074BD	CCR7	0.0	0.0	0.0	0.0	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.005	0.554	0.009	0.201	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.005	0.554	0.009	0.201	0.0
RORA	P35398	False	RORA_HUMAN		CPI-CS0406B0B69	RORA	0.249	0.191	0.24	0.184	0.239
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0348885FD	ADGRB3	0.005	0.032	0.0	0.026	0.005
EDNRB	P24530	False	EDNRB_HUMAN		CPI-SS09B92F236	EDNRB	0.006	0.243	0.0	0.115	0.013
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.004	0.0	0.362	0.249	0.016
EGFR	P00533	False	EGFR_HUMAN		CPI-SS09947DDD9	EGFR	0.004	0.0	0.362	0.249	0.016
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS015819E65	FGFR3	0.01	0.0	0.164	0.011	0.017
NPR1	P16066	False	ANPRA_HUMAN		CPI-SS032AD1183	NPR1	0.001	0.148	0.008	0.194	0.009
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0FC612D4D	NOTCH1	0.016	0.333	0.0	0.196	0.019
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0AFCA0602	NOTCH1	0.016	0.333	0.0	0.196	0.019
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.057	3.245	0.045	0.521	0.059
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.057	3.245	0.045	0.521	0.059
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.204	1.881	0.082	0.195	0.102
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.204	1.881	0.082	0.195	0.102
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0FEEB187C	PDGFRA	0.031	0.022	0.006	0.524	0.025
PDGFRB	P09619	False	PGFRB_HUMAN		CPI-SS05A26A1DE	PDGFRB	0.004	0.037	0.0	0.516	0.058
NPY5R	Q15761	False	NPY5R_HUMAN		CPI-SS0D9B4021E	NPY5R	0.011	0.0	0.0	0.002	0.008
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9EFC4F7	GNRHR	0.0	0.0	0.0	0.0	0.005
PTGDR	Q13258	False	PD2R_HUMAN		CPI-CS0F3C15BCC	PTGDR	0.0	0.0	0.0	0.004	0.0
PTGDR	Q13258	False	PD2R_HUMAN		CPI-CS0FADCFDB9	PTGDR	0.0	0.0	0.0	0.004	0.0
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0ACAB1835	LGR4	0.319	0.067	0.082	0.047	0.215
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.0	0.0	0.064	0.005
SCTR	P47872	False	SCTR_HUMAN		CPI-SS021F26C73	SCTR	0.0	0.0	0.0	0.0	0.005
