L1CAM_L1CAM,FB|FB
F2_F2RL2,EP|EC
F2_F2RL3,EP|EC
F2_THBD,EP|EC
APLN_APLNR,EC|FB
DHEAsulfate_bySULT1E1_PPARG,EP|EC
DHEAsulfate_bySULT1E1_PPARG,EP|EP
DHEAsulfate_bySULT1E1_PPARG,EP|FB
AREG_EGFR,CM|EP
AREG_EGFR,CM|FB
AREG_EGFR,EC|EP
AREG_EGFR,EC|FB
DLK1_NOTCH1,EC|EC
DLK1_NOTCH1,EC|FB
DLK1_NOTCH1,EP|EC
DLK1_NOTCH1,EP|FB
DLK1_NOTCH1,FB|EC
DLK1_NOTCH1,FB|FB
DLL4_NOTCH1,EC|EC
DLL4_NOTCH1,EC|FB
DLL4_NOTCH4,EC|EC
VEGFA_FLT1_complex,FB|FB
VEGFA_NRP1,FB|CM
VEGFA_NRP1,FB|FB
VEGFA_NRP2,FB|CM
VEGFA_NRP2,FB|FB
PDGFB_PDGFRB,EC|FB
atRetinoicAcid_byALDH1A1_RORB,EP|FB
TNFSF10_TNFRSF10D,EP|EC
TNFSF10_TNFRSF10D,EP|EP
TNFSF10_TNFRSF10D,EP|FB
VEGFA_KDR,FB|CM
VEGFA_KDR,FB|FB
WNT2B_FRZB,FB|CM
WNT2B_SFRP1,FB|CM
