CDH5_CDH5,EC|EC
CDH7_CDH7,PR|PR
GJA1_GJA1,EC|EC
GJA1_GJA1,EC|SM
GJA1_GJA1,SM|EC
THBS1_CD36,EC|SM
THBS1_CD36,SM|SM
BDNF_NTRK2,SM|SM
CXCL12_CXCR4,PR|EC
CXCL12_CXCR4,SM|EC
PGF_FLT1,EC|EC
PGF_FLT1,EC|PR
PGF_FLT1,EC|SM
PGF_FLT1,PR|EC
PGF_FLT1,SM|EC
PGF_FLT1_complex,EC|EC
PGF_FLT1_complex,PR|EC
PGF_FLT1_complex,SM|EC
PGF_NRP2,EC|EC
PGF_NRP2,EC|PR
PGF_NRP2,EC|SM
PDGFA_PDGFRA,EC|PR
PDGFA_PDGFRA,PR|PR
PDGFA_PDGFRA,SM|PR
WNT5A_FRZB,EC|PR
WNT5A_FRZB,PR|PR
WNT5A_SFRP1,EC|PR
WNT5A_SFRP1,PR|PR
ESAM_ESAM,EC|EC
ESAM_ESAM,EC|PR
ESAM_ESAM,EC|SM
ESAM_ESAM,PR|EC
ESAM_ESAM,SM|EC
