Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	muscle contraction (GO:0006936)	21/129	2.449810e-26	2.437561e-23	0	0	4.871449e+01	2.872752e+03	MYBPC3;TMOD1;MYOM1;SMPX;ACTN2;TNNC1;TPM1;SLC8A1;TRDN;TTN;MYL4;ACTA2;MYL7;ACTC1;TNNT2;MYL3;TNNI1;MYL9;CRYAB;MYH6;SNTA1
GO_Biological_Process_2021	heart contraction (GO:0060047)	14/41	7.456798e-23	3.709757e-20	0	0	1.198200e+02	6.104868e+03	MYBPC3;RYR2;TNNC1;TPM1;ATP1B1;SLC8A1;TTN;TRDN;MYL4;ACTC1;TNNT2;MYL3;TNNI1;MYH6
GO_Biological_Process_2021	cardiac muscle contraction (GO:0060048)	12/34	6.173218e-20	2.047451e-17	0	0	1.232107e+02	5.449794e+03	MYBPC3;MYL4;RYR2;TNNC1;TNNT2;TPM1;MYL3;TNNI1;ATP1B1;SLC8A1;MYH6;TTN
GO_Biological_Process_2021	actin-myosin filament sliding (GO:0033275)	12/38	2.998924e-19	5.967859e-17	0	0	1.042343e+02	4.445681e+03	MYBPC3;TMOD1;MYL4;ACTC1;ACTN2;TNNC1;TNNT2;TPM1;MYL3;TNNI1;MYH6;TTN
GO_Biological_Process_2021	muscle filament sliding (GO:0030049)	12/38	2.998924e-19	5.967859e-17	0	0	1.042343e+02	4.445681e+03	MYBPC3;TMOD1;MYL4;ACTC1;ACTN2;TNNC1;TNNT2;TPM1;MYL3;TNNI1;MYH6;TTN
GO_Biological_Process_2021	striated muscle contraction (GO:0006941)	13/54	5.088311e-19	8.438116e-17	0	0	7.237651e+01	3.048656e+03	MYBPC3;RYR2;SMPX;TNNC1;TPM1;ATP1B1;SLC8A1;TTN;MYL4;TNNT2;MYL3;TNNI1;MYH6
GO_Biological_Process_2021	cardiac muscle tissue morphogenesis (GO:0055008)	11/32	3.274950e-18	4.655108e-16	0	0	1.169979e+02	4.710361e+03	MYBPC3;BMP2;ACTC1;TNNC1;TNNT2;TPM1;MYL3;PKP2;NKX2-5;MYH6;TTN
GO_Biological_Process_2021	ventricular cardiac muscle tissue morphogenesis (GO:0055010)	9/34	6.390400e-14	7.948059e-12	0	0	7.862637e+01	2.388779e+03	MYBPC3;RYR2;TNNC1;TNNT2;TPM1;MYL3;PKP2;NKX2-5;MYH6
GO_Biological_Process_2021	cardiac muscle cell development (GO:0055013)	8/24	2.020757e-13	2.234059e-11	0	0	1.080652e+02	3.158761e+03	ACTC1;SORBS2;ALPK2;NKX2-5;PDLIM5;SLC8A1;MYH6;TTN
GO_Biological_Process_2021	regulation of muscle contraction (GO:0006937)	8/28	8.401197e-13	8.359191e-11	0	0	8.643478e+01	2.403339e+03	MYBPC3;CNN1;TNNC1;TPM1;MYL3;TNNI1;ENO1;MYL9
GO_Biological_Process_2021	regulation of heart contraction (GO:0008016)	11/93	1.205972e-12	1.090856e-10	0	0	2.987092e+01	8.197697e+02	RYR2;PLN;TNNT2;HSPB7;TPM1;ATP1A1;ATP1B1;NKX2-5;SLC8A1;MYH6;TRDN
GO_Biological_Process_2021	canonical glycolysis (GO:0061621)	7/24	2.036929e-11	1.447674e-09	0	0	8.803352e+01	2.167121e+03	TPI1;PKM;PGK1;ENO1;ENO3;GAPDH;PFKP
GO_Biological_Process_2021	cardiac muscle cell differentiation (GO:0055007)	7/24	2.036929e-11	1.447674e-09	0	0	8.803352e+01	2.167121e+03	MYOCD;BMP2;ALPK2;NKX2-5;SLC8A1;MYH6;TTN
GO_Biological_Process_2021	glucose catabolic process to pyruvate (GO:0061718)	7/24	2.036929e-11	1.447674e-09	0	0	8.803352e+01	2.167121e+03	TPI1;PKM;PGK1;ENO1;ENO3;GAPDH;PFKP
GO_Biological_Process_2021	glycolytic process through glucose-6-phosphate (GO:0061620)	7/25	2.817578e-11	1.752181e-09	0	0	8.313859e+01	2.019649e+03	TPI1;PKM;PGK1;ENO1;ENO3;GAPDH;PFKP
GO_Biological_Process_2021	ventricular cardiac muscle tissue development (GO:0003229)	7/25	2.817578e-11	1.752181e-09	0	0	8.313859e+01	2.019649e+03	MYBPC3;TNNC1;TNNT2;TPM1;MYL3;PKP2;MYH6
GO_Biological_Process_2021	glycolytic process (GO:0006096)	7/29	9.000626e-11	5.268014e-09	0	0	6.800880e+01	1.573121e+03	LDHA;TPI1;PKM;PGK1;ENO1;ENO3;GAPDH
GO_Biological_Process_2021	carbohydrate catabolic process (GO:0016052)	7/41	1.234655e-09	6.824898e-08	0	0	4.397913e+01	9.021207e+02	LDHA;TPI1;PKM;PGK1;ENO1;ENO3;GAPDH
GO_Biological_Process_2021	positive regulation of ATPase activity (GO:0032781)	7/42	1.475565e-09	7.727301e-08	0	0	4.272043e+01	8.686868e+02	MYBPC3;MYL4;RYR2;TNNT2;TPM1;MYL3;ATP1B1
GO_Biological_Process_2021	myofibril assembly (GO:0030239)	7/43	1.755318e-09	8.732707e-08	0	0	4.153166e+01	8.373039e+02	TMOD1;ACTC1;ACTN2;TNNT2;TPM1;MYH6;TTN
GO_Biological_Process_2021	cardiac ventricle morphogenesis (GO:0003208)	7/44	2.078922e-09	9.850132e-08	0	0	4.040715e+01	8.077961e+02	MYBPC3;TNNC1;TNNT2;TPM1;MYL3;PKP2;MYH6
GO_Biological_Process_2021	cardiac cell development (GO:0055006)	5/13	3.521204e-09	1.592545e-07	0	0	1.308684e+02	2.547284e+03	ALPK2;NKX2-5;SLC8A1;MYH6;TTN
GO_Biological_Process_2021	heart morphogenesis (GO:0003007)	7/53	8.061464e-09	3.487459e-07	0	0	3.248668e+01	6.054272e+02	MYBPC3;RYR2;BMP2;ACTC1;ALPK2;NKX2-5;TTN
GO_Biological_Process_2021	pyruvate metabolic process (GO:0006090)	7/55	1.052675e-08	4.364215e-07	0	0	3.112993e+01	5.718364e+02	LDHA;TPI1;PKM;PGK1;ENO1;ENO3;GAPDH
GO_Biological_Process_2021	muscle cell development (GO:0055001)	6/33	1.332761e-08	5.304387e-07	0	0	4.698109e+01	8.519282e+02	NEBL;ALPK2;NKX2-5;SLC8A1;MYH6;TTN
GO_Biological_Process_2021	cell communication by electrical coupling involved in cardiac conduction (GO:0086064)	5/17	1.666433e-08	6.377311e-07	0	0	8.722807e+01	1.562254e+03	RYR2;PKP2;ATP1A1;ATP1B1;SLC8A1
GO_Biological_Process_2021	gluconeogenesis (GO:0006094)	6/41	5.238947e-08	1.930649e-06	0	0	3.622796e+01	6.073459e+02	TPI1;MDH1;PGK1;ENO1;ENO3;GAPDH
GO_Biological_Process_2021	hexose biosynthetic process (GO:0019319)	6/44	8.125996e-08	2.887631e-06	0	0	3.336282e+01	5.446685e+02	TPI1;MDH1;PGK1;ENO1;ENO3;GAPDH
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	7/76	1.041138e-07	3.572180e-06	0	0	2.163269e+01	3.478057e+02	TMOD1;ACTC1;ACTN2;TNNT2;TPM1;MYH6;TTN
GO_Biological_Process_2021	heart development (GO:0007507)	9/164	1.351751e-07	4.483307e-06	0	0	1.259872e+01	1.992702e+02	MYBPC3;MYOCD;BMP2;PKP2;LDB3;ALPK2;NKX2-5;PDLIM5;MYH6
GO_Biological_Process_2021	sarcomere organization (GO:0045214)	5/28	2.533915e-07	8.133051e-06	0	0	4.548513e+01	6.908431e+02	ACTN2;TNNT2;TPM1;MYH6;TTN
GO_Biological_Process_2021	regulation of cardiac conduction (GO:1903779)	6/55	3.192474e-07	9.926597e-06	0	0	2.585888e+01	3.867790e+02	RYR2;ATP1A1;ATP1B1;NKX2-5;SLC8A1;TRDN
GO_Biological_Process_2021	regulation of striated muscle contraction (GO:0006942)	5/30	3.645208e-07	1.099085e-05	0	0	4.184211e+01	6.202959e+02	MYBPC3;RYR2;MYL3;TNNI1;NKX2-5
GO_Biological_Process_2021	relaxation of cardiac muscle (GO:0055119)	4/13	4.063219e-07	1.189089e-05	0	0	9.208796e+01	1.355178e+03	PLN;ATP1A1;ATP1B1;SLC8A1
GO_Biological_Process_2021	relaxation of muscle (GO:0090075)	4/14	5.666708e-07	1.610964e-05	0	0	8.287500e+01	1.192032e+03	PLN;ATP1A1;ATP1B1;SLC8A1
GO_Biological_Process_2021	glucose metabolic process (GO:0006006)	6/62	6.581655e-07	1.819096e-05	0	0	2.261854e+01	3.219480e+02	TPI1;MDH1;PGK1;ENO1;ENO3;GAPDH
GO_Biological_Process_2021	regulation of blood circulation (GO:1903522)	5/35	8.141182e-07	2.189318e-05	0	0	3.485965e+01	4.887727e+02	PLN;TNNT2;HSPB7;TPM1;MYH6
GO_Biological_Process_2021	regulation of cardiac muscle contraction (GO:0055117)	5/36	9.416942e-07	2.465752e-05	0	0	3.373345e+01	4.680713e+02	RYR2;PLN;NKX2-5;ATP1B1;SLC8A1
