gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
CPTP	0.06649147	0.08235906	0.10462253829321663	0.054399237	0.05919067928846354	-0.597442	12.606752	1
MMP23B	0.17791831	0.24636646	0.2679157549234136	0.12593219	0.12639134505357327	-0.9675991	44.55244	1
PANK4	0.041872784	0.024073096	0.03309628008752735	0.055405058	0.05835847290127952	1.1992171	26.510979	1
ACOT7	0.05343131	0.065374404	0.08821115973741794	0.044326544	0.050244460626235304	-0.5595091	9.428898	1
PER3	0.08022419	0.061335433	0.07768052516411379	0.09458093	0.09383127015499844	0.62400293	15.003358	1
C1orf167	0.01880014	0.025624467	0.034053610503282275	0.013610769	0.015915947154894413	-0.9078316	8.335076	1
NPPA	0.44927424	0.66347593	0.39606126914660833	0.28641596	0.192135649641111	-1.2116462	44.55244	1
NPPB	0.07011166	0.13110007	0.09545951859956237	0.023702776	0.01882866951003849	-2.4625666	44.55244	1
MIIP	0.04184102	0.050567705	0.06851750547045952	0.035194088	0.03921772599604702	-0.52163994	6.6046796	1
EFHD2	0.17470612	0.13834299	0.1660284463894967	0.20240971	0.19140746905232497	0.548699	25.637642	1
MFAP2	0.18055744	0.13172527	0.14948030634573303	0.21774188	0.2037865390616873	0.7246544	43.23022	1
GALE	0.09073217	0.10945118	0.13908643326039388	0.0764778	0.08634141267034225	-0.51660687	13.412262	1
SELENON	0.14595604	0.17847997	0.22278446389496717	0.12124672	0.12867991261832934	-0.55743515	25.741611	1
EXTL1	0.015471632	0.02047122	0.028172866520787748	0.011662222	0.01269114740455633	-0.8064668	5.850029	1
BX293535.1	0.012089729	0.007872788	0.010393873085339168	0.015294277	0.01664412774368043	0.9492379	5.6144547	1
LAPTM5	0.003971408	0.0010780814	0.0009573304157549234	0.006172338	0.008218038073442213	2.412564	8.104031	1
TMEM234	0.07677873	0.093596265	0.12349562363238512	0.06396808	0.07125767190263185	-0.54838574	13.000867	1
FNDC5	0.059936084	0.045413475	0.057439824945295405	0.07097242	0.07250598148340788	0.6429961	12.128221	1
GJA4	0.004249753	0.00023443688	0.00041028446389496716	0.0073039597	0.007905960678248206	4.468491	12.372501	1
CLSPN	0.056970082	0.07139804	0.07056892778993436	0.045972865	0.04462706751274316	-0.6339864	9.2713995	1
HEYL	0.0034950718	0.001454043	0.002461706783369803	0.005047737	0.007073754291064184	1.7279121	5.7360473	1
FOXO6	0.04119638	0.03305236	0.04061816192560175	0.047385518	0.0499323832310413	0.51837605	5.849652	1
TIE1	0.0036535633	0.0009004556	0.0012308533916849016	0.0057477895	0.007801934879850203	2.5472343	8.3577795	1
CDC20	0.05658096	0.069908515	0.06291028446389496	0.04642062	0.04057006137522105	-0.58966005	7.2883773	1
PIK3R3	0.12040999	0.15590282	0.19283369803063458	0.09339914	0.09882450847810256	-0.7385471	33.569355	1
TTC39A	0.06375106	0.080906264	0.10763129102844639	0.050679047	0.05659003432851347	-0.6738001	15.807147	1
RAB3B	0.31699562	0.38870323	0.32590262582056895	0.26252645	0.21991053781337772	-0.566028	41.08676	1
DHCR24	0.15227154	0.21608691	0.2599835886214442	0.10377868	0.11297201706023094	-1.0573796	44.55244	1
PLPP3	0.13690339	0.10658125	0.125	0.159981	0.154062207427442	0.5854954	22.090044	1
CYP2J2	0.019262219	0.028030965	0.03665207877461707	0.012592696	0.012899199001352335	-1.1481606	12.121492	1
ROR1	0.21076548	0.27370045	0.3115426695842451	0.16298735	0.16862581920316239	-0.7474798	44.55244	1
CACHD1	0.21545959	0.27188033	0.30443107221006566	0.1726364	0.17070633517112244	-0.65493006	44.55244	1
