gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	6.697792e-05	0.00012228871	0.00017503938386136881	-5.4351403e-09	0.0	-1.152513	0.49846977	0
FAM138A	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
OR4F5	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
AL627309.1	0.0017159892	0.0015473295	0.002100472606336426	0.0019202497	0.0021190930281839372	0.2944045	0.18062541	0
AL627309.3	0.00043171103	0.00078819686	0.0007001575354454753	-5.4351403e-09	0.0	-3.150958	0.9031322	0
AL627309.2	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
AL627309.5	0.0237412	0.027362738	0.03938386136880798	0.019349527	0.02225047679593134	-0.49774048	2.3642704	0
AL627309.4	0.0014096751	0.0015909228	0.0019254332224750569	0.0011901177	0.0010595465140919686	-0.39030814	0.22544688	0
AP006222.2	0.0006443103	0.0008823544	0.0014003150708909505	0.000355965	0.0004238186056367875	-1.1073205	0.6926535	0
AL732372.1	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
OR4F29	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
AC114498.1	6.233127e-05	0.00011380387	0.00017503938386136881	-5.4351403e-09	0.0	-1.0963664	0.4985133	0
OR4F16	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
AL669831.2	0.0015564882	0.0018694891	0.002100472606336426	0.0011778572	0.0012714558169103624	-0.62409484	0.4186768	0
LINC01409	0.07692273	0.09053531	0.12095221424820585	0.060423367	0.06547997457088366	-0.582581	8.5717745	1
FAM87B	0.0005075653	0.00072179164	0.0005251181515841065	0.00024809333	0.00021190930281839374	-1.2392985	0.43848744	0
LINC01128	0.15310982	0.16926663	0.22842639593908629	0.133532	0.142614960796779	-0.3418841	6.7872753	0
LINC00115	0.01265775	0.015586646	0.021529844214948364	0.009111629	0.00911210002119093	-0.76800877	2.6288428	0
FAM41C	0.008818195	0.008613397	0.01470330824435498	0.009066544	0.00974782792964611	0.073142454	0.096274815	0
AL645608.6	0.00018504946	0.00021606451	0.00035007876772273763	0.00014756512	0.00021190930281839374	-0.3524109	0.12657687	0
AL645608.2	0.006133494	0.006851283	0.008576929809207072	0.005265016	0.005933460478915025	-0.37369674	0.5299274	0
AL645608.4	0.0013004612	0.001903301	0.0019254332224750569	0.0005704831	0.0006357279084551812	-1.5791062	1.132158	0
LINC02593	0.049685948	0.050937835	0.07229126553474531	0.048179343	0.04831532104259377	-0.08016112	0.2906544	0
SAMD11	0.28182435	0.23844036	0.29319096796779276	0.33439055	0.3017588472133927	0.487732	22.46906	0
NOC2L	0.24238867	0.2518744	0.3243479782951164	0.23093791	0.24242424242424243	-0.1251474	1.9223105	0
KLHL17	0.013217403	0.014743776	0.02205496236653247	0.011368238	0.013350286077558804	-0.37221432	0.9948369	0
PLEKHN1	0.0014020165	0.0015537838	0.002100472606336426	0.0012182256	0.0012714558169103624	-0.32717338	0.19749767	0
PERM1	0.000800594	0.0014617812	0.0019254332224750569	-5.4351403e-09	0.0	-3.9651988	2.992279	0
AL645608.7	0.00090162136	0.00033609424	0.0005251181515841065	0.0015863008	0.00169527442254715	1.9511501	1.2599561	0
HES4	0.26812702	0.22783679	0.2832137230876947	0.31694442	0.29603729603729606	0.4760511	20.682192	0
ISG15	0.22867417	0.22890887	0.304218449151059	0.22841045	0.23331214240305148	-0.0031433091	0.021637622	0
AL645608.1	0.00011015805	-3.0704541e-09	0.0	0.00024356437	0.00021190930281839374	1.7806247	0.49851352	0
AGRN	0.08681005	0.089124724	0.12480308069315596	0.08398674	0.09090909090909091	-0.08556532	0.4748259	0
AL645608.5	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
AL645608.8	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
RNF223	3.9677667e-05	7.243813e-05	0.00017503938386136881	-5.4351403e-09	0.0	-0.78615725	0.49855855	0
C1orf159	0.017300563	0.01760666	0.025730789427621213	0.016924893	0.019707565162110616	-0.05664635	0.10844584	0
AL390719.3	0.0003664303	0.00056951394	0.000875196919306844	0.00012053259	0.00021190930281839374	-1.6021222	0.932087	0
LINC01342	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
AL390719.2	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
TTLL10-AS1	5.820766e-09	-3.0704541e-09	0.0	-5.4351403e-09	0.0	-3.413896e-05	44.55244	0
TTLL10	8.8340974e-05	-3.0704541e-09	0.0	0.00019528117	0.00021190930281839374	1.5621338	0.49845716	0
TNFRSF18	0.0006510878	0.0005851313	0.00035007876772273763	0.0007307059	0.0006357279084551812	0.27795732	0.0850872	0
TNFRSF4	0.00025191845	-3.0704541e-09	0.0	0.00055689976	0.0010595465140919686	2.7157176	1.5272682	0
