gene	mean	ReAgg-CM_mean	ReAgg-CM_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
AL592430.1	0.0016207692	0.0016590083	0.0020514223194748357	0.0015922836	0.0016644127743680433	-0.055790983	0.038649373	0
AL592430.2	0.00010989361	1.2296368e-09	0.0	0.00019351856	0.0003120773951940081	1.5534341	1.007481	0
ANK3-DT	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
CDK1	0.08646367	0.092471495	0.07809080962800875	0.08187903	0.06480807240195569	-0.17531313	1.3062922	0
RHOBTB1	0.055705115	0.061408523	0.08109956236323851	0.051346846	0.05638198273171747	-0.25770372	2.4624274	0
LINC00845	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
TMEM26	0.00324175	0.002252661	0.0030087527352297594	0.0039945142	0.005305315718298138	0.79939884	1.5816869	0
TMEM26-AS1	0.00026156008	1.2296368e-09	0.0	0.00046040135	0.0005201289919900135	2.4864428	1.5078033	0
AL356952.1	3.367989e-05	1.2296368e-09	0.0	5.9320948e-05	0.00010402579839800271	0.6719183	0.49857444	0
CABCOCO1	0.014632701	0.0129059935	0.01709518599562363	0.015941985	0.01664412774368043	0.30267602	1.0180285	0
AL451049.1	6.9560505e-05	1.2296368e-09	0.0	0.0001224759	0.00010402579839800271	1.1536313	0.4984179	0
LINC02625	9.95351e-09	1.2296368e-09	0.0	4.9112714e-09	0.0	5.314166e-05	44.55244	0
ARID5B	0.12312365	0.11780255	0.14428336980306344	0.12716526	0.1310725059814834	0.1102437	1.186402	0
RTKN2	0.030860465	0.032874245	0.04349015317286652	0.0293367	0.03318422968896286	-0.16372375	0.7515217	0
