gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
FAM138A	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
OR4F5	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AL627309.1	0.0022031427	0.0023424276	0.0027046707583480703	0.0019202497	0.0021190930281839372	-0.27378225	0.23022994	0
AL627309.3	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AL627309.2	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AL627309.5	0.020790335	0.021497648	0.02226152085717258	0.019349527	0.02225047679593134	-0.15113918	0.40306935	0
AL627309.4	0.00084923627	0.0006818336	0.0005201289919900135	0.0011901177	0.0010595465140919686	0.7225691	0.37878317	0
AP006222.2	0.0005047221	0.0005776681	0.0006241547903880162	0.000355965	0.0004238186056367875	-0.5716558	0.27241364	0
AL732372.1	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
OR4F29	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AC114498.1	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
OR4F16	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AL669831.2	0.0011144208	0.0010834272	0.0011442837823780298	0.0011778572	0.0012714558169103624	0.11075553	0.058496527	0
LINC01409	0.0667416	0.06983366	0.07219390408821388	0.060423367	0.06547997457088366	-0.20849478	1.4779272	0
FAM87B	0.00024739135	0.00024700348	0.0003120773951940081	0.00024809333	0.00021190930281839374	0.004524126	0.0013174434	0
LINC01128	0.14273296	0.14724095	0.1466763757411838	0.133532	0.142614960796779	-0.14089294	1.4926642	0
LINC00115	0.013122207	0.015087476	0.015187766566108395	0.009111629	0.00911210002119093	-0.7213539	2.6132286	0
FAM41C	0.008274299	0.007885589	0.008530115468636221	0.009066544	0.00974782792964611	0.19897896	0.299335	0
AL645608.6	0.00049769523	0.0006695116	0.0007281805887860189	0.00014756512	0.00021190930281839374	-1.636135	1.0767627	0
AL645608.2	0.005203949	0.0051742196	0.005097264121502133	0.005265016	0.005933460478915025	0.02462483	0.024732746	0
AL645608.4	0.0007798239	0.0008825113	0.0009362321855820243	0.0005704831	0.0006357279084551812	-0.55127305	0.29330823	0
LINC02593	0.04027388	0.0363943	0.03765733902007698	0.048179343	0.04831532104259377	0.40373477	2.6048462	0
SAMD11	0.23476176	0.18588607	0.1812129408093207	0.33439055	0.3017588472133927	0.84677076	44.55244	1
NOC2L	0.21624328	0.20906918	0.21034016436076147	0.23093791	0.24242424242424243	0.14345935	2.3303466	0
KLHL17	0.013444943	0.014460845	0.014979714969312389	0.011368238	0.013350286077558804	-0.34445027	0.9142368	0
PLEKHN1	0.0013748341	0.0014521426	0.0014563611775720378	0.0012182256	0.0012714558169103624	-0.23566383	0.14381085	0
PERM1	0.00077298	0.0011523674	0.0013523353791740351	-5.4351403e-09	0.0	-3.6466644	3.2656505	0
AL645608.7	0.00095736905	0.00064857694	0.0008322063871840217	0.0015863008	0.00169527442254715	1.1716393	0.79557157	0
HES4	0.25281224	0.22136968	0.21439717049828358	0.31694442	0.29603729603729606	0.5175757	25.38485	1
ISG15	0.20938827	0.20008782	0.20181004889212525	0.22841045	0.23331214240305148	0.190906	3.5607045	0
AL645608.1	8.0182894e-05	4.9112714e-09	0.0	0.00024356437	0.00021190930281839374	1.7805096	0.4984917	0
AGRN	0.079875246	0.077846475	0.08394881930718819	0.08398674	0.09090909090909091	0.109394535	0.66842604	0
AL645608.5	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AL645608.8	7.386103e-05	0.00011016962	0.00010402579839800271	-5.4351403e-09	0.0	-1.0716325	0.49853915	0
RNF223	0.00021206419	0.00031609938	0.00010402579839800271	-5.4351403e-09	0.0	-2.0570066	0.4984634	0
C1orf159	0.015766919	0.015194848	0.016228024550088423	0.016924893	0.019707565162110616	0.15459996	0.35353687	0
AL390719.3	3.9692146e-05	4.9112714e-09	0.0	0.00012053259	0.00021190930281839374	1.140921	0.49851614	0
LINC01342	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AL390719.2	7.869563e-05	0.0001173775	0.00010402579839800271	-5.4351403e-09	0.0	-1.120281	0.49848697	0
TTLL10-AS1	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
TTLL10	6.429367e-05	4.9112714e-09	0.0	0.00019528117	0.00021190930281839374	1.5620185	0.49843004	0
TNFRSF18	0.00071662484	0.0007095986	0.0008322063871840217	0.0007307059	0.0006357279084551812	0.037130997	0.014794399	0
TNFRSF4	0.0004826527	0.0004461314	0.0007281805887860189	0.00055689976	0.0010595465140919686	0.2664251	0.14026393	0
SDF4	0.43736294	0.42740682	0.38978466659731614	0.45770648	0.4293282475100657	0.098790474	2.5203724	0
B3GALT6	0.1475183	0.14395073	0.15302194944346198	0.15478185	0.16656071201525746	0.10459108	1.0196348	0
C1QTNF12	0.004807323	0.0051723523	0.006241547903880163	0.004064399	0.004662004662004662	-0.3403385	0.46142137	0
AL162741.1	0.0006117944	0.00048150524	0.0005201289919900135	0.00087703246	0.000847637211273575	0.7486143	0.33173215	0
UBE2J2	0.26060328	0.25281063	0.25195048371996254	0.27655846	0.2805679169315533	0.12947845	2.3355613	0
LINC01786	0.0012403894	0.0013465453	0.0013523353791740351	0.0010246036	0.0012714558169103624	-0.36319497	0.23620246	0
SCNN1D	0.0045347693	0.004906552	0.005305315718298138	0.0037781005	0.004026276753549481	-0.36846712	0.48086306	0
ACAP3	0.05821121	0.058310203	0.06439196920836368	0.05799122	0.0644204280567917	-0.007900203	0.026925547	0
PUSL1	0.07214714	0.06521347	0.07229792988661188	0.086250775	0.09747827929646112	0.4028285	4.9965763	0
INTS11	0.12579954	0.12453123	0.1273275772391553	0.12836516	0.13795295613477432	0.04371153	0.27353355	0
AL139287.1	0.00010344515	0.000115742725	0.00010402579839800271	7.850586e-05	0.00021190930281839374	-0.2733405	0.1023515	0
CPTP	0.059311356	0.054399237	0.05919067928846354	0.0692977	0.07671116762025854	0.34865186	3.1714823	0
TAS1R3	0.0011187149	0.0010851591	0.0011442837823780298	0.0011874858	0.0010595465140919686	0.11947564	0.055646777	0
DVL1	0.052730363	0.05358365	0.05804639550608551	0.05097362	0.05763933036660309	-0.07190448	0.29494026	0
MXRA8	0.03402258	0.036533996	0.04036200977842505	0.028914738	0.031150667514303877	-0.33639726	1.8134443	0
AURKAIP1	0.9651631	0.9351607	0.6796005409341517	1.0262903	0.7488874761602035	0.13413894	12.554508	0
CCNL2	0.21325211	0.20693894	0.20555497763445335	0.22619352	0.23013350286077558	0.12829316	1.8127165	0
MRPL20-AS1	0.08308695	0.0818146	0.0884219286383023	0.08565736	0.09218054672600128	0.066139795	0.35527474	0
MRPL20	1.0312479	1.0095971	0.7164256735670447	1.0753623	0.7705022250476796	0.091034524	6.7873597	0
AL391244.2	0.004431832	0.005134313	0.005201289919900136	0.0030016683	0.003814367450731087	-0.7549557	1.2952269	0
ANKRD65	0.0014130126	0.0013560194	0.0014563611775720378	0.0015299122	0.0014833651197287562	0.16276471	0.09570907	0
AL391244.1	0.00010039884	0.00014973475	0.00010402579839800271	-5.4351403e-09	0.0	-1.3204751	0.49838236	0
TMEM88B	6.228778e-05	9.289703e-05	0.00010402579839800271	-5.4351403e-09	0.0	-0.9479095	0.4986463	0
LINC01770	0.0076038023	0.00741012	0.008634141267034224	0.007998727	0.008476372112735749	0.10885925	0.15151525	0
VWA1	0.07964551	0.07568094	0.08030791636325808	0.087700605	0.09324009324009325	0.21239589	1.7819903	0
ATAD3C	0.0030456276	0.0034307814	0.0038489545407261	0.002261924	0.002331002331002331	-0.5800249	0.7041785	0
ATAD3B	0.028080326	0.029470311	0.030895662124206802	0.025256312	0.02903157448611994	-0.22180454	0.8430962	0
ATAD3A	0.078412026	0.07387525	0.08020389056486009	0.08763292	0.09853782581055308	0.24607557	2.3131778	0
TMEM240	0.091680706	0.091108546	0.0961198377197545	0.09282468	0.09896164441618988	0.026892839	0.12883057	0
SSU72	0.70568377	0.7066331	0.5691251430354728	0.7037789	0.5977961432506887	-0.0058381385	0.09316151	0
AL645728.1	0.013102447	0.015515867	0.015707895558098407	0.008178815	0.00974782792964611	-0.91551644	4.091472	0
FNDC10	0.12981327	0.13618231	0.13648184749817954	0.11681889	0.12354312354312354	-0.22109021	2.8739655	0
AL691432.4	0.015147941	0.014402275	0.015603869759700406	0.016659675	0.018012290739563466	0.20871496	0.5162809	0
AL691432.2	0.09258628	0.08945904	0.09455945074378445	0.09893484	0.10425937698664971	0.14509705	1.118874	0
MIB2	0.1693097	0.1600732	0.16384063247685426	0.18815884	0.19432083068446704	0.23308481	4.1197796	0
MMP23B	0.18528326	0.12593219	0.12639134505357327	0.30621627	0.28417037507946596	1.2812296	44.55244	1
CDK11B	0.15533619	0.14009157	0.1465723499427858	0.18640116	0.1930493748675567	0.41178498	10.481434	0
FO704657.1	0.0024724312	0.0024867381	0.002600644959950068	0.0024441287	0.003178639542275906	-0.02396238	0.017407855	0
SLC35E2B	0.07041358	0.0762116	0.07718714241131801	0.058584087	0.0644204280567917	-0.3789331	3.9976883	0
CDK11A	0.08797539	0.074904226	0.07801934879850203	0.1145811	0.12396694214876033	0.6125838	12.016205	1
SLC35E2A	0.039369695	0.03990037	0.041714345157599086	0.038287695	0.04216995126086035	-0.059369348	0.18980077	0
NADK	0.071316816	0.07135617	0.07812337459690002	0.07121692	0.080737444373808	-0.0028142296	0.0107164	0
GNB1	0.62118536	0.6114057	0.5125351087069593	0.64114344	0.5499046408137317	0.06850622	2.0347443	0
AL109917.1	0.0071957163	0.0069585424	0.007593883283054197	0.007679155	0.007840644204280567	0.14024313	0.19472648	0
CALML6	0.00037821193	0.00019718477	0.00020805159679600541	0.0007469784	0.0004238186056367875	1.510965	0.4382369	0
TMEM52	0.008412558	0.009655752	0.010194528243004266	0.005880647	0.0067810976901886	-0.7059516	1.8842705	0
CFAP74	0.0019031226	0.0019441972	0.002184541766358057	0.0018203508	0.0021190930281839372	-0.09016459	0.060584478	0
AL391845.2	9.6183074e-05	0.00014344949	0.00020805159679600541	-5.4351403e-09	0.0	-1.2837011	0.802554	0
GABRD	0.001163715	0.0012516603	0.0013523353791740351	0.0009848309	0.0006357279084551812	-0.3172624	0.1365221	0
AL391845.1	0.00076191797	0.00083092187	0.0008322063871840217	0.00062117423	0.0006357279084551812	-0.36831224	0.1840786	0
PRKCZ	0.090726756	0.0840005	0.0884219286383023	0.1044065	0.1114642932824751	0.31340635	3.829058	0
AL590822.2	0.0025993811	0.0022371046	0.002080515967960054	0.0033382338	0.004026276753549481	0.5569453	0.6007291	0
PRKCZ-AS1	0.0029980543	0.0024565146	0.002496619161552065	0.0041018566	0.004450095359186269	0.71684855	0.90802073	0
FAAP20	0.68824416	0.66397166	0.5464475189847082	0.7377151	0.6124178851451578	0.15192035	9.399694	0
AL590822.1	0.00024494922	0.00036512758	0.00041610319359201083	-5.4351403e-09	0.0	-2.217705	1.3160944	0
SKI	0.120970465	0.120247625	0.12711952564235932	0.12242327	0.13456240728968002	0.025848053	0.14738013	0
AL590822.3	0.009630008	0.010106547	0.011442837823780298	0.008656277	0.008688281415554142	-0.22110534	0.39014804	0
MORN1	0.0161093	0.015415271	0.016332050348486424	0.017515773	0.01991947446492901	0.18317892	0.44334003	0
AL589739.1	8.540869e-05	0.00012738601	0.00010402579839800271	-5.4351403e-09	0.0	-1.1852219	0.49842852	0
AL513477.2	0.006913421	0.0070096133	0.0073858316862581925	0.006718068	0.008264462809917356	-0.06040814	0.07695496	0
RER1	0.3542826	0.3614353	0.3408925413502549	0.33978808	0.33587624496715407	-0.08907671	1.7150308	0
PEX10	0.07132869	0.0701066	0.07417039425777593	0.073797494	0.08370417461326553	0.073918775	0.37093326	0
PLCH2	5.534538e-05	4.9112714e-09	0.0	0.00016812905	0.00021190930281839374	1.4228567	0.49850366	0
AL139246.1	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
AL139246.4	8.752977e-09	4.9112714e-09	0.0	-5.4351403e-09	0.0	-0.00014928867	44.55244	0
PANK4	0.043564264	0.055405058	0.05835847290127952	0.019421447	0.023098114007204917	-1.5075593	30.672384	1
HES5	0.000702754	0.0005868524	0.0007281805887860189	0.0009386803	0.0010595465140919686	0.59667975	0.32810655	0
AL139246.5	0.0053936695	0.006425911	0.007177780089462187	0.0032917848	0.003602458147912693	-0.9441346	2.1106315	0
TNFRSF14-AS1	3.9186627e-05	4.9112714e-09	0.0	0.000118998585	0.00021190930281839374	1.1308507	0.49853483	0
TNFRSF14	0.00029441487	8.220068e-05	0.00010402579839800271	0.0007267494	0.0004238186056367875	2.181922	0.5154711	0
AL139246.3	8.292708e-05	6.537623e-05	0.00010402579839800271	0.00011871129	0.00021190930281839374	0.4032758	0.1587091	0
PRXL2B	0.06023878	0.05820795	0.06376781441797566	0.06435644	0.07141343504979869	0.1446318	0.8063296	0
