gene	mean	HO_mean	HO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
GPR153	0.036227923	0.044513773	0.06476457202870646	0.031308316	0.0345365650681369	-0.50634253	5.024251	1
LAPTM5	0.0045288047	0.0017635998	0.0022755119901977944	0.006172338	0.008218038073442213	1.7509112	5.201767	1
GJA4	0.004621482	0.00010781598	0.00017503938386136881	0.0073039597	0.007905960678248206	5.1549187	12.885969	1
TIE1	0.004039117	0.0011642003	0.001750393838613688	0.0057477895	0.007801934879850203	2.2096663	6.4319053	1
FPGT	0.049878526	0.063985094	0.0925958340626641	0.041485474	0.04545927389992718	-0.6239092	9.373114	1
ADGRL4	0.014841334	0.0034931854	0.004901102748118327	0.021585044	0.016748153542078436	2.593365	18.006649	1
HIST2H2AA4	0.01368114	0.019818304	0.02958165587257133	0.01002715	0.010818683033392281	-0.97586656	6.4870553	1
HIST2H2AC	0.11114947	0.13954325	0.19096796779275338	0.094262525	0.09695204410693851	-0.5654599	17.482859	1
AQP10	0.023766976	0.030990064	0.04708559425870821	0.019476907	0.02226152085717258	-0.6673007	5.68781	1
TAGLN2	0.027031029	0.018574392	0.022930159285839313	0.032057963	0.03224799750338084	0.7841148	5.9567285	1
LRRC52-AS1	0.056998424	0.07130357	0.09574654297216874	0.04848019	0.05409341516696141	-0.55562806	8.500466	1
GPR161	0.06117154	0.07514599	0.1065989847715736	0.052847534	0.057630292312493496	-0.50705117	7.9642076	1
DNM3OS	0.007911995	0.0038001677	0.004200945212672852	0.010355759	0.012587121606158328	1.4226898	5.4708085	1
ADORA1	0.022267776	0.029473202	0.04463504288464905	0.017986795	0.019868927494018515	-0.7093537	5.7599974	1
REN	0.0024356674	5.222689e-05	0.00017503938386136881	0.0038521646	0.0032247997503380837	4.698348	5.553114	1
CD34	0.0049233814	0.00042549585	0.0007001575354454753	0.0075965165	0.008218038073442213	3.8724544	11.942933	1
C1orf143	0.032550406	0.044486668	0.06774024155434973	0.025467409	0.030271507333818788	-0.80230653	11.084767	1
HLX	0.007885033	0.0031321927	0.0029756695256432696	0.010709781	0.012066992614168314	1.7417523	6.868762	1
OPN3	0.046294294	0.057763472	0.0824435497987047	0.039469454	0.04275460314157911	-0.5482657	7.163503	1
LRATD1	0.022570435	0.029810619	0.04130929459128304	0.018269612	0.019556850098824508	-0.70333666	5.303304	1
WDR35	0.038377777	0.04711855	0.06861543847365657	0.033185817	0.03588890044731093	-0.5044461	5.1194553	1
ALK	0.042176504	0.05316116	0.0735165412217749	0.035643917	0.03807344221366899	-0.57538605	6.753884	1
EPAS1	0.0111201415	0.004771659	0.006476457202870646	0.014891658	0.01810048892125247	1.6216749	10.265035	1
MALL	0.003959162	0.0012380864	0.0012252756870295817	0.005576467	0.007073754291064184	2.084822	5.168956	1
INHBB	0.0033990594	-3.0704541e-09	0.0	0.005419122	0.005513367315094143	5.7864113	9.372011	1
HOXD9	0.001213195	-3.0704541e-09	0.0	0.0019342046	0.0027046707583480703	4.346437	5.4845824	1
ITGA4	0.008505082	0.0028480575	0.00437598459653422	0.011866621	0.013939456985332362	2.0211792	10.487285	1
DUSP19	0.03624849	0.04561361	0.06809032032207246	0.030688116	0.033704358680952874	-0.57025015	6.285942	1
C2orf88	0.06417872	0.079534814	0.09924733064939611	0.055033837	0.055237698949339435	-0.53046125	7.629513	1
ACKR3	0.004610158	0.0011907986	0.0015753544547523193	0.006642413	0.00728180588786019	2.3850012	7.3140483	1
COL6A3	0.03501658	0.018713716	0.015578505163661823	0.044705313	0.03786539061687298	1.2518849	12.416676	1
ERC2	0.12992156	0.16450593	0.2075967092595834	0.109356724	0.1115156558826589	-0.58865565	20.26145	1
LMOD3	0.03648821	0.047147866	0.06423945387712235	0.030158704	0.032039945906584835	-0.6428991	7.1497426	1
MTRNR2L12	0.7069541	0.8785754	0.7391913180465605	0.6049807	0.4973473421408509	-0.53820276	44.25141	1
ZPLD1	0.012730269	0.017971883	0.02783126203395764	0.009610319	0.011442837823780298	-0.89615625	5.561028	1
TM4SF18	0.01457023	0.0028621838	0.002625590757920532	0.021527745	0.01612399875169042	2.86815	17.750555	1
TM4SF1	0.031632565	0.019642651	0.018554174689305095	0.03875972	0.029023197753042754	0.9769598	7.3538775	1
LINC00880	0.019886915	0.027215688	0.03973394013653072	0.015529746	0.018724643711640485	-0.80543536	6.494489	1
C3orf70	0.013883813	0.019422043	0.02783126203395764	0.010586791	0.012066992614168314	-0.86927533	5.0294223	1
LIPH	0.07010172	0.089186266	0.12305268685454228	0.058738023	0.06407989181316967	-0.60168946	12.415028	1
SPON2	0.005594376	0.0015618923	0.001750393838613688	0.007991009	0.008426089670238219	2.2834928	7.107506	1
RASL11B	0.013676748	0.020201113	0.02625590757920532	0.00979266	0.009466347654218246	-1.0371283	5.677215	1
PDGFRA	0.04850232	0.03800626	0.04971118501662874	0.054731634	0.05804639550608551	0.5249804	5.801351	1
