gene	mean	HO_mean	HO_positive_frac	Fus-HO_mean	Fus-HO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	4.557739e-05	0.00012228871	0.00017503938386136881	4.9112714e-09	0.0	-1.1523638	0.49841374	0
FAM138A	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
OR4F5	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
AL627309.1	0.0020458074	0.0015473295	0.002100472606336426	0.0023424276	0.0027046707583480703	0.5681868	0.5403935	0
AL627309.3	0.00029389758	0.00078819686	0.0007001575354454753	4.9112714e-09	0.0	-3.1508086	0.90311503	0
AL627309.2	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
AL627309.5	0.023681954	0.027362738	0.03938386136880798	0.021497648	0.02226152085717258	-0.3466012	1.6811141	0
AL627309.4	0.0010205937	0.0015909228	0.0019254332224750569	0.0006818336	0.0005201289919900135	-1.1128772	0.8357518	0
AP006222.2	0.00069132063	0.0008823544	0.0014003150708909505	0.0005776681	0.0006241547903880162	-0.53566474	0.35158926	0
AL732372.1	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
OR4F29	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
AC114498.1	4.2418316e-05	0.00011380387	0.00017503938386136881	4.9112714e-09	0.0	-1.0962172	0.49845314	0
OR4F16	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
AL669831.2	0.0013759896	0.0018694891	0.002100472606336426	0.0010834272	0.0011442837823780298	-0.7348504	0.57874286	0
LINC01409	0.07756136	0.09053531	0.12095221424820585	0.06983366	0.07219390408821388	-0.37408632	5.2221174	0
FAM87B	0.00042407727	0.00072179164	0.0005251181515841065	0.00024700348	0.0003120773951940081	-1.2438225	0.4890842	0
LINC01128	0.15544157	0.16926663	0.22842639593908629	0.14724095	0.1466763757411838	-0.20099118	3.6345181	0
LINC00115	0.015276835	0.015586646	0.021529844214948364	0.015087476	0.015187766566108395	-0.046654843	0.09345468	0
FAM41C	0.008156751	0.008613397	0.01470330824435498	0.007885589	0.008530115468636221	-0.1258365	0.22585939	0
AL645608.6	0.00050051906	0.00021606451	0.00035007876772273763	0.0006695116	0.0007281805887860189	1.2837241	0.86501056	0
AL645608.2	0.005799151	0.006851283	0.008576929809207072	0.0051742196	0.005097264121502133	-0.39832157	0.66376704	0
AL645608.4	0.001262822	0.001903301	0.0019254332224750569	0.0008825113	0.0009362321855820243	-1.0278332	0.76822674	0
LINC02593	0.041818153	0.050937835	0.07229126553474531	0.0363943	0.03765733902007698	-0.48389593	5.094075	0
SAMD11	0.20544086	0.23844036	0.29319096796779276	0.18588607	0.1812129408093207	-0.3590389	13.455042	0
NOC2L	0.22498493	0.2518744	0.3243479782951164	0.20906918	0.21034016436076147	-0.2686067	8.99158	0
KLHL17	0.014568907	0.014743776	0.02205496236653247	0.014460845	0.014979714969312389	-0.027764099	0.054281093	0
PLEKHN1	0.0014897768	0.0015537838	0.002100472606336426	0.0014521426	0.0014563611775720378	-0.09150952	0.057856325	0
PERM1	0.0012674982	0.0014617812	0.0019254332224750569	0.0011523674	0.0013523353791740351	-0.31853443	0.23837763	0
AL645608.7	0.0005321117	0.00033609424	0.0005251181515841065	0.00064857694	0.0008322063871840217	0.7795107	0.49471778	0
HES4	0.22374682	0.22783679	0.2832137230876947	0.22136968	0.21439717049828358	-0.041524544	0.44380918	0
ISG15	0.21079707	0.22890887	0.304218449151059	0.20008782	0.20181004889212525	-0.19404933	4.8042383	0
AL645608.1	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
AGRN	0.0820602	0.089124724	0.12480308069315596	0.077846475	0.08394881930718819	-0.19495976	1.9462724	0
AL645608.5	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
AL645608.8	6.9086316e-05	-3.0704541e-09	0.0	0.00011016962	0.00010402579839800271	1.0715984	0.49852493	0
RNF223	0.00022530562	7.243813e-05	0.00017503938386136881	0.00031609938	0.00010402579839800271	1.2708493	0.34441084	0
C1orf159	0.016096829	0.01760666	0.025730789427621213	0.015194848	0.016228024550088423	-0.21124643	0.62480426	0
AL390719.3	0.00021235293	0.00056951394	0.000875196919306844	4.9112714e-09	0.0	-2.7430434	1.5469737	0
LINC01342	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
AL390719.2	7.361381e-05	-3.0704541e-09	0.0	0.0001173775	0.00010402579839800271	1.1202469	0.49847364	0
TTLL10-AS1	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
TTLL10	9.262294e-09	-3.0704541e-09	0.0	4.9112714e-09	0.0	0.000115223775	44.25141	0
TNFRSF18	0.0006632516	0.0005851313	0.00035007876772273763	0.0007095986	0.0008322063871840217	0.24082626	0.084711425	0
TNFRSF4	0.0002798078	-3.0704541e-09	0.0	0.0004461314	0.0007281805887860189	2.4492924	1.8600234	0
