id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EC|EC	EC|PR	EC|SM	EC|UN	PR|EC	PR|PR	PR|SM	PR|UN	SM|EC	SM|PR	SM|SM	SM|UN	UN|EC	UN|PR	UN|SM	UN|UN
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.281	0.454	0.596	0.246	0.15	0.322	0.464	0.114	0.772	0.945	1.087	0.737	0.171	0.344	0.486	0.136
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.0	0.0	0.023	0.079	0.037	0.0	0.037	0.094	0.052	0.0	0.0	0.0	0.0	0.0
CPI-SS069924427	AGT_AGTR2	simple:P01019	simple:P50052	AGT	AGTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.016	0.017	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.031	0.064	0.141	0.0	0.078	0.11	0.187	0.0	0.153	0.185	0.262	0.0	0.148	0.181	0.258	0.0
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.055	0.206	0.026	0.084	0.067	0.217	0.037	0.096	0.061	0.211	0.031	0.09	0.0	0.0	0.0	0.0
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.054	0.205	0.025	0.083	0.054	0.204	0.025	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.054	0.204	0.024	0.083	0.056	0.207	0.027	0.085	0.056	0.206	0.027	0.085	0.0	0.0	0.0	0.0
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.057	0.207	0.028	0.086	0.064	0.214	0.035	0.093	0.058	0.209	0.029	0.088	0.0	0.0	0.0	0.0
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.001	0.004	0.0	0.002	0.003	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.001	0.002	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.002	0.004	0.0	0.001	0.002	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.004	0.004	0.0	0.0	0.001	0.001	0.0	0.0	0.003	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.0	0.0	0.088	0.088	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.731	0.065	0.045	0.082	0.814	0.149	0.128	0.166	0.769	0.103	0.083	0.12	0.777	0.111	0.091	0.128
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.706	0.04	0.02	0.058	0.708	0.042	0.022	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.011	0.043	0.01	0.058	0.022	0.055	0.022	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.067	0.166	0.127	0.206	0.101	0.2	0.161	0.24	0.154	0.254	0.215	0.294	0.0	0.0	0.0	0.0
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.156	0.478	0.464	0.183	0.117	0.439	0.425	0.144	0.196	0.519	0.504	0.223	0.0	0.0	0.0	0.0
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.115	0.438	0.424	0.143	0.119	0.441	0.427	0.146	0.117	0.44	0.426	0.145	0.0	0.0	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.081	0.129	0.069	0.0	0.093	0.141	0.081	0.0	0.055	0.103	0.043	0.0	0.0	0.0	0.0	0.0
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.434	0.482	0.422	0.0	0.348	0.396	0.335	0.0	0.182	0.23	0.17	0.0	0.338	0.386	0.326	0.0
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.052	0.053	0.053	0.128	0.064	0.065	0.065	0.14	0.026	0.027	0.027	0.102	0.0	0.0	0.0	0.0
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.414	0.447	0.432	0.0	0.328	0.361	0.345	0.0	0.163	0.195	0.18	0.0	0.318	0.351	0.335	0.0
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.059	0.166	0.077	0.0	0.039	0.146	0.058	0.0	0.043	0.15	0.062	0.0	0.0	0.0	0.0	0.0
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.382	0.247	0.211	0.08	0.386	0.251	0.214	0.084	0.395	0.26	0.224	0.093	0.462	0.327	0.291	0.16
CPI-SS0FFB9E01B	FGF4_FGFR1	simple:P08620	simple:P11362	FGF4	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.0	0.0	0.0	0.0	0.372	0.237	0.201	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.374	0.239	0.202	0.071	0.374	0.239	0.202	0.071	0.404	0.269	0.232	0.102	0.446	0.311	0.274	0.143
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.332	0.251	0.144	0.091	0.366	0.286	0.179	0.126	0.324	0.244	0.136	0.084	0.0	0.0	0.0	0.0
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.326	0.245	0.138	0.085	0.356	0.276	0.169	0.116	0.324	0.244	0.137	0.084	0.0	0.0	0.0	0.0
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.328	0.248	0.14	0.087	0.377	0.297	0.189	0.137	0.351	0.27	0.163	0.11	0.0	0.0	0.0	0.0
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.001	0.001	0.0	0.0	0.002	0.003	0.0	0.0	0.004	0.005	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.001	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C4FA643F	HLA-E_KLRC2	simple:P13747	simple:P26717	HLA-E	KLRC2	False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.0	0.672	0.0	0.0	0.0	0.191	0.0	0.0	0.0	0.218	0.0	0.0	0.0	0.133	0.0	0.0
CPI-SC066BD3097	HLA-E_CD94:NKG2C	simple:P13747	complex:CD94:NKG2C	HLA-E		False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.0	0.672	0.0	0.0	0.0	0.191	0.0	0.0	0.0	0.218	0.0	0.0	0.0	0.133	0.0	0.0
CPI-SC04E52CC72	HLA-E_CD94:NKG2E	simple:P13747	complex:CD94:NKG2E	HLA-E		False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.0	0.672	0.0	0.0	0.0	0.191	0.0	0.0	0.0	0.218	0.0	0.0	0.0	0.133	0.0	0.0
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.248	0.249	0.0	0.0	0.858	0.859	0.0	0.0	0.401	0.402	0.0	0.0	0.438	0.438	0.0	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.07	0.07	0.0	0.0	0.309	0.31	0.0	0.0	0.118	0.119	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.767	0.356	0.973	0.509	0.796	0.385	1.002	0.538	0.772	0.361	0.979	0.514	0.0	0.0	0.0	0.0
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.111	0.232	0.518	0.191	0.237	0.357	0.643	0.316	0.097	0.217	0.503	0.176	0.0	0.0	0.0	0.0
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.21	0.33	0.616	0.289	0.294	0.414	0.7	0.373	0.842	0.963	1.249	0.922	0.136	0.256	0.542	0.215
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.002	0.005	0.0	0.0	0.005	0.008	0.0	0.0	0.003	0.006	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.666	0.829	1.01	1.13	1.096	0.258	0.44	0.559	1.071	0.234	0.415	0.535	1.127	0.289	0.47	0.59
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.975	0.137	0.319	0.439	0.994	0.157	0.338	0.458	0.989	0.151	0.332	0.452	0.0	0.0	0.0	0.0
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.446	0.715	0.713	1.039	0.876	0.144	0.142	0.469	0.851	0.12	0.118	0.444	0.906	0.175	0.173	0.499
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.755	0.023	0.021	0.348	0.774	0.043	0.041	0.367	0.769	0.037	0.035	0.361	0.0	0.0	0.0	0.0
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.179	1.059	0.885	1.005	0.608	0.488	0.314	0.435	0.584	0.464	0.29	0.411	0.639	0.519	0.345	0.466
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.488	0.368	0.193	0.314	0.507	0.387	0.212	0.333	0.501	0.381	0.207	0.328	0.0	0.0	0.0	0.0
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.391	0.771	0.323	0.302	0.346	0.726	0.278	0.257	0.635	1.014	0.567	0.546	0.234	0.613	0.166	0.145
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.03	0.128	0.177	0.092	0.03	0.128	0.177	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E2083FAC	NPY_NPY2R	simple:P01303	simple:P49146	NPY	NPY2R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.004	0.008	0.009	0.0	0.008	0.012	0.013	0.0	0.008	0.013	0.013	0.0	0.0	0.0	0.0	0.0
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.014	0.01	0.013	0.157	0.018	0.015	0.018	0.161	0.019	0.015	0.018	0.162	0.0	0.0	0.0	0.0
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.004	0.018	0.002	0.0	0.005	0.019	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.014	0.029	0.012	0.0	0.057	0.071	0.055	0.0	0.155	0.17	0.153	0.0	0.0	0.0	0.0	0.0
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.002	0.0	0.0	0.007	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.079	0.079	0.0	0.0	0.339	0.339	0.0	0.0	0.045	0.045	0.0	0.0	0.134	0.135	0.0	0.0
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.001	0.002	0.0	0.0	0.004	0.004	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02CAD3BF8	VIP_SCTR	simple:P01282	simple:P47872	VIP	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.005	0.004	0.0	0.0	0.005	0.004	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.603	0.17	0.187	0.41	0.616	0.183	0.2	0.423	0.6	0.167	0.183	0.407	0.0	0.0	0.0	0.0
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.0	0.0	0.0	0.0	0.004	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0D681D90E	SDC2_ADGRA2	simple:P34741	simple:Q96PE1	SDC2	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.175	0.25	0.422	0.215	0.368	0.443	0.615	0.408	0.942	1.017	1.188	0.982	0.301	0.377	0.548	0.341
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.057	0.063	0.058	0.0	0.202	0.208	0.203	0.0	0.061	0.067	0.062	0.0	0.067	0.073	0.067	0.0
CPI-SS05A3055C3	TNFSF10_TNFRSF11B	simple:P50591	simple:O00300	TNFSF10	TNFRSF11B	True	False	False	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.306	0.297	0.302	0.0	0.016	0.006	0.011	0.0	0.018	0.008	0.013	0.0	0.0	0.0	0.0	0.0
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.755	0.023	0.021	0.348	0.774	0.043	0.041	0.367	0.769	0.037	0.035	0.361	0.0	0.0	0.0	0.0
CPI-SS0786D3749	WNT2B_FRZB	simple:Q93097	simple:Q92765	WNT2B	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.061	0.194	0.063	0.0	0.058	0.191	0.06	0.0	0.06	0.193	0.062	0.0	0.0	0.0	0.0	0.0
CPI-SS0EE63435D	WNT4_FRZB	simple:P56705	simple:Q92765	WNT4	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.048	0.181	0.05	0.0	0.048	0.181	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS007954822	WNT5A_FRZB	simple:P41221	simple:Q92765	WNT5A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.124	0.257	0.126	0.0	0.145	0.278	0.147	0.0	0.093	0.226	0.095	0.0	0.0	0.0	0.0	0.0
CPI-SS0EBBBD522	WNT9A_FRZB	simple:O14904	simple:Q92765	WNT9A	FRZB	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.048	0.181	0.05	0.0	0.047	0.18	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05207EFF8	WNT2B_SFRP1	simple:Q93097	simple:Q8N474	WNT2B	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.223	0.597	0.182	0.287	0.22	0.594	0.179	0.284	0.222	0.596	0.181	0.286	0.0	0.0	0.0	0.0
CPI-SS036707F4C	WNT4_SFRP1	simple:P56705	simple:Q8N474	WNT4	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.211	0.584	0.17	0.274	0.21	0.584	0.169	0.274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1E79A03	WNT5A_SFRP1	simple:P41221	simple:Q8N474	WNT5A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.286	0.66	0.245	0.35	0.307	0.681	0.266	0.371	0.256	0.629	0.215	0.319	0.0	0.0	0.0	0.0
CPI-SS0A93EEAEB	WNT9A_SFRP1	simple:O14904	simple:Q8N474	WNT9A	SFRP1	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.21	0.584	0.169	0.274	0.209	0.583	0.168	0.273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08643DD8A	WNT2B_SFRP2	simple:Q93097	simple:Q96HF1	WNT2B	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.032	0.082	0.027	0.0	0.029	0.079	0.024	0.0	0.03	0.081	0.026	0.0	0.0	0.0	0.0	0.0
CPI-SS0661CE946	WNT4_SFRP2	simple:P56705	simple:Q96HF1	WNT4	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.019	0.069	0.014	0.0	0.019	0.069	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03F33B34C	WNT5A_SFRP2	simple:P41221	simple:Q96HF1	WNT5A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.094	0.145	0.09	0.0	0.115	0.166	0.111	0.0	0.064	0.115	0.059	0.0	0.0	0.0	0.0	0.0
CPI-SS00877D499	WNT9A_SFRP2	simple:O14904	simple:Q96HF1	WNT9A	SFRP2	True	False	False	curated	False	Ligand-Ligand	Signaling by WNT inhibition	0.018	0.069	0.014	0.0	0.018	0.068	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
