gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PV	SM
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.07	1.239	0.075	0.265	0.802
NRCAM	Q92823	False	NRCAM_HUMAN		CPI-SS0BDC912F3	NRCAM	0.0	0.13	0.11	0.017	0.013
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F67B526A	NRP2	0.263	0.813	0.092	0.341	0.411
PTGDR	Q13258	False	PD2R_HUMAN		CPI-CS0FADCFDB9	PTGDR	0.0	0.004	0.016	0.019	0.049
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS01E3453DB	LGR4	0.0	0.123	0.287	0.082	0.09
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0ACAB1835	LGR4	0.0	0.123	0.287	0.082	0.09
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.0	0.004	0.028	0.036	0.007
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.0	0.004	0.028	0.036	0.007
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.0	0.004	0.002	0.017	0.007
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.0	0.004	0.002	0.017	0.007
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.003	0.057	0.001	0.001
ROBO1	Q9Y6N7	False	ROBO1_HUMAN		CPI-SS0A932EB77	ROBO1	0.084	0.986	0.513	0.89	0.484
ROBO2	Q9HCK4	False	ROBO2_HUMAN		CPI-SS0D0235DCE	ROBO2	0.075	0.207	0.673	1.276	0.723
TACR3	P29371	False	NK3R_HUMAN		CPI-SS015B70BF9	TACR3	0.0	0.0	0.001	0.001	0.002
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0EC8C81E0	KDR	0.066	1.423	0.021	0.034	0.015
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0FF2EEAE8	SFRP1	0.0	0.138	0.242	0.517	0.178
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS02ADD742C	SFRP1	0.0	0.138	0.242	0.517	0.178
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS03146C969	SFRP1	0.0	0.138	0.242	0.517	0.178
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0AC302C73	SFRP2	0.0	0.012	0.018	0.086	0.101
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0F41AC8EC	SFRP2	0.0	0.012	0.018	0.086	0.101
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS029E5DD2D	SFRP2	0.0	0.012	0.018	0.086	0.101
TYROBP	O43914	False	TYOBP_HUMAN		CPI-SS01503DD69	TYROBP	0.0	0.001	0.003	0.001	0.0
MRC1	P22897	False	MRC1_HUMAN		CPI-SS0822AEF5F	MRC1	0.0	0.002	0.001	0.0	0.0
IL1RAPL1	Q9NZN1	False	IRPL1_HUMAN		CPI-SS0F9F83827	IL1RAPL1	0.0	0.072	0.459	0.581	0.152
TRHR	P34981	False	TRFR_HUMAN		CPI-SS00F69C501	TRHR	0.0	0.0	0.0	0.0	0.0
